見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
異常な,いじょうな,異常だ,形容詞,*,代表表記:異常だ/いじょうだ 反義:形容詞:正常だ/せいじょうだ,,,,0,0
興奮,こうふん,興奮,名詞,サ変名詞,代表表記:興奮/こうふん カテゴリ:抽象物,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
求めて,もとめて,求める,動詞,*,代表表記:求める/もとめる,,,,0,0
集った,つどった,集う,動詞,*,代表表記:集う/つどう,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
七,なな,七,名詞,数詞,カテゴリ:数量,,,,0,0
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,,,,0,0
の,の,の,助詞,格助詞,NIL,,,,0,0
しかつめらしい,しかつめらしい,しかつめらしい,形容詞,*,代表表記:しかつめらしい/しかつめらしい,,,,0,0
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,,,,0,0
が,が,が,助詞,格助詞,NIL,,,,0,0
（,（,（,特殊,括弧始,NIL,,,,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,,,,0,0
も,も,も,助詞,副助詞,NIL,,,,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,,,,0,0
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
一,いち,一,名詞,数詞,カテゴリ:数量,,,,0,0
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,,,,0,0
だった,だった,だ,判定詞,*,NIL,,,,0,0
）,）,）,特殊,括弧終,NIL,,,,0,0
態々其為,態々其為,態々其為,未定義語,その他,未知語:漢字 品詞推定:名詞,,,,0,0
に,に,に,助詞,格助詞,NIL,,,,0,0
しつらえた,しつらえた,しつらえる,動詞,*,代表表記:しつらえる/しつらえる,,,,0,0
「,「,「,特殊,括弧始,NIL,,,,0,0
赤い,あかい,赤い,形容詞,*,代表表記:赤い/あかい 名詞派生:赤/あか,,,,0,0
部屋,へや,部屋,名詞,普通名詞,代表表記:部屋/へや ドメイン:家庭・暮らし カテゴリ:場所-施設,,,,0,0
」,」,」,特殊,括弧終,NIL,,,,0,0
の,の,の,助詞,格助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
緋色,緋色,緋色,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:アカネ 読み不明,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
天鵞絨,天鵞絨,天鵞絨,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:ベルベット,,,,0,0
で,で,で,助詞,格助詞,NIL,,,,0,0
張った,はった,張る,動詞,*,代表表記:張る/はる,,,,0,0
深い,ふかい,深い,形容詞,*,代表表記:深い/ふかい,,,,0,0
肘掛,肘掛,肘掛,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:肘掛け,,,,0,0
椅子,いす,椅子,名詞,普通名詞,代表表記:椅子/いす カテゴリ:人工物-その他,,,,0,0
に,に,に,助詞,格助詞,NIL,,,,0,0
凭れ,もたれ,凭れる,動詞,*,代表表記:凭れる/もたれる,,,,0,0
込んで,こんで,込む,動詞,*,代表表記:込む/こむ 反義:動詞:空く/すく 付属動詞候補（基本）,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
今晩,こんばん,今晩,名詞,時相名詞,代表表記:今晩/こんばん カテゴリ:時間,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
話手,話手,話手,未定義語,その他,未知語:漢字 品詞推定:名詞,,,,0,0
が,が,が,助詞,格助詞,NIL,,,,0,0
何事,なにごと,何事,名詞,普通名詞,代表表記:何事/なにごと カテゴリ:抽象物,,,,0,0
か,か,か,助詞,接続助詞,NIL,,,,0,0
怪異,怪異,怪異,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:あしたのファミリア 読み不明,,,,0,0
な,な,だ,判定詞,*,NIL,,,,0,0
物語,ものがたり,物語,名詞,サ変名詞,代表表記:物語/ものがたり ドメイン:文化・芸術 カテゴリ:抽象物,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
話し出す,はなしだす,話し出す,動詞,*,代表表記:話し出す/はなしだす,,,,0,0
の,の,の,名詞,形式名詞,NIL,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
今,いま,今,名詞,時相名詞,代表表記:今/いま カテゴリ:時間 漢字読み:訓,,,,0,0
か,か,か,助詞,接続助詞,NIL,,,,0,0
今,いま,今,名詞,時相名詞,代表表記:今/いま カテゴリ:時間 漢字読み:訓,,,,0,0
か,か,か,助詞,接続助詞,NIL,,,,0,0
と,と,と,助詞,格助詞,NIL,,,,0,0
待構えて,まちかまえて,待構える,動詞,*,代表表記:待ち構える/まちかまえる,,,,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,,,0,0
。,。,。,特殊,句点,NIL,,,,0,0
七,なな,七,名詞,数詞,カテゴリ:数量,,,,0,1
