見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
僕,ぼく,僕,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,,一,,0,0
の,の,の,助詞,接続助詞,NIL,,一,,0,0
書生,しょせい,書生,名詞,普通名詞,代表表記:書生/しょせい ドメイン:教育・学習 カテゴリ:人,,一,,0,0
時代,じだい,時代,名詞,時相名詞,代表表記:時代/じだい カテゴリ:時間 弱時相名詞,,一,,0,0
の,の,の,助詞,接続助詞,NIL,,一,,0,0
話し,はなし,話し,名詞,普通名詞,代表表記:話し/はなしv 連用形名詞化:話す/はなす 補文ト,,一,,0,0
だ,だ,だ,判定詞,*,NIL,,一,,0,0
から,から,から,助詞,接続助詞,NIL,,一,,0,0
、,、,、,特殊,読点,NIL,,一,,0,0
随分,ずいぶん,随分,副詞,*,代表表記:随分/ずいぶん,,一,,0,0
古い,ふるい,古い,形容詞,*,代表表記:古い/ふるい 反義:形容詞:新しい/あたらしい,,一,,0,0
こと,こと,こと,名詞,形式名詞,NIL,,一,,0,0
だ,だ,だ,判定詞,*,NIL,,一,,0,0
。,。,。,特殊,句点,NIL,,一,,0,0
年代,ねんだい,年代,名詞,普通名詞,代表表記:年代/ねんだい カテゴリ:時間,,一,,0,1
など,など,など,助詞,副助詞,NIL,,一,,0,1
も,も,も,助詞,副助詞,NIL,,一,,0,1
ハッキリ,はっきり,ハッキリ,副詞,*,代表表記:ハッキリ/はっきり スル接続可能 修飾（ト格）,,一,,0,1
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,,一,,0,1
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,一,,0,1
が,が,が,助詞,接続助詞,NIL,,一,,0,1
、,、,、,特殊,読点,NIL,,一,,0,1
何でも,なんでも,何でも,副詞,*,代表表記:何でも/なんでも スル接続可能,,一,,0,1
、,、,、,特殊,読点,NIL,,一,,0,1
日,にち,日,名詞,地名,代表表記:日/にち 地名:国:略称:日本,,一,,0,1
露,ろ,露,名詞,地名,代表表記:露/ろ 地名:国:略称:ロシア,,一,,0,1
戦争,せんそう,戦争,名詞,サ変名詞,代表表記:戦争/せんそう ドメイン:政治 カテゴリ:抽象物,,一,,0,1
の,の,の,助詞,格助詞,NIL,,一,,0,1
すぐ,すぐ,すぐ,副詞,*,代表表記:すぐ/すぐ 修飾（ニ格） 相対名詞修飾,,一,,0,1
あと,あと,あと,名詞,普通名詞,代表表記:痕/あと カテゴリ:人工物-その他;抽象物,,一,,0,1
だった,だった,だ,判定詞,*,NIL,,一,,0,1
と,と,と,助詞,格助詞,NIL,,一,,0,1
思う,おもう,思う,動詞,*,代表表記:思う/おもう 補文ト,,一,,0,1
。,。,。,特殊,句点,NIL,,一,,0,1
その頃,そのころ,その頃,名詞,時相名詞,代表表記:その頃/そのころ カテゴリ:時間,,一,,0,2
、,、,、,特殊,読点,NIL,,一,,0,2
僕,ぼく,僕,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,,一,,0,2
は,は,は,助詞,副助詞,NIL,,一,,0,2
中学校,ちゅうがっこう,中学校,名詞,普通名詞,代表表記:中学校/ちゅうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,,一,,0,2
を,を,を,助詞,格助詞,NIL,,一,,0,2
出て,でて,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,,一,,0,2
、,、,、,特殊,読点,NIL,,一,,0,2
さて,さて,さて,接続詞,*,代表表記:さて/さて,,一,,0,2
、,、,、,特殊,読点,NIL,,一,,0,2
上,うえ,上,名詞,普通名詞,代表表記:上/うえ カテゴリ:場所-機能 漢字読み:訓,,一,,0,2
の,の,の,助詞,接続助詞,NIL,,一,,0,2
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,,一,,0,2
へ,へ,へ,助詞,格助詞,NIL,,一,,0,2
入り,はいり,入る,動詞,*,代表表記:入る/はいる 反義:動詞:出る/でる 自他動詞:他:入れる/いれる,,一,,0,2
たい,たい,たい,接尾辞,形容詞性述語接尾辞,代表表記:たい/たい,,一,,0,2
のだ,のだ,のだ,助動詞,*,NIL,,一,,0,2
けれど,けれど,けれど,助詞,接続助詞,NIL,,一,,0,2
、,、,、,特殊,読点,NIL,,一,,0,2
当時,とうじ,当時,名詞,時相名詞,代表表記:当時/とうじ カテゴリ:時間,,一,,0,2
