見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
Ｍ,Ｍ,Ｍ,特殊,記号,NIL,,奇怪なる娯楽園,,0,0
県,けん,県,名詞,普通名詞,代表表記:県/けん ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:音 住所末尾,,奇怪なる娯楽園,,0,0
の,の,の,助詞,接続助詞,NIL,,奇怪なる娯楽園,,0,0
南部,なんぶ,南部,名詞,普通名詞,代表表記:南部/なんぶ カテゴリ:場所-機能,,奇怪なる娯楽園,,0,0
に,に,に,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,0
Ｙ,Ｙ,Ｙ,特殊,記号,NIL,,奇怪なる娯楽園,,0,0
市,し,市,接尾辞,名詞性特殊接尾辞,代表表記:市/し カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,,奇怪なる娯楽園,,0,0
と,と,と,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,0
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,,奇怪なる娯楽園,,0,0
古風で,こふうで,古風だ,形容詞,*,代表表記:古風だ/こふうだ,,奇怪なる娯楽園,,0,0
陰気な,いんきな,陰気だ,形容詞,*,代表表記:陰気だ/いんきだ 反義:形容詞:陽気だ/ようきだ,,奇怪なる娯楽園,,0,0
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,0
忘れ,わすれ,忘れる,動詞,*,代表表記:忘れる/わすれる 反義:動詞:覚える/おぼえる 付属動詞候補（基本）,,奇怪なる娯楽園,,0,0
果て,はて,果てる,動詞,*,代表表記:果てる/はてる 自他動詞:他:果たす/はたす 付属動詞候補（基本）,,奇怪なる娯楽園,,0,0
られた,られた,られる,接尾辞,動詞性接尾辞,代表表記:られる/られる,,奇怪なる娯楽園,,0,0
様な,ような,様だ,助動詞,*,NIL,,奇怪なる娯楽園,,0,0
都会,とかい,都会,名詞,普通名詞,代表表記:都会/とかい カテゴリ:場所-その他,,奇怪なる娯楽園,,0,0
が,が,が,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,0
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,,奇怪なる娯楽園,,0,0
。,。,。,特殊,句点,NIL,,奇怪なる娯楽園,,0,0
商工,しょうこう,商工,名詞,普通名詞,代表表記:商工/しょうこう ドメイン:ビジネス カテゴリ:抽象物,,奇怪なる娯楽園,,0,1
業,ぎょう,業,名詞,普通名詞,代表表記:業/ぎょう カテゴリ:抽象物 漢字読み:音,,奇怪なる娯楽園,,0,1
が,が,が,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,1
盛んな,さかんな,盛んだ,形容詞,*,代表表記:盛んだ/さかんだ,,奇怪なる娯楽園,,0,1
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,,奇怪なる娯楽園,,0,1
で,で,だ,判定詞,*,NIL,,奇怪なる娯楽園,,0,1
は,は,は,助詞,副助詞,NIL,,奇怪なる娯楽園,,0,1
なく,なく,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,奇怪なる娯楽園,,0,1
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,1
と,と,と,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,1
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,,奇怪なる娯楽園,,0,1
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,1
交通,こうつう,交通,名詞,サ変名詞,代表表記:交通/こうつう ドメイン:交通 カテゴリ:抽象物,,奇怪なる娯楽園,,0,1
の,の,の,助詞,接続助詞,NIL,,奇怪なる娯楽園,,0,1
要,かなめ,要,名詞,普通名詞,代表表記:要/かなめ カテゴリ:人工物-その他;抽象物,,奇怪なる娯楽園,,0,1
路,じ,路,名詞,普通名詞,代表表記:路/じ ドメイン:交通 カテゴリ:場所-施設 漢字読み:訓,,奇怪なる娯楽園,,0,1
に,に,に,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,1
当る,あたる,当る,動詞,*,代表表記:当たる/あたる 反義:動詞:外れる/はずれる 自他動詞:他:当てる/あてる,,奇怪なる娯楽園,,0,1
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,,奇怪なる娯楽園,,0,1
で,で,だ,判定詞,*,NIL,,奇怪なる娯楽園,,0,1
も,も,も,助詞,副助詞,NIL,,奇怪なる娯楽園,,0,1
なく,なく,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,奇怪なる娯楽園,,0,1
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,1
ただ,ただ,ただ,副詞,*,代表表記:唯/ただ 修飾（デ格） 数量修飾,,奇怪なる娯楽園,,0,1
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,1
旧,きゅう,旧,接頭辞,名詞接頭辞,代表表記:旧/きゅう 内容語,,奇怪なる娯楽園,,0,1
幕,まく,幕,名詞,普通名詞,代表表記:幕/まく カテゴリ:人工物-その他 漢字読み:音,,奇怪なる娯楽園,,0,1
時代,じだい,時代,名詞,時相名詞,代表表記:時代/じだい カテゴリ:時間 弱時相名詞,,奇怪なる娯楽園,,0,1
の,の,の,助詞,接続助詞,NIL,,奇怪なる娯楽園,,0,1
城下町,じょうかまち,城下町,名詞,普通名詞,代表表記:城下町/じょうかまち カテゴリ:場所-その他,,奇怪なる娯楽園,,0,1
であった,であった,だ,判定詞,*,NIL,,奇怪なる娯楽園,,0,1
為,ため,為,名詞,副詞的名詞,代表表記:為/ため,,奇怪なる娯楽園,,0,1
に,に,に,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,1
人口,じんこう,人口,名詞,普通名詞,代表表記:人口/じんこう カテゴリ:数量,,奇怪なる娯楽園,,0,1
が,が,が,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,1
多く,おおく,多い,形容詞,*,代表表記:多い/おおい 反義:形容詞:少ない/すくない,,奇怪なる娯楽園,,0,1
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,1
漸く,漸く,漸く,副詞,*,代表表記:漸く/漸く 自動獲得:テキスト 副詞識別,,奇怪なる娯楽園,,0,1
市,し,市,名詞,普通名詞,代表表記:市/し ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:音 住所末尾,,奇怪なる娯楽園,,0,1
の,の,の,助詞,接続助詞,NIL,,奇怪なる娯楽園,,0,1
形,かた,形,名詞,普通名詞,代表表記:形/かた カテゴリ:形・模様 漢字読み:訓,,奇怪なる娯楽園,,0,1
を,を,を,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,1
為して,為して,為す,動詞,*,自動獲得:テキスト,,奇怪なる娯楽園,,0,1
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,奇怪なる娯楽園,,0,1
に,に,に,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,1
過ぎ,すぎ,過ぎる,動詞,*,代表表記:過ぎる/すぎる 付属動詞候補（基本）,,奇怪なる娯楽園,,0,1
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,奇怪なる娯楽園,,0,1
のだ,のだ,のだ,助動詞,*,NIL,,奇怪なる娯楽園,,0,1
。,。,。,特殊,句点,NIL,,奇怪なる娯楽園,,0,1
その,その,その,指示詞,連体詞形態指示詞,NIL,,奇怪なる娯楽園,,0,2
眠った,ねむった,眠る,動詞,*,代表表記:眠る/ねむる ドメイン:家庭・暮らし 反義:動詞:覚める/さめる,,奇怪なる娯楽園,,0,2
様な,ような,様だ,助動詞,*,NIL,,奇怪なる娯楽園,,0,2
Ｙ,Ｙ,Ｙ,特殊,記号,NIL,,奇怪なる娯楽園,,0,2
市,し,市,接尾辞,名詞性特殊接尾辞,代表表記:市/し カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,,奇怪なる娯楽園,,0,2
の,の,の,助詞,接続助詞,NIL,,奇怪なる娯楽園,,0,2
郊外,こうがい,郊外,名詞,普通名詞,代表表記:郊外/こうがい カテゴリ:場所-その他,,奇怪なる娯楽園,,0,2
に,に,に,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,2
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,2
実に,じつに,実に,副詞,*,代表表記:実に/じつに 用言弱修飾,,奇怪なる娯楽園,,0,2
途方,とほう,途方,名詞,普通名詞,代表表記:途方/とほう カテゴリ:抽象物,,奇怪なる娯楽園,,0,2
も,も,も,助詞,副助詞,NIL,,奇怪なる娯楽園,,0,2
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,,奇怪なる娯楽園,,0,2
遊園地,ゆうえんち,遊園地,名詞,普通名詞,代表表記:遊園地/ゆうえんち ドメイン:レクリエーション カテゴリ:場所-施設 組織名末尾,,奇怪なる娯楽園,,0,2
を,を,を,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,2
拵えた,こしらえた,拵える,動詞,*,代表表記:拵える/こしらえる,,奇怪なる娯楽園,,0,2
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,,奇怪なる娯楽園,,0,2
が,が,が,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,2
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,,奇怪なる娯楽園,,0,2
。,。,。,特殊,句点,NIL,,奇怪なる娯楽園,,0,2
この世,このよ,この世,名詞,普通名詞,代表表記:此世/このよ カテゴリ:場所-その他,,奇怪なる娯楽園,,0,3
に,に,に,助詞,格助詞,NIL,,奇怪なる娯楽園,,0,3
は,は,は,助詞,副助詞,NIL,,奇怪なる娯楽園,,0,3
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,3
時々,ときどき,時々,副詞,*,代表表記:時々/ときどき,,奇怪なる娯楽園,,0,3
、,、,、,特殊,読点,NIL,,奇怪なる娯楽園,,0,3
