見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
「,「,「,特殊,括弧始,NIL,,,,0,0
珍,ちん,珍,名詞,普通名詞,代表表記:珍/ちん カテゴリ:抽象物 漢字読み:音,,,,0,0
らしい,らしい,らしい,助動詞,*,NIL,,,,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,,,,0,0
と,と,と,助詞,格助詞,NIL,,,,0,0
おっしゃる,おっしゃる,おっしゃる,動詞,*,代表表記:仰る/おっしゃる 尊敬動詞:言う/いう,,,,0,0
のです,のです,のだ,助動詞,*,NIL,,,,0,0
か,か,か,助詞,接続助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
それでは,それでは,それでは,接続詞,*,代表表記:それでは/それでは,,,,0,0
こんな,こんな,こんな,指示詞,連体詞形態指示詞,NIL,,,,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,,,,0,0
は,は,は,助詞,副助詞,NIL,,,,0,0
どう,どう,どう,指示詞,副詞形態指示詞,NIL,,,,0,0
でしょう,でしょう,だ,判定詞,*,NIL,,,,0,0
」,」,」,特殊,括弧終,NIL,,,,0,0
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,,,,0,0
時,とき,時,名詞,副詞的名詞,代表表記:時/とき,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
五,ご,五,名詞,数詞,カテゴリ:数量,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
六,ろく,六,名詞,数詞,カテゴリ:数量,,,,0,0
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
者,もの,者,名詞,普通名詞,代表表記:者/もの カテゴリ:人 漢字読み:訓,,,,0,0
が,が,が,助詞,格助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
怖い,こわい,怖い,形容詞,*,代表表記:怖い/こわい,,,,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,,,,0,0
や,や,や,助詞,接続助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
珍奇,ちんき,珍奇,名詞,普通名詞,代表表記:珍奇/ちんき 自動獲得:EN_Wiktionary,,,,0,0
な,な,だ,判定詞,*,NIL,,,,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
次々,つぎつぎ,次々,副詞,*,代表表記:次々/つぎつぎ,,,,0,0
と,と,と,助詞,格助詞,NIL,,,,0,0
語り,かたり,語る,動詞,*,代表表記:語る/かたる 補文ト,,,,0,0
合って,あって,合う,動詞,*,代表表記:合う/あう 反義:動詞:離れる/はなれる 自他動詞:他:合わす/あわす 付属動詞候補（基本）,,,,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,,,0,0
