見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
一,いち,一,名詞,数詞,カテゴリ:数量,,死骸盗賊,,0,0
台,だい,台,接尾辞,名詞性名詞助数辞,代表表記:台/だい 準内容語,,死骸盗賊,,0,0
の,の,の,助詞,接続助詞,NIL,,死骸盗賊,,0,0
金ピカ,きんぴか,金ピカだ,形容詞,*,代表表記:金ピカだ/きんぴかだ,,死骸盗賊,,0,0
葬儀,そうぎ,葬儀,名詞,普通名詞,代表表記:葬儀/そうぎ ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,,死骸盗賊,,0,0
自動車,じどうしゃ,自動車,名詞,普通名詞,代表表記:自動車/じどうしゃ ドメイン:交通 カテゴリ:人工物-乗り物,,死骸盗賊,,0,0
が,が,が,助詞,格助詞,NIL,,死骸盗賊,,0,0
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,0
どこ,どこ,どこ,指示詞,名詞形態指示詞,代表表記:どこ/どこ,,死骸盗賊,,0,0
へ,へ,へ,助詞,格助詞,NIL,,死骸盗賊,,0,0
と,と,と,助詞,格助詞,NIL,,死骸盗賊,,0,0
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,,死骸盗賊,,0,0
当て,あて,当て,名詞,普通名詞,代表表記:当て/あてv 反義:動詞:外す/はずす 自他動詞:自:当たる/あたる 連用形名詞化:当てる/あてる,,死骸盗賊,,0,0
も,も,も,助詞,副助詞,NIL,,死骸盗賊,,0,0
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,,死骸盗賊,,0,0
らしく,らしく,らしい,助動詞,*,NIL,,死骸盗賊,,0,0
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,0
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,,死骸盗賊,,0,0
市,し,市,接尾辞,名詞性特殊接尾辞,代表表記:市/し カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,,死骸盗賊,,0,0
中,ちゅう,中,接尾辞,名詞性名詞接尾辞,代表表記:中/ちゅう 内容語,,死骸盗賊,,0,0
を,を,を,助詞,格助詞,NIL,,死骸盗賊,,0,0
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,0
グルグル,ぐるぐる,グルグル,副詞,*,代表表記:グルグル/ぐるぐる スル接続可能,,死骸盗賊,,0,0
と,と,と,助詞,格助詞,NIL,,死骸盗賊,,0,0
走り,はしり,走る,動詞,*,代表表記:走る/はしる,,死骸盗賊,,0,0
廻って,まわって,廻る,動詞,*,代表表記:回る/まわる 自他動詞:他:回す/まわす 付属動詞候補（基本） 付属動詞候補（タ系）,,死骸盗賊,,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,死骸盗賊,,0,0
。,。,。,特殊,句点,NIL,,死骸盗賊,,0,0
車,くるま,車,名詞,普通名詞,代表表記:車/くるま ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:訓,,死骸盗賊,,0,1
内,ない,内,接尾辞,名詞性名詞接尾辞,代表表記:内/ない,,死骸盗賊,,0,1
に,に,に,助詞,格助詞,NIL,,死骸盗賊,,0,1
は,は,は,助詞,副助詞,NIL,,死骸盗賊,,0,1
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,1
よく,よく,よく,副詞,*,代表表記:良く/よく,,死骸盗賊,,0,1
見る,みる,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,,死骸盗賊,,0,1
と,と,と,助詞,格助詞,NIL,,死骸盗賊,,0,1
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,1
確,確,確,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,,死骸盗賊,,0,1
に,に,に,助詞,格助詞,NIL,,死骸盗賊,,0,1
白,しろ,白,名詞,普通名詞,代表表記:白/しろ カテゴリ:色 漢字読み:訓,,死骸盗賊,,0,1
布,ぬの,布,名詞,普通名詞,代表表記:布/ぬの ドメイン:家庭・暮らし カテゴリ:人工物-その他 漢字読み:訓,,死骸盗賊,,0,1
で,で,で,助詞,格助詞,NIL,,死骸盗賊,,0,1
覆った,おおった,覆う,動詞,*,代表表記:覆う/おおう,,死骸盗賊,,0,1
寝,ね,寝,名詞,普通名詞,代表表記:寝/ねv ドメイン:家庭・暮らし 反義:動詞:起きる/おきる 自他動詞:他:寝かす/ねかす;他:寝かせる/ねかせる 連用形名詞化:寝る/ねる,,死骸盗賊,,0,1
棺,ひつぎ,棺,名詞,普通名詞,代表表記:棺/ひつぎ ドメイン:文化・芸術 カテゴリ:人工物-その他,,死骸盗賊,,0,1
が,が,が,助詞,格助詞,NIL,,死骸盗賊,,0,1
のせて,のせて,のせる,動詞,*,代表表記:乗せる/のせる 反義:動詞:降ろす/おろす 自他動詞:自:乗る/のる,,死骸盗賊,,0,1
ある,ある,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,,死骸盗賊,,0,1
。,。,。,特殊,句点,NIL,,死骸盗賊,,0,1
棺,ひつぎ,棺,名詞,普通名詞,代表表記:棺/ひつぎ ドメイン:文化・芸術 カテゴリ:人工物-その他,,死骸盗賊,,0,2
の,の,の,助詞,接続助詞,NIL,,死骸盗賊,,0,2
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,,死骸盗賊,,0,2
に,に,に,助詞,格助詞,NIL,,死骸盗賊,,0,2
死人,しにん,死人,名詞,普通名詞,代表表記:死人/しにん カテゴリ:人,,死骸盗賊,,0,2
が,が,が,助詞,格助詞,NIL,,死骸盗賊,,0,2
入って,はいって,入る,動詞,*,代表表記:入る/はいる 反義:動詞:出る/でる 自他動詞:他:入れる/いれる,,死骸盗賊,,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,死骸盗賊,,0,2
の,の,のだ,助動詞,*,NIL,,死骸盗賊,,0,2
か,か,か,助詞,接続助詞,NIL,,死骸盗賊,,0,2
どう,どう,どう,指示詞,副詞形態指示詞,NIL,,死骸盗賊,,0,2
か,か,か,助詞,接続助詞,NIL,,死骸盗賊,,0,2
は,は,は,助詞,副助詞,NIL,,死骸盗賊,,0,2
分ら,分ら,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,,死骸盗賊,,0,2
ぬ,ぬ,ぬ,助動詞,*,NIL,,死骸盗賊,,0,2
けれど,けれど,けれど,助詞,接続助詞,NIL,,死骸盗賊,,0,2
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,2
棺,ひつぎ,棺,名詞,普通名詞,代表表記:棺/ひつぎ ドメイン:文化・芸術 カテゴリ:人工物-その他,,死骸盗賊,,0,2
を,を,を,助詞,格助詞,NIL,,死骸盗賊,,0,2
のせた,のせた,のせる,動詞,*,代表表記:乗せる/のせる 反義:動詞:降ろす/おろす 自他動詞:自:乗る/のる,,死骸盗賊,,0,2
葬儀,そうぎ,葬儀,名詞,普通名詞,代表表記:葬儀/そうぎ ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,,死骸盗賊,,0,2
車,くるま,車,名詞,普通名詞,代表表記:車/くるま ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:訓,,死骸盗賊,,0,2
が,が,が,助詞,格助詞,NIL,,死骸盗賊,,0,2
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,2
附,附し,附,名詞,普通名詞,代表表記:附し/附し 自動獲得:Wiktionary 読み不明 連用形名詞化:附す/附す 送り仮名引っ込み,,死骸盗賊,,0,2
添い,そい,添い,名詞,普通名詞,代表表記:添い/そいv 自他動詞:自:添える/そえる 連用形名詞化:添う/そう,,死骸盗賊,,0,2
の,の,の,助詞,接続助詞,NIL,,死骸盗賊,,0,2
自動車,じどうしゃ,自動車,名詞,普通名詞,代表表記:自動車/じどうしゃ ドメイン:交通 カテゴリ:人工物-乗り物,,死骸盗賊,,0,2
も,も,も,助詞,副助詞,NIL,,死骸盗賊,,0,2
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,,死骸盗賊,,0,2
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,2
ただ,ただ,ただ,副詞,*,代表表記:唯/ただ 修飾（デ格） 数量修飾,,死骸盗賊,,0,2
グルグル,ぐるぐる,グルグル,副詞,*,代表表記:グルグル/ぐるぐる スル接続可能,,死骸盗賊,,0,2
と,と,と,助詞,格助詞,NIL,,死骸盗賊,,0,2
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,,死骸盗賊,,0,2
から,から,から,助詞,格助詞,NIL,,死骸盗賊,,0,2
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,,死骸盗賊,,0,2
へ,へ,へ,助詞,格助詞,NIL,,死骸盗賊,,0,2
走り,はしり,走る,動詞,*,代表表記:走る/はしる,,死骸盗賊,,0,2
廻って,まわって,廻る,動詞,*,代表表記:回る/まわる 自他動詞:他:回す/まわす 付属動詞候補（基本） 付属動詞候補（タ系）,,死骸盗賊,,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,死骸盗賊,,0,2
と,と,と,助詞,格助詞,NIL,,死骸盗賊,,0,2
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,,死骸盗賊,,0,2
の,の,の,名詞,形式名詞,NIL,,死骸盗賊,,0,2
は,は,は,助詞,副助詞,NIL,,死骸盗賊,,0,2
如何にも,いかにも,如何にも,副詞,*,代表表記:如何にも/いかにも,,死骸盗賊,,0,2
変だ,へんだ,変だ,形容詞,*,代表表記:変だ/へんだ,,死骸盗賊,,0,2
。,。,。,特殊,句点,NIL,,死骸盗賊,,0,2
葬式,そうしき,葬式,名詞,普通名詞,代表表記:葬式/そうしき ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,,死骸盗賊,,0,3
に,に,に,助詞,格助詞,NIL,,死骸盗賊,,0,3
傭わ,傭わ,傭う,動詞,*,自動獲得:Wiktionary 読み不明,,死骸盗賊,,0,3
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,,死骸盗賊,,0,3
帰り,かえり,帰り,名詞,普通名詞,代表表記:帰り/かえりv 反義:動詞:行く/いく;動詞:来る/くる 自他動詞:他:帰す/かえす 連用形名詞化:帰る/かえる,,死骸盗賊,,0,3
で,で,だ,判定詞,*,NIL,,死骸盗賊,,0,3
も,も,も,助詞,副助詞,NIL,,死骸盗賊,,0,3
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,死骸盗賊,,0,3
らしい,らしい,らしい,助動詞,*,NIL,,死骸盗賊,,0,3
。,。,。,特殊,句点,NIL,,死骸盗賊,,0,3
と,と,と,助詞,格助詞,NIL,,死骸盗賊,,0,4
云って,いって,云う,動詞,*,代表表記:言う/いう 補文ト,,死骸盗賊,,0,4
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,4
これ,これ,これ,指示詞,名詞形態指示詞,NIL,,死骸盗賊,,0,4
から,から,から,助詞,格助詞,NIL,,死骸盗賊,,0,4
傭わ,傭わ,傭う,動詞,*,自動獲得:Wiktionary 読み不明,,死骸盗賊,,0,4
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,,死骸盗賊,,0,4
