見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
「,「,「,特殊,括弧始,NIL,,,,0,0
ここ,ここ,ここ,指示詞,名詞形態指示詞,NIL,,,,0,0
は,は,は,助詞,副助詞,NIL,,,,0,0
お国,おくに,お国,名詞,普通名詞,代表表記:御国/おくに カテゴリ:場所-その他,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
何百,何百,何百,名詞,数詞,カテゴリ:数量 未知語:数字,,,,0,0
里,さと,里,名詞,普通名詞,代表表記:里/さと カテゴリ:場所-自然 漢字読み:訓,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
離れて,はなれて,離れる,動詞,*,代表表記:離れる/はなれる 反義:動詞:合う/あう 自他動詞:他:離す/はなす,,,,0,0
遠き,とおき,遠い,形容詞,*,代表表記:遠い/とおい 反義:形容詞:近い/ちかい,,,,0,0
満洲,満洲,満洲,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:満州,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
……,……,……,特殊,記号,NIL,,,,0,0
」,」,」,特殊,括弧終,NIL,,,,0,0
ガラガラ,がらがら,ガラガラだ,形容詞,*,代表表記:ガラガラだ/がらがらだ 自動獲得:テキスト 副詞識別,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
ゴットン,ゴットン,ゴットン,名詞,普通名詞,自動獲得:Wikipedia Wikipedia一覧:ガンダムシリーズの登場人物,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
ガラガラ,がらがら,ガラガラ,名詞,普通名詞,代表表記:ガラガラ/がらがら 自動獲得:テキスト 副詞識別,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
ゴットン,ゴットン,ゴットン,名詞,普通名詞,自動獲得:Wikipedia Wikipedia一覧:ガンダムシリーズの登場人物,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
廻転,廻転,廻転,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:同音の漢字による書きかえ 読み不明,,,,0,0
木馬,もくば,木馬,名詞,普通名詞,代表表記:木馬/もくば ドメイン:レクリエーション カテゴリ:人工物-その他,,,,0,0
は,は,は,助詞,副助詞,NIL,,,,0,0
廻る,まわる,廻る,動詞,*,代表表記:回る/まわる 自他動詞:他:回す/まわす 付属動詞候補（基本） 付属動詞候補（タ系）,,,,0,0
のだ,のだ,のだ,助動詞,*,NIL,,,,0,0
