見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,,,,0,0
が,が,が,助詞,格助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,,,,0,0
の,の,の,助詞,格助詞,NIL,,,,0,0
勤めて,つとめて,勤める,動詞,*,代表表記:勤める/つとめる ドメイン:ビジネス 自他動詞:自:勤まる/つとまる,,,,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,,,0,0
ある,ある,ある,連体詞,*,代表表記:或る/ある,,,,0,0
工場,こうじょう,工場,名詞,普通名詞,代表表記:工場/こうじょう ドメイン:ビジネス カテゴリ:場所-施設,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
老,ろう,老,名詞,普通名詞,代表表記:老/ろう カテゴリ:抽象物 漢字読み:音,,,,0,0
守衛,しゅえい,守衛,名詞,普通名詞,代表表記:守衛/しゅえい カテゴリ:人,,,,0,0
（,（,（,特殊,括弧始,NIL,,,,0,0
と,と,と,助詞,格助詞,NIL,,,,0,0
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,,,,0,0
も,も,も,助詞,副助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
まだ,まだ,まだ,副詞,*,代表表記:まだ/まだ,,,,0,0
五十,五十,五十,名詞,数詞,カテゴリ:数量 未知語:数字,,,,0,0
歳,さい,歳,接尾辞,名詞性名詞助数辞,代表表記:歳/さい 準内容語,,,,0,0
に,に,に,助詞,格助詞,NIL,,,,0,0
は,は,は,助詞,副助詞,NIL,,,,0,0
間,かん,間,名詞,普通名詞,代表表記:間/かん カテゴリ:場所-機能;時間 漢字読み:音,,,,0,0
の,の,の,助詞,格助詞,NIL,,,,0,0
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,,,,0,0
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,,,,0,0
な,な,だ,判定詞,*,NIL,,,,0,0
のです,のです,のだ,助動詞,*,NIL,,,,0,0
が,が,が,助詞,接続助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
何となく,なんとなく,何となく,副詞,*,代表表記:何と無く/なんとなく,,,,0,0
老人,ろうじん,老人,名詞,普通名詞,代表表記:老人/ろうじん カテゴリ:人,,,,0,0
みたいな,みたいな,みたいだ,助動詞,*,NIL,,,,0,0
感じ,かんじ,感じ,名詞,普通名詞,代表表記:感じ/かんじv 連用形名詞化:感じる/かんじる 補文ト,,,,0,0
が,が,が,助詞,格助詞,NIL,,,,0,0
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,,,,0,0
のです,のです,のだ,助動詞,*,NIL,,,,0,0
）,）,）,特殊,括弧終,NIL,,,,0,0
栗原,くりはら,栗原,名詞,人名,人名:日本:姓:434:0.00066,,,,0,0
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,,,,0,0
と,と,と,助詞,格助詞,NIL,,,,0,0
心安く,こころやすく,心安い,形容詞,*,代表表記:心安い/こころやすい,,,,0,0
なって,なって,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,,,,0,0
間もなく,まもなく,間もなく,副詞,*,代表表記:間も無く/まもなく,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
恐らく,おそらく,恐らく,副詞,*,代表表記:恐らく/おそらく,,,,0,0
これ,これ,これ,指示詞,名詞形態指示詞,NIL,,,,0,0
は,は,は,助詞,副助詞,NIL,,,,0,0
栗原,くりはら,栗原,名詞,人名,人名:日本:姓:434:0.00066,,,,0,0
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
取って置き,とっておき,取って置き,名詞,普通名詞,代表表記:取って置き/とっておき カテゴリ:抽象物,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
種,しゅ,種,名詞,普通名詞,代表表記:種/しゅ カテゴリ:抽象物 漢字読み:音,,,,0,0
で,で,だ,判定詞,*,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
彼は誰,彼は誰,彼は誰,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:彼は誰時,,,,0,0
に,に,に,助詞,格助詞,NIL,,,,0,0
でも,でも,でも,助詞,副助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
そうした,そうした,そうした,指示詞,連体詞形態指示詞,NIL,,,,0,0
打,だ,打,名詞,普通名詞,代表表記:打/だ カテゴリ:抽象物 漢字読み:音,,,,0,0
開け,あけ,開ける,動詞,*,代表表記:開ける/あける 反義:動詞:閉ざす/とざす;動詞:閉じる/とじる;動詞:閉める/しめる 自他動詞:自:開く/あく,,,,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,,,,0,0
も,も,も,助詞,副助詞,NIL,,,,0,0
差支,さしつかえ,差支,名詞,普通名詞,代表表記:差し支え/さしつかえv 連用形名詞化:差し支える/さしつかえる 送り仮名引っ込み,,,,0,0
の,の,の,助詞,格助詞,NIL,,,,0,0
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,,,,0,0
間柄,あいだがら,間柄,名詞,普通名詞,代表表記:間柄/あいだがら カテゴリ:抽象物,,,,0,0
