見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
この,この,この,指示詞,連体詞形態指示詞,NIL,一,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
柾木,柾木,柾木,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,一,0,0
愛造,愛造,愛造,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,一,0,0
と,と,と,助詞,格助詞,NIL,一,0,0
木下,きのした,木下,名詞,人名,人名:日本:姓:185:0.00137,一,0,0
芙蓉,ふよう,芙蓉,名詞,普通名詞,代表表記:芙蓉/ふよう カテゴリ:植物,一,0,0
と,と,と,助詞,格助詞,NIL,一,0,0
の,の,の,助詞,格助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
あの,あの,あの,指示詞,連体詞形態指示詞,NIL,一,0,0
運命,うんめい,運命,名詞,普通名詞,代表表記:運命/うんめい カテゴリ:抽象物,一,0,0
的な,てきな,的だ,接尾辞,形容詞性名詞接尾辞,代表表記:的だ/てきだ カテゴリ:抽象物 準内容語,一,0,0
再会,さいかい,再会,名詞,サ変名詞,代表表記:再会/さいかい カテゴリ:抽象物,一,0,0
から,から,から,助詞,格助詞,NIL,一,0,0
出発,しゅっぱつ,出発,名詞,サ変名詞,代表表記:出発/しゅっぱつ カテゴリ:抽象物 反義:名詞-サ変名詞:到着/とうちゃく,一,0,0
す,す,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,一,0,0
べきである,べきである,べきだ,助動詞,*,NIL,一,0,0
が,が,が,助詞,接続助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
それ,それ,それ,指示詞,名詞形態指示詞,NIL,一,0,0
に,に,に,助詞,格助詞,NIL,一,0,0
ついて,ついて,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,一,0,0
は,は,は,助詞,副助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
先ず,まず,先ず,副詞,*,代表表記:先ず/まず,一,0,0
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,一,0,0
主人公,しゅじんこう,主人公,名詞,普通名詞,代表表記:主人公/しゅじんこう ドメイン:文化・芸術 カテゴリ:人 〜を〜に構成語,一,0,0
である,である,だ,判定詞,*,NIL,一,0,0
柾木,柾木,柾木,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,一,0,0
愛造,愛造,愛造,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,一,0,0
の,の,の,助詞,格助詞,NIL,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
いとも,いとも,いとも,副詞,*,代表表記:いとも/いとも 用言弱修飾,一,0,0
風変りな,ふうがわりな,風変りだ,形容詞,*,代表表記:風変わりだ/ふうがわりだ,一,0,0
性格,せいかく,性格,名詞,普通名詞,代表表記:性格/せいかく カテゴリ:抽象物,一,0,0
に,に,に,助詞,格助詞,NIL,一,0,0
ついて,ついて,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,一,0,0
、,、,、,特殊,読点,NIL,一,0,0
一言,いちげん,一言,名詞,サ変名詞,代表表記:一言/いちげん カテゴリ:抽象物,一,0,0
