見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
佳子,よしこ,佳子,名詞,人名,人名:日本:名:117:0.00073,,,,0,0
は,は,は,助詞,副助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
毎朝,まいあさ,毎朝,名詞,時相名詞,代表表記:毎朝/まいあさ カテゴリ:時間,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
夫,おっと,夫,名詞,普通名詞,代表表記:夫/おっと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
登庁,とうちょう,登庁,名詞,サ変名詞,代表表記:登庁/とうちょう ドメイン:政治 カテゴリ:抽象物 反義:名詞-サ変名詞:退庁/たいちょう,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
見送って,みおくって,見送る,動詞,*,代表表記:見送る/みおくる,,,,0,0
了,さとる,了,名詞,人名,人名:日本:名:1117:0.00015,,,,0,0
うと,うと,うつ,動詞,*,代表表記:打つ/うつ ドメイン:スポーツ,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
それ,それ,それ,指示詞,名詞形態指示詞,NIL,,,,0,0
は,は,は,助詞,副助詞,NIL,,,,0,0
いつも,いつも,いつも,副詞,*,代表表記:何時も/いつも,,,,0,0
十,じゅう,十,名詞,数詞,カテゴリ:数量,,,,0,0
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
過ぎる,すぎる,過ぎる,動詞,*,代表表記:過ぎる/すぎる 付属動詞候補（基本）,,,,0,0
のだ,のだ,のだ,助動詞,*,NIL,,,,0,0
が,が,が,助詞,接続助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
やっと,やっと,やっと,副詞,*,代表表記:やっと/やっと,,,,0,0
自分,じぶん,自分,名詞,普通名詞,代表表記:自分/じぶん カテゴリ:人 修飾（デ格）,,,,0,0
の,の,の,助詞,格助詞,NIL,,,,0,0
からだ,からだ,からだ,名詞,普通名詞,代表表記:体/からだ カテゴリ:動物 漢字読み:訓,,,,0,0
に,に,に,助詞,格助詞,NIL,,,,0,0
なって,なって,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
洋館,ようかん,洋館,名詞,普通名詞,代表表記:洋館/ようかん カテゴリ:場所-施設,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
方,かた,方,名詞,普通名詞,代表表記:方/かた カテゴリ:抽象物 漢字読み:訓,,,,0,0
の,の,の,助詞,格助詞,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
夫,おっと,夫,名詞,普通名詞,代表表記:夫/おっと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,,,,0,0
と,と,と,助詞,格助詞,NIL,,,,0,0
