見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
この,この,この,指示詞,連体詞形態指示詞,NIL,,,,0,0
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,,,,0,0
が,が,が,助詞,格助詞,NIL,,,,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
夢,ゆめ,夢,名詞,普通名詞,代表表記:夢/ゆめ ドメイン:家庭・暮らし カテゴリ:抽象物 漢字読み:訓,,,,0,0
か,か,か,助詞,接続助詞,NIL,,,,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
一時的,いちじてき,一時的だ,形容詞,*,代表表記:一時的だ/いちじてきだ,,,,0,0
狂気,きょうき,狂気,名詞,普通名詞,代表表記:狂気/きょうき カテゴリ:抽象物,,,,0,0
の,の,の,助詞,接続助詞,NIL,,,,0,0
幻,まぼろし,幻,名詞,普通名詞,代表表記:幻/まぼろし カテゴリ:抽象物 漢字読み:訓,,,,0,0
で,で,だ,判定詞,*,NIL,,,,0,0
なかった,なかった,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,,,0,0
ならば,ならば,だろう,助動詞,*,NIL,,,,0,0
、,、,、,特殊,読点,NIL,,,,0,0
あの,あの,あの,指示詞,連体詞形態指示詞,NIL,,,,0,0
押絵,押絵,押絵,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:姫田忠義 読み不明,,,,0,0
と,と,と,助詞,格助詞,NIL,,,,0,0
旅,たび,旅,名詞,サ変名詞,代表表記:旅/たび ドメイン:レクリエーション カテゴリ:抽象物 漢字読み:訓,,,,0,0
を,を,を,助詞,格助詞,NIL,,,,0,0
