見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
空,から,空,名詞,普通名詞,代表表記:空/から カテゴリ:抽象物 漢字読み:訓,,おねえさま,,0,0
に,に,に,助詞,格助詞,NIL,,おねえさま,,0,0
は,は,は,助詞,副助詞,NIL,,おねえさま,,0,0
一,いち,一,名詞,数詞,カテゴリ:数量,,おねえさま,,0,0
点,てん,点,接尾辞,名詞性名詞助数辞,代表表記:点/てん 準内容語,,おねえさま,,0,0
の,の,の,助詞,接続助詞,NIL,,おねえさま,,0,0
雲,くも,雲,名詞,普通名詞,代表表記:雲/くも カテゴリ:自然物 漢字読み:訓,,おねえさま,,0,0
も,も,も,助詞,副助詞,NIL,,おねえさま,,0,0
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,,おねえさま,,0,0
、,、,、,特殊,読点,NIL,,おねえさま,,0,0
さんさんと,さんさんと,さんさんと,副詞,*,代表表記:燦々と/さんさんと スル接続可能,,おねえさま,,0,0
かがやく,かがやく,かがやく,動詞,*,代表表記:輝く/かがやく 形容詞派生:輝かしい/かがやかしい,,おねえさま,,0,0
太陽,たいよう,太陽,名詞,普通名詞,代表表記:太陽/たいよう カテゴリ:自然物,,おねえさま,,0,0
に,に,に,助詞,格助詞,NIL,,おねえさま,,0,0
照らさ,てらさ,照らす,動詞,*,代表表記:照らす/てらす 自他動詞:自:照る/てる,,おねえさま,,0,0
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,,おねえさま,,0,0
、,、,、,特殊,読点,NIL,,おねえさま,,0,0
ひろい,ひろい,ひろい,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,,おねえさま,,0,0
原っぱ,はらっぱ,原っぱ,名詞,普通名詞,代表表記:原っぱ/はらっぱ カテゴリ:場所-自然,,おねえさま,,0,0
から,から,から,助詞,格助詞,NIL,,おねえさま,,0,0
は,は,は,助詞,副助詞,NIL,,おねえさま,,0,0
、,、,、,特殊,読点,NIL,,おねえさま,,0,0
ゆらゆら,ゆらゆら,ゆらゆら,副詞,*,代表表記:ユラユラ/ゆらゆら スル接続可能,,おねえさま,,0,0
と,と,と,助詞,格助詞,NIL,,おねえさま,,0,0
、,、,、,特殊,読点,NIL,,おねえさま,,0,0
かげろう,かげろう,かげろう,名詞,普通名詞,代表表記:陽炎/かげろう カテゴリ:抽象物,,おねえさま,,0,0
が,が,が,助詞,格助詞,NIL,,おねえさま,,0,0
たちのぼって,たちのぼって,たちのぼる,動詞,*,代表表記:立ち上る/たちのぼる,,おねえさま,,0,0
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,おねえさま,,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,,おねえさま,,0,0
。,。,。,特殊,句点,NIL,,おねえさま,,0,0
その,その,その,指示詞,連体詞形態指示詞,NIL,,おねえさま,,0,1
原っぱ,はらっぱ,原っぱ,名詞,普通名詞,代表表記:原っぱ/はらっぱ カテゴリ:場所-自然,,おねえさま,,0,1
の,の,の,助詞,格助詞,NIL,,おねえさま,,0,1
まんなか,まんなか,まんなか,名詞,普通名詞,代表表記:真ん中/まんなか カテゴリ:場所-機能,,おねえさま,,0,1
に,に,に,助詞,格助詞,NIL,,おねえさま,,0,1
、,、,、,特殊,読点,NIL,,おねえさま,,0,1
十二,十二,十二,名詞,地名,代表表記:十二/十二 地名:日本 DEV:prefix1,,おねえさま,,0,1
―,―,―,特殊,記号,NIL,,おねえさま,,0,1
三,さん,三,名詞,数詞,カテゴリ:数量,,おねえさま,,0,1
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,,おねえさま,,0,1
の,の,の,助詞,接続助詞,NIL,,おねえさま,,0,1
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,,おねえさま,,0,1
五,ご,五,名詞,数詞,カテゴリ:数量,,おねえさま,,0,1
―,―,―,特殊,記号,NIL,,おねえさま,,0,1
六,ろく,六,名詞,数詞,カテゴリ:数量,,おねえさま,,0,1
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,,おねえさま,,0,1
から,から,から,助詞,格助詞,NIL,,おねえさま,,0,1
、,、,、,特殊,読点,NIL,,おねえさま,,0,1
中学,ちゅうがく,中学,名詞,普通名詞,代表表記:中学/ちゅうがく ドメイン:教育・学習 カテゴリ:組織・団体;場所-施設 組織名末尾,,おねえさま,,0,1
一,いち,一,名詞,数詞,カテゴリ:数量,,おねえさま,,0,1
―,―,―,特殊,記号,NIL,,おねえさま,,0,1
二,に,二,名詞,数詞,カテゴリ:数量,,おねえさま,,0,1
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,,おねえさま,,0,1
ぐらい,ぐらい,ぐらい,助詞,副助詞,代表表記:くらい/くらい,,おねえさま,,0,1
の,の,の,助詞,接続助詞,NIL,,おねえさま,,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,,おねえさま,,0,1
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,,おねえさま,,0,1
が,が,が,助詞,格助詞,NIL,,おねえさま,,0,1
集まって,あつまって,集まる,動詞,*,代表表記:集まる/あつまる 自他動詞:他:集める/あつめる,,おねえさま,,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,おねえさま,,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,,おねえさま,,0,1
。,。,。,特殊,句点,NIL,,おねえさま,,0,1
その,その,その,指示詞,連体詞形態指示詞,NIL,,おねえさま,,0,2
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,,おねえさま,,0,2
に,に,に,助詞,格助詞,NIL,,おねえさま,,0,2
たった,たった,たった,連体詞,*,代表表記:たった/たった,,おねえさま,,0,2
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,,おねえさま,,0,2
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,,おねえさま,,0,2
、,、,、,特殊,読点,NIL,,おねえさま,,0,2
女の子,おんなのこ,女の子,名詞,普通名詞,代表表記:女の子/おんなのこ ドメイン:家庭・暮らし カテゴリ:人,,おねえさま,,0,2
が,が,が,助詞,格助詞,NIL,,おねえさま,,0,2
まじって,まじって,まじる,動詞,*,代表表記:交じる/まじる 自他動詞:他:交ぜる/まぜる,,おねえさま,,0,2
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,おねえさま,,0,2
のです,のです,のだ,助動詞,*,NIL,,おねえさま,,0,2
。,。,。,特殊,句点,NIL,,おねえさま,,0,2
女の子,おんなのこ,女の子,名詞,普通名詞,代表表記:女の子/おんなのこ ドメイン:家庭・暮らし カテゴリ:人,,おねえさま,,0,3
と,と,と,助詞,格助詞,NIL,,おねえさま,,0,3
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,,おねえさま,,0,3
も,も,も,助詞,副助詞,NIL,,おねえさま,,0,3
、,、,、,特殊,読点,NIL,,おねえさま,,0,3
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,,おねえさま,,0,3
高等,こうとう,高等だ,形容詞,*,代表表記:高等だ/こうとうだ 反義:形容詞:下等だ/かとうだ,,おねえさま,,0,3
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,,おねえさま,,0,3
を,を,を,助詞,格助詞,NIL,,おねえさま,,0,3
出た,でた,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,,おねえさま,,0,3
美しい,うつくしい,美しい,形容詞,*,代表表記:美しい/うつくしい 反義:形容詞:醜い/みにくい,,おねえさま,,0,3
おじょうさん,おじょうさん,おじょうさん,名詞,普通名詞,代表表記:御嬢さん/おじょうさん カテゴリ:人,,おねえさま,,0,3
です,です,だ,判定詞,*,NIL,,おねえさま,,0,3
。,。,。,特殊,句点,NIL,,おねえさま,,0,3
えび,えび,えび,名詞,普通名詞,代表表記:海老/えび ドメイン:料理・食事 カテゴリ:動物;人工物-食べ物,,おねえさま,,0,4
ちゃ色,ちゃいろ,ちゃ色い,形容詞,*,代表表記:茶色い/ちゃいろい 名詞派生:茶色/ちゃいろ,,おねえさま,,0,4
の,の,の,助詞,接続助詞,NIL,,おねえさま,,0,4
ワンピース,わんぴーす,ワンピース,名詞,普通名詞,代表表記:ワンピース/わんぴーす ドメイン:家庭・暮らし カテゴリ:人工物-衣類,,おねえさま,,0,4
を,を,を,助詞,格助詞,NIL,,おねえさま,,0,4
