表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,１,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,１,,0,0
ち,動詞,自立,*,*,五段・ラ行,体言接続特殊２,ちる,チ,チ,,１,,0,0
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,１,,0,0
日,名詞,接尾,一般,*,*,*,日,ビ,ビ,,１,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,１,,0,0
ご,接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ,,１,,0,0
ご,接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
丹下,名詞,固有名詞,人名,姓,*,*,丹下,タンゲ,タンゲ,,１,,0,0
サト子,名詞,固有名詞,人名,名,*,*,サト子,サトコ,サトコ,,１,,0,0
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,１,,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
木村,名詞,固有名詞,人名,姓,*,*,木村,キムラ,キムラ,,１,,0,0
ミドリ,名詞,固有名詞,人名,名,*,*,ミドリ,ミドリ,ミドリ,,１,,0,0
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,１,,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
野崎,名詞,固有名詞,人名,姓,*,*,野崎,ノサキ,ノサキ,,１,,0,0
サユリ,名詞,固有名詞,人名,名,*,*,サユリ,サユリ,サユリ,,１,,0,0
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,１,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,１,,0,0
三,名詞,数,*,*,*,*,三,サン,サン,,１,,0,0
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,,１,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,,１,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,１,,0,0
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,,１,,0,0
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,１,,0,0
あそび,動詞,自立,*,*,五段・バ行,連用形,あそぶ,アソビ,アソビ,,１,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,１,,0,0
行っ,動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,,１,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,１,,0,0
かえり,名詞,一般,*,*,*,*,帰り,カエリ,カエリ,,１,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
世田谷区,名詞,固有名詞,地域,一般,*,*,世田谷区,セタガヤク,セタガヤク,,１,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,１,,0,0
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,,１,,0,0
町,名詞,一般,*,*,*,*,町,マチ,マチ,,１,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
手,名詞,一般,*,*,*,*,手,テ,テ,,１,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,１,,0,0
つない,動詞,自立,*,*,五段・ガ行,連用タ接続,つなぐ,ツナイ,ツナイ,,１,,0,0
で,助詞,接続助詞,*,*,*,*,で,デ,デ,,１,,0,0
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ,,１,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,１,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,１,,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,１,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,１,,0,0
。,記号,句点,*,*,*,*,。,。,。,,１,,0,0
三,名詞,数,*,*,*,*,三,サン,サン,,１,,0,1
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,,１,,0,1
とも,助詞,副助詞,*,*,*,*,とも,トモ,トモ,,１,,0,1
、,記号,読点,*,*,*,*,、,、,、,,１,,0,1
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,,１,,0,1
三,名詞,数,*,*,*,*,三,サン,サン,,１,,0,1
年生,名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,,１,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,１,,0,1
なかよし,名詞,一般,*,*,*,*,なかよし,ナカヨシ,ナカヨシ,,１,,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,１,,0,1
。,記号,句点,*,*,*,*,。,。,。,,１,,0,1
「,記号,括弧開,*,*,*,*,「,「,「,,１,,0,2
あらっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,あらう,アラッ,アラッ,,１,,0,2
。,記号,句点,*,*,*,*,。,。,。,,１,,0,2
」,記号,括弧閉,*,*,*,*,」,」,」,,１,,0,3
サト子,名詞,固有名詞,人名,名,*,*,サト子,サトコ,サトコ,,１,,0,3
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,１,,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,１,,0,3
、,記号,読点,*,*,*,*,、,、,、,,１,,0,3
なに,名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,,１,,0,3
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,１,,0,3
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,,１,,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,１,,0,3
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,１,,0,3
