表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
二月,名詞,副詞可能,*,*,*,*,二月,ニガツ,ニガツ,,発表者の附記,,0,0
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ,,発表者の附記,,0,0
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,,発表者の附記,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,発表者の附記,,0,0
事,名詞,非自立,一般,*,*,*,事,コト,コト,,発表者の附記,,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,発表者の附記,,0,0
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,,発表者の附記,,0,0
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,発表者の附記,,0,0
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,0
Ｎ,記号,アルファベット,*,*,*,*,Ｎ,エヌ,エヌ,,発表者の附記,,0,0
某,名詞,一般,*,*,*,*,某,ボウ,ボー,,発表者の附記,,0,0
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,発表者の附記,,0,0
中年,名詞,一般,*,*,*,*,中年,チュウネン,チューネン,,発表者の附記,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,発表者の附記,,0,0
失業者,名詞,固有名詞,一般,*,*,*,失業者,シツギョウシャ,シツギョーシャ,,発表者の附記,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,発表者の附記,,0,0
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,0
手紙,名詞,一般,*,*,*,*,手紙,テガミ,テガミ,,発表者の附記,,0,0
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,発表者の附記,,0,0
電話,名詞,サ変接続,*,*,*,*,電話,デンワ,デンワ,,発表者の附記,,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,発表者の附記,,0,0
来訪,名詞,サ変接続,*,*,*,*,来訪,ライホウ,ライホー,,発表者の附記,,0,0
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,発表者の附記,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,発表者の附記,,0,0
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,0
執念深い,形容詞,自立,*,*,形容詞・アウオ段,基本形,執念深い,シュウネンブカイ,シューネンブカイ,,発表者の附記,,0,0
攻撃,名詞,サ変接続,*,*,*,*,攻撃,コウゲキ,コーゲキ,,発表者の附記,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,発表者の附記,,0,0
結果,名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ,,発表者の附記,,0,0
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,0
とうとう,副詞,一般,*,*,*,*,とうとう,トウトウ,トートー,,発表者の附記,,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,発表者の附記,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,発表者の附記,,0,0
書斎,名詞,一般,*,*,*,*,書斎,ショサイ,ショサイ,,発表者の附記,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,発表者の附記,,0,0
上り,動詞,自立,*,*,五段・ラ行,連用形,上る,ノボリ,ノボリ,,発表者の附記,,0,0
込ん,動詞,非自立,*,*,五段・マ行,連用タ接続,込む,コン,コン,,発表者の附記,,0,0
で,助詞,接続助詞,*,*,*,*,で,デ,デ,,発表者の附記,,0,0
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,0
二,名詞,数,*,*,*,*,二,ニ,ニ,,発表者の附記,,0,0
冊,名詞,接尾,助数詞,*,*,*,冊,サツ,サツ,,発表者の附記,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,発表者の附記,,0,0
部厚,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,部厚い,ブアツ,ブアツ,,発表者の附記,,0,0
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,,発表者の附記,,0,0
記録,名詞,サ変接続,*,*,*,*,記録,キロク,キロク,,発表者の附記,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,発表者の附記,,0,0
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,発表者の附記,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,発表者の附記,,0,0
売りつけ,動詞,自立,*,*,一段,連用形,売りつける,ウリツケ,ウリツケ,,発表者の附記,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,発表者の附記,,0,0
しまっ,動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,しまう,シマッ,シマッ,,発表者の附記,,0,0
