表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
小説家,名詞,固有名詞,人名,一般,*,*,小説家,ショウセツカ,ショーセツカ,,老人形師,,0,0
大江,名詞,固有名詞,人名,姓,*,*,大江,オオエ,オーエ,,老人形師,,0,0
蘭,名詞,固有名詞,人名,名,*,*,蘭,ラン,ラン,,老人形師,,0,0
堂,名詞,接尾,一般,*,*,*,堂,ドウ,ドー,,老人形師,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,老人形師,,0,0
、,記号,読点,*,*,*,*,、,、,、,,老人形師,,0,0
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,,老人形師,,0,0
師,名詞,接尾,一般,*,*,*,師,シ,シ,,老人形師,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,老人形師,,0,0
仕事,名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,,老人形師,,0,0
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,,老人形師,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,老人形師,,0,0
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,老人形師,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,老人形師,,0,0
書く,動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク,,老人形師,,0,0
必要,名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー,,老人形師,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,老人形師,,0,0
迫ら,動詞,自立,*,*,五段・ラ行,未然形,迫る,セマラ,セマラ,,老人形師,,0,0
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,老人形師,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,老人形師,,0,0
。,記号,句点,*,*,*,*,。,。,。,,老人形師,,0,0
ブリタニカ,名詞,一般,*,*,*,*,*,*,*,,老人形師,,0,1
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,,老人形師,,0,1
、,記号,読点,*,*,*,*,、,、,、,,老人形師,,0,1
アメリカナ,名詞,一般,*,*,*,*,*,*,*,,老人形師,,0,1
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,,老人形師,,0,1
、,記号,読点,*,*,*,*,、,、,、,,老人形師,,0,1
大,接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,,老人形師,,0,1
百科辞典,名詞,一般,*,*,*,*,百科辞典,ヒャッカジテン,ヒャッカジテン,,老人形師,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,老人形師,,0,1
ひい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ひく,ヒイ,ヒイ,,老人形師,,0,1
