表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
つけ句,名詞,一般,*,*,*,*,付句,ツケク,ツケク,< 章なし >,0,0
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,0
連作,名詞,サ変接続,*,*,*,*,連作,レンサク,レンサク,< 章なし >,0,1
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,1
連歌,名詞,一般,*,*,*,*,連歌,レンガ,レンガ,< 章なし >,0,1
俳諧,名詞,一般,*,*,*,*,俳諧,ハイカイ,ハイカイ,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
如き,助動詞,*,*,*,文語・ゴトシ,体言接続,如し,ゴトキ,ゴトキ,< 章なし >,0,1
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,< 章なし >,0,1
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,1
あろ,助動詞,*,*,*,五段・ラ行アル,未然ウ接続,ある,アロ,アロ,< 章なし >,0,1
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >,0,1
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,1
第一,名詞,固有名詞,一般,*,*,*,第一,ダイイチ,ダイイチ,< 章なし >,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,2
発句,名詞,一般,*,*,*,*,発句,ホック,ホック,< 章なし >,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,2
余り,名詞,一般,*,*,*,*,余り,アマリ,アマリ,< 章なし >,0,2
限定,名詞,サ変接続,*,*,*,*,限定,ゲンテイ,ゲンテイ,< 章なし >,0,2
的,名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,< 章なし >,0,2
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,2
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,2
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,< 章なし >,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,2
よろしい,形容詞,自立,*,*,形容詞・イ段,基本形,よろしい,ヨロシイ,ヨロシイ,< 章なし >,0,2
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,2
脇,名詞,一般,*,*,*,*,脇,ワキ,ワキ,< 章なし >,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,3
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,< 章なし >,0,3
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,3
いかよう,名詞,一般,*,*,*,*,如何様,イカヨウ,イカヨー,< 章なし >,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,3
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,3
受けとる,動詞,自立,*,*,五段・ラ行,基本形,受けとる,ウケトル,ウケトル,< 章なし >,0,3
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,3
あろ,助動詞,*,*,*,五段・ラ行アル,未然ウ接続,ある,アロ,アロ,< 章なし >,0,3
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >,0,3
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,3
第,接頭詞,数接続,*,*,*,*,第,ダイ,ダイ,< 章なし >,0,4
三,名詞,数,*,*,*,*,三,サン,サン,< 章なし >,0,4
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,4
また,副詞,助詞類接続,*,*,*,*,また,マタ,マタ,< 章なし >,0,4
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,4
別,名詞,一般,*,*,*,*,別,ベツ,ベツ,< 章なし >,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,4
方向,名詞,一般,*,*,*,*,方向,ホウコウ,ホーコー,< 章なし >,0,4
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,4
転化,名詞,サ変接続,*,*,*,*,転化,テンカ,テンカ,< 章なし >,0,4
