表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
明石,名詞,固有名詞,人名,姓,*,*,明石,アカシ,アカシ,象の鼻,0,0
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,象の鼻,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,象の鼻,0,0
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,0
学校,名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,象の鼻,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,0
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,象の鼻,0,0
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,象の鼻,0,0
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,象の鼻,0,0
近所,名詞,一般,*,*,*,*,近所,キンジョ,キンジョ,象の鼻,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,0
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,象の鼻,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,象の鼻,0,0
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,0
「,記号,括弧開,*,*,*,*,「,「,「,象の鼻,0,0
智恵,名詞,固有名詞,人名,名,*,*,智恵,チエ,チエ,象の鼻,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,0
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,0
」,記号,括弧閉,*,*,*,*,」,」,」,象の鼻,0,0
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,象の鼻,0,0
あだな,名詞,一般,*,*,*,*,あだな,アダナ,アダナ,象の鼻,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,0
つけ,動詞,自立,*,*,一段,未然形,つける,ツケ,ツケ,象の鼻,0,0
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,象の鼻,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,象の鼻,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,象の鼻,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,0
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,0
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,象の鼻,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,象の鼻,0,1
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,1
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,1
君,名詞,接尾,人名,*,*,*,君,クン,クン,象の鼻,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,1
とても,副詞,助詞類接続,*,*,*,*,とても,トテモ,トテモ,象の鼻,0,1
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,1
うまい,形容詞,自立,*,*,形容詞・アウオ段,基本形,うまい,ウマイ,ウマイ,象の鼻,0,1
考,名詞,一般,*,*,*,*,考,コウ,コー,象の鼻,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,1
出し,動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,象の鼻,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,1
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,1
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,象の鼻,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,1
びっくり,名詞,サ変接続,*,*,*,*,びっくり,ビックリ,ビックリ,象の鼻,0,1
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,象の鼻,0,1
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ,象の鼻,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,1
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,象の鼻,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,1
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,1
いくど,名詞,一般,*,*,*,*,幾度,イクド,イクド,象の鼻,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,象の鼻,0,1
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,象の鼻,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,1
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,象の鼻,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,象の鼻,0,1
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,1
近所,名詞,一般,*,*,*,*,近所,キンジョ,キンジョ,象の鼻,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,2
おばさん,名詞,一般,*,*,*,*,おばさん,オバサン,オバサン,象の鼻,0,2
なんか,助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,象の鼻,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,象の鼻,0,2
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,2
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,2
君,名詞,接尾,人名,*,*,*,君,クン,クン,象の鼻,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,2
「,記号,括弧開,*,*,*,*,「,「,「,象の鼻,0,2
頓智,名詞,一般,*,*,*,*,頓智,トンチ,トンチ,象の鼻,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,2
うまい,形容詞,自立,*,*,形容詞・アウオ段,基本形,うまい,ウマイ,ウマイ,象の鼻,0,2
」,記号,括弧閉,*,*,*,*,」,」,」,象の鼻,0,2
と,助詞,格助詞,引用,*,*,*,と,ト,ト,象の鼻,0,2
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,象の鼻,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,2
ほめ,動詞,自立,*,*,一段,連用形,ほめる,ホメ,ホメ,象の鼻,0,2
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,象の鼻,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,2
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,象の鼻,0,2
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,2
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,2
君,名詞,接尾,人名,*,*,*,君,クン,クン,象の鼻,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,2
智恵,名詞,固有名詞,人名,名,*,*,智恵,チエ,チエ,象の鼻,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,象の鼻,0,2
ただ,名詞,一般,*,*,*,*,ただ,タダ,タダ,象の鼻,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,2
頓智,名詞,一般,*,*,*,*,頓智,トンチ,トンチ,象の鼻,0,2
で,助詞,格助詞,一般,*,*,*,で,デ,デ,象の鼻,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,象の鼻,0,2
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,象の鼻,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,2
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,2
