表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
春,名詞,一般,*,*,*,*,春,ハル,ハル,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
Ｋ,記号,アルファベット,*,*,*,*,Ｋ,ケイ,ケイ,,,,0,0
温泉,名詞,一般,*,*,*,*,温泉,オンセン,オンセン,,,,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,0
山路,名詞,一般,*,*,*,*,山路,ヤマジ,ヤマジ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
のぼる,動詞,自立,*,*,五段・ラ行,基本形,のぼる,ノボル,ノボル,,,,0,0
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,0
一,名詞,数,*,*,*,*,一,イチ,イチ,,,,0,0
哩,名詞,接尾,助数詞,*,*,*,哩,マイル,マイル,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
はるか,名詞,固有名詞,一般,*,*,*,はるか,ハルカ,ハルカ,,,,0,0
眼,名詞,一般,*,*,*,*,眼,メ,メ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
下,名詞,一般,*,*,*,*,下,シタ,シタ,,,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,0
渓流,名詞,一般,*,*,*,*,渓流,ケイリュウ,ケイリュー,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
のぞむ,動詞,自立,*,*,五段・マ行,基本形,のぞむ,ノゾム,ノゾム,,,,0,0
断崖,名詞,一般,*,*,*,*,断崖,ダンガイ,ダンガイ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
自然,名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン,,,,0,0
石,名詞,接尾,一般,*,*,*,石,セキ,セキ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
ベンチ,名詞,一般,*,*,*,*,ベンチ,ベンチ,ベンチ,,,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,0
肩,名詞,一般,*,*,*,*,肩,カタ,カタ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
ならべ,動詞,自立,*,*,一段,連用形,ならべる,ナラベ,ナラベ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
男女,名詞,一般,*,*,*,*,男女,ダンジョ,ダンジョ,,,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,0
語りあっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,語りあう,カタリアッ,カタリアッ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
二,名詞,数,*,*,*,*,二,ニ,ニ,,,,0,1
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,,,,0,1
七,名詞,数,*,*,*,*,七,ナナ,ナナ,,,,0,1
八,名詞,数,*,*,*,*,八,ハチ,ハチ,,,,0,1
歳,名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
女,名詞,一般,*,*,*,*,女,オンナ,オンナ,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,,,0,1
より,助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,,,,0,1
二つ,名詞,一般,*,*,*,*,二つ,フタツ,フタツ,,,,0,1
三つ,名詞,一般,*,*,*,*,三つ,ミッツ,ミッツ,,,,0,1
年上,名詞,一般,*,*,*,*,年上,トシウエ,トシウエ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
二人,名詞,一般,*,*,*,*,二人,フタリ,フタリ,,,,0,1
とも,助詞,副助詞,*,*,*,*,とも,トモ,トモ,,,,0,1
温泉宿,名詞,固有名詞,一般,*,*,*,温泉宿,オンセンヤド,オンセンヤド,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
ゆかた,名詞,一般,*,*,*,*,ゆかた,ユカタ,ユカタ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
丹前,名詞,一般,*,*,*,*,丹前,タンゼン,タンゼン,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
かさね,動詞,自立,*,*,一段,連用形,かさねる,カサネ,カサネ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,,,0,1
。,記号,句点,*,*,*,*,。,。,。,,,,0,1
女,名詞,一般,*,*,*,*,女,オンナ,オンナ,,,,0,2
「,記号,括弧開,*,*,*,*,「,「,「,,,,0,2
たえず,副詞,一般,*,*,*,*,たえず,タエズ,タエズ,,,,0,2
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,,,,0,2
だし,動詞,非自立,*,*,五段・サ行,連用形,だす,ダシ,ダシ,,,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,2
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,2
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
話せ,動詞,自立,*,*,一段,未然形,話せる,ハナセ,ハナセ,,,,0,2
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,,,0,2
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,,,,0,2
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,,,,0,2
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
息ぐるしい,形容詞,自立,*,*,形容詞・イ段,基本形,息ぐるしい,イキグルシイ,イキグルシイ,,,,0,2
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,,,0,2
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,,,,0,2
。,記号,句点,*,*,*,*,。,。,。,,,,0,2
あれから,名詞,固有名詞,一般,*,*,*,あれから,アレカラ,アレカラ,,,,0,3
もう,副詞,一般,*,*,*,*,もう,モウ,モー,,,,0,3
ずいぶん,副詞,助詞類接続,*,*,*,*,ずいぶん,ズイブン,ズイブン,,,,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,3
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,,,,0,3
のに,助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
あたし,名詞,代名詞,一般,*,*,*,あたし,アタシ,アタシ,,,,0,3
たち,名詞,接尾,一般,*,*,*,たち,タチ,タチ,,,,0,3
一,名詞,数,*,*,*,*,一,イチ,イチ,,,,0,3
度,名詞,接尾,助数詞,*,*,*,度,ド,ド,,,,0,3
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,,,,0,3
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,3
話し,動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ,,,,0,3
あっ,動詞,非自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,,,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,3
い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,,,,0,3
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,,,0,3
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,,,,0,3
