表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
少年探偵団,名詞,固有名詞,人名,一般,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,,鉄塔の火星人,,0,0
員,名詞,接尾,一般,*,*,*,員,イン,イン,,鉄塔の火星人,,0,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,鉄塔の火星人,,0,0
、,記号,読点,*,*,*,*,、,、,、,,鉄塔の火星人,,0,0
中学,名詞,一般,*,*,*,*,中学,チュウガク,チューガク,,鉄塔の火星人,,0,0
一,名詞,数,*,*,*,*,一,イチ,イチ,,鉄塔の火星人,,0,0
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,,鉄塔の火星人,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,鉄塔の火星人,,0,0
中村,名詞,固有名詞,人名,姓,*,*,中村,ナカムラ,ナカムラ,,鉄塔の火星人,,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,,鉄塔の火星人,,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,鉄塔の火星人,,0,0
、,記号,読点,*,*,*,*,、,、,、,,鉄塔の火星人,,0,0
有田,名詞,固有名詞,人名,姓,*,*,有田,アリタ,アリタ,,鉄塔の火星人,,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,,鉄塔の火星人,,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,鉄塔の火星人,,0,0
、,記号,読点,*,*,*,*,、,、,、,,鉄塔の火星人,,0,0
長島,名詞,固有名詞,人名,姓,*,*,長島,ナガシマ,ナガシマ,,鉄塔の火星人,,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,,鉄塔の火星人,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,鉄塔の火星人,,0,0
三,名詞,数,*,*,*,*,三,サン,サン,,鉄塔の火星人,,0,0
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,,鉄塔の火星人,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,鉄塔の火星人,,0,0
、,記号,読点,*,*,*,*,、,、,、,,鉄塔の火星人,,0,0
大,名詞,一般,*,*,*,*,大,ダイ,ダイ,,鉄塔の火星人,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,鉄塔の火星人,,0,0
なかよし,名詞,一般,*,*,*,*,なかよし,ナカヨシ,ナカヨシ,,鉄塔の火星人,,0,0
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,,鉄塔の火星人,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,鉄塔の火星人,,0,0
。,記号,句点,*,*,*,*,。,。,。,,鉄塔の火星人,,0,0
ある,連体詞,*,*,*,*,*,ある,アル,アル,,鉄塔の火星人,,0,1
午後,名詞,副詞可能,*,*,*,*,午後,ゴゴ,ゴゴ,,鉄塔の火星人,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,鉄塔の火星人,,0,1
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,鉄塔の火星人,,0,1
、,記号,読点,*,*,*,*,、,、,、,,鉄塔の火星人,,0,1
有田,名詞,固有名詞,人名,姓,*,*,有田,アリタ,アリタ,,鉄塔の火星人,,0,1
君,名詞,接尾,人名,*,*,*,君,クン,クン,,鉄塔の火星人,,0,1
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,鉄塔の火星人,,0,1
長島,名詞,固有名詞,人名,姓,*,*,長島,ナガシマ,ナガシマ,,鉄塔の火星人,,0,1
君,名詞,接尾,人名,*,*,*,君,クン,クン,,鉄塔の火星人,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,鉄塔の火星人,,0,1
、,記号,読点,*,*,*,*,、,、,、,,鉄塔の火星人,,0,1
中村,名詞,固有名詞,人名,姓,*,*,中村,ナカムラ,ナカムラ,,鉄塔の火星人,,0,1
君,名詞,接尾,人名,*,*,*,君,クン,クン,,鉄塔の火星人,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,鉄塔の火星人,,0,1
家,名詞,一般,*,*,*,*,家,イエ,イエ,,鉄塔の火星人,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,鉄塔の火星人,,0,1
、,記号,読点,*,*,*,*,、,、,、,,鉄塔の火星人,,0,1
遊び,名詞,一般,*,*,*,*,遊び,アソビ,アソビ,,鉄塔の火星人,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,鉄塔の火星人,,0,1
き,動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ,,鉄塔の火星人,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,鉄塔の火星人,,0,1
