表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,一,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,0
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,一,0,0
不思議,名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ,一,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一,0,0
クラブ,名詞,一般,*,*,*,*,クラブ,クラブ,クラブ,一,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,0
存在,名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ,一,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,0
知っ,動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,一,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,0
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,一,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,0
友人,名詞,一般,*,*,*,*,友人,ユウジン,ユージン,一,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,0
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,一,0,0
次郎,名詞,固有名詞,人名,名,*,*,次郎,ジロウ,ジロー,一,0,0
によって,助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ,一,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一,0,0
あり,助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ,一,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,0
。,記号,句点,*,*,*,*,。,。,。,一,0,0
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,一,0,1
次郎,名詞,固有名詞,人名,名,*,*,次郎,ジロウ,ジロー,一,0,1
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,一,0,1
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,一,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
世間,名詞,一般,*,*,*,*,世間,セケン,セケン,一,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,1
そうした,連体詞,*,*,*,*,*,そうした,ソウシタ,ソーシタ,一,0,1
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,一,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,1
