表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
きむ,名詞,固有名詞,人名,一般,*,*,きむ,キム,キム,１マントにんぎょうのまき,,,0,0
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ,１マントにんぎょうのまき,,,0,0
たけし,名詞,固有名詞,人名,名,*,*,たけし,タケシ,タケシ,１マントにんぎょうのまき,,,0,0
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１マントにんぎょうのまき,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,0
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,0
しょうがっこう,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,１マントにんぎょうのまき,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,0
二,名詞,数,*,*,*,*,二,ニ,ニ,１マントにんぎょうのまき,,,0,0
ねん,助詞,終助詞,*,*,*,*,ねん,ネン,ネン,１マントにんぎょうのまき,,,0,0
生,名詞,形容動詞語幹,*,*,*,*,生,ナマ,ナマ,１マントにんぎょうのまき,,,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,１マントにんぎょうのまき,,,0,0
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,0
とうき,名詞,一般,*,*,*,*,とうき,トウキ,トーキ,１マントにんぎょうのまき,,,0,0
ょうのひろいおうちにすんでいました,名詞,一般,*,*,*,*,*,*,*,１マントにんぎょうのまき,,,0,0
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,0
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,１マントにんぎょうのまき,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,1
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,1
ある,連体詞,*,*,*,*,*,ある,アル,アル,１マントにんぎょうのまき,,,0,1
かいしゃ,名詞,サ変接続,*,*,*,*,かいしゃ,カイシャ,カイシャ,１マントにんぎょうのまき,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,1
しゃちょう,名詞,一般,*,*,*,*,社長,シャチョウ,シャチョー,１マントにんぎょうのまき,,,0,1
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,１マントにんぎょうのまき,,,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１マントにんぎょうのまき,,,0,1
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,1
きむ,名詞,固有名詞,人名,一般,*,*,きむ,キム,キム,１マントにんぎょうのまき,,,0,2
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ,１マントにんぎょうのまき,,,0,2
たけし,名詞,固有名詞,人名,名,*,*,たけし,タケシ,タケシ,１マントにんぎょうのまき,,,0,2
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１マントにんぎょうのまき,,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,2
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,１マントにんぎょうのまき,,,0,2
うち,名詞,一般,*,*,*,*,うち,ウチ,ウチ,１マントにんぎょうのまき,,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,2
ちかく,副詞,一般,*,*,*,*,ちかく,チカク,チカク,１マントにんぎょうのまき,,,0,2
