表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
「,記号,括弧開,*,*,*,*,「,「,「,,一、その翌日,,0,0
お父さん,名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,,一、その翌日,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,一、その翌日,,0,0
、,記号,読点,*,*,*,*,、,、,、,,一、その翌日,,0,0
なくなら,動詞,自立,*,*,五段・ラ行,未然形,なくなる,ナクナラ,ナクナラ,,一、その翌日,,0,0
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,一、その翌日,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,一、その翌日,,0,0
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,一、その翌日,,0,0
、,記号,読点,*,*,*,*,、,、,、,,一、その翌日,,0,0
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,,一、その翌日,,0,0
じゃ,助詞,接続助詞,*,*,*,*,じゃ,ジャ,ジャ,,一、その翌日,,0,0
ないか,名詞,一般,*,*,*,*,内科,ナイカ,ナイカ,,一、その翌日,,0,0
」,記号,括弧閉,*,*,*,*,」,」,」,,一、その翌日,,0,0
「,記号,括弧開,*,*,*,*,「,「,「,,一、その翌日,,0,0
ウン,名詞,固有名詞,一般,*,*,*,ウン,ウン,ウン,,一、その翌日,,0,0
」,記号,括弧閉,*,*,*,*,」,」,」,,一、その翌日,,0,0
「,記号,括弧開,*,*,*,*,「,「,「,,一、その翌日,,0,0
矢張り,副詞,一般,*,*,*,*,矢張り,ヤハリ,ヤハリ,,一、その翌日,,0,0
本当,名詞,形容動詞語幹,*,*,*,*,本当,ホントウ,ホントー,,一、その翌日,,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,一、その翌日,,0,0
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,,一、その翌日,,0,0
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,一、その翌日,,0,0
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,,一、その翌日,,0,0
。,記号,句点,*,*,*,*,。,。,。,,一、その翌日,,0,0
だが,接続詞,*,*,*,*,*,だが,ダガ,ダガ,,一、その翌日,,0,1
、,記号,読点,*,*,*,*,、,、,、,,一、その翌日,,0,1
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ,,一、その翌日,,0,1
