表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,,志摩の女王,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,志摩の女王,,0,0
まん中,名詞,一般,*,*,*,*,まん中,マンナカ,マンナカ,,志摩の女王,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,志摩の女王,,0,0
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,志摩の女王,,0,0
有名,名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ,,志摩の女王,,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,志摩の女王,,0,0
デパート,名詞,一般,*,*,*,*,デパート,デパート,デパート,,志摩の女王,,0,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,志摩の女王,,0,0
、,記号,読点,*,*,*,*,、,、,、,,志摩の女王,,0,0
宝石,名詞,一般,*,*,*,*,宝石,ホウセキ,ホーセキ,,志摩の女王,,0,0
てん,助詞,終助詞,*,*,*,*,てん,テン,テン,,志摩の女王,,0,0
らん,名詞,一般,*,*,*,*,らん,ラン,ラン,,志摩の女王,,0,0
会,名詞,接尾,一般,*,*,*,会,カイ,カイ,,志摩の女王,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,志摩の女王,,0,0
ひらか,動詞,自立,*,*,五段・カ行イ音便,未然形,ひらく,ヒラカ,ヒラカ,,志摩の女王,,0,0
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,志摩の女王,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,志摩の女王,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,志摩の女王,,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,志摩の女王,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,志摩の女王,,0,0
。,記号,句点,*,*,*,*,。,。,。,,志摩の女王,,0,0
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,志摩の女王,,0,1
デパート,名詞,一般,*,*,*,*,デパート,デパート,デパート,,志摩の女王,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,志摩の女王,,0,1
美術,名詞,一般,*,*,*,*,美術,ビジュツ,ビジュツ,,志摩の女王,,0,1
部,名詞,接尾,一般,*,*,*,部,ブ,ブ,,志摩の女王,,0,1
主任,名詞,一般,*,*,*,*,主任,シュニン,シュニン,,志摩の女王,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,志摩の女王,,0,1
大,接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,,志摩の女王,,0,1
活動,名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー,,志摩の女王,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,志摩の女王,,0,1
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,志摩の女王,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,志摩の女王,,0,1
、,記号,読点,*,*,*,*,、,、,、,,志摩の女王,,0,1
日本,名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,,志摩の女王,,0,1
じゅう,名詞,接尾,一般,*,*,*,じゅう,ジュウ,ジュー,,志摩の女王,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,志摩の女王,,0,1
名,名詞,一般,*,*,*,*,名,ナ,ナ,,志摩の女王,,0,1
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,志摩の女王,,0,1
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,志摩の女王,,0,1
宝石,名詞,一般,*,*,*,*,宝石,ホウセキ,ホーセキ,,志摩の女王,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,志摩の女王,,0,1
かり集め,動詞,自立,*,*,一段,連用形,かり集める,カリアツメ,カリアツメ,,志摩の女王,,0,1
、,記号,読点,*,*,*,*,、,、,、,,志摩の女王,,0,1
五階,名詞,固有名詞,一般,*,*,*,五階,ゴカイ,ゴカイ,,志摩の女王,,0,1
のてん,名詞,一般,*,*,*,*,野天,ノテン,ノテン,,志摩の女王,,0,1
らん,名詞,一般,*,*,*,*,らん,ラン,ラン,,志摩の女王,,0,1
会場,名詞,一般,*,*,*,*,会場,カイジョウ,カイジョー,,志摩の女王,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,志摩の女王,,0,1
、,記号,読点,*,*,*,*,、,、,、,,志摩の女王,,0,1
きらびやか,名詞,形容動詞語幹,*,*,*,*,きらびやか,キラビヤカ,キラビヤカ,,志摩の女王,,0,1
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,志摩の女王,,0,1
ちんれつ,名詞,サ変接続,*,*,*,*,陳列,チンレツ,チンレツ,,志摩の女王,,0,1
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,志摩の女王,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,志摩の女王,,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,志摩の女王,,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,志摩の女王,,0,1
。,記号,句点,*,*,*,*,。,。,。,,志摩の女王,,0,1
むかし,名詞,一般,*,*,*,*,むかし,ムカシ,ムカシ,,志摩の女王,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,志摩の女王,,0,2
華族,名詞,一般,*,*,*,*,華族,カゾク,カゾク,,志摩の女王,,0,2
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,,志摩の女王,,0,2
各,接頭詞,名詞接続,*,*,*,*,各,カク,カク,,志摩の女王,,0,2
地方,名詞,一般,*,*,*,*,地方,チホウ,チホー,,志摩の女王,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,志摩の女王,,0,2
名家,名詞,一般,*,*,*,*,名家,メイカ,メイカ,,志摩の女王,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,志摩の女王,,0,2
、,記号,読点,*,*,*,*,、,、,、,,志摩の女王,,0,2
だいじ,名詞,形容動詞語幹,*,*,*,*,大事,ダイジ,ダイジ,,志摩の女王,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,志摩の女王,,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,志摩の女王,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,志摩の女王,,0,2
