表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
木々高太郎,名詞,固有名詞,人名,一般,*,*,木々高太郎,キギタカタロウ,キギタカタロー,< 章なし >,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,0
新泉,名詞,固有名詞,地域,一般,*,*,新泉,ニイノミ,ニーノミ,< 章なし >,0,0
録,名詞,接尾,一般,*,*,*,録,ロク,ロク,< 章なし >,0,0
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,0
對,名詞,一般,*,*,*,*,*,*,*,< 章なし >,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,0
成,名詞,固有名詞,地域,一般,*,*,成,ナル,ナル,< 章なし >,0,0
可,名詞,接尾,一般,*,*,*,可,カ,カ,< 章なし >,0,0
く,動詞,非自立,*,*,五段・カ行促音便,基本形,く,ク,ク,< 章なし >,0,0
無遠慮,名詞,形容動詞語幹,*,*,*,*,無遠慮,ブエンリョ,ブエンリョ,< 章なし >,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,0
感想,名詞,一般,*,*,*,*,感想,カンソウ,カンソー,< 章なし >,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,0
書け,動詞,自立,*,*,一段,連用形,書ける,カケ,カケ,< 章なし >,0,0
とい,動詞,非自立,*,*,五段・カ行イ音便,連用タ接続,とく,トイ,トイ,< 章なし >,0,0
つ,助動詞,*,*,*,下二・タ行,基本形,つ,ツ,ツ,< 章なし >,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,0
雜誌,名詞,一般,*,*,*,*,*,*,*,< 章なし >,0,0
ロック,名詞,サ変接続,*,*,*,*,ロック,ロック,ロック,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
山崎,名詞,固有名詞,人名,姓,*,*,山崎,ヤマザキ,ヤマザキ,< 章なし >,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,< 章なし >,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,0
新泉,名詞,固有名詞,地域,一般,*,*,新泉,ニイノミ,ニーノミ,< 章なし >,0,0
録,名詞,接尾,一般,*,*,*,録,ロク,ロク,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
原稿,名詞,一般,*,*,*,*,原稿,ゲンコウ,ゲンコー,< 章なし >,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,0
見せ,動詞,自立,*,*,一段,連用形,見せる,ミセ,ミセ,< 章なし >,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,0
くれ,動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,< 章なし >,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,0
