表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
表題,名詞,一般,*,*,*,*,表題,ヒョウダイ,ヒョーダイ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
私の少年,名詞,固有名詞,一般,*,*,*,私の少年,ワタシノショウネン,ワタシノショーネン,,,,0,0
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,,,,0,0
について,助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,,,,0,0
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,,,,0,0
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,0
書く,動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク,,,,0,0
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,,,0,0
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,0
勧め,動詞,自立,*,*,一段,未然形,勧める,ススメ,ススメ,,,,0,0
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
三,名詞,数,*,*,*,*,三,サン,サン,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
四,名詞,数,*,*,*,*,四,ヨン,ヨン,,,,0,0
年来,名詞,接尾,助数詞,*,*,*,年来,ネンライ,ネンライ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
病気,名詞,サ変接続,*,*,*,*,病気,ビョウキ,ビョーキ,,,,0,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,0
ひきこもっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ひきこもる,ヒキコモッ,ヒキコモッ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
手足,名詞,一般,*,*,*,*,手足,テアシ,テアシ,,,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,0
不自由,名詞,形容動詞語幹,*,*,*,*,不自由,フジユウ,フジユー,,,,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,0
ため,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
筆,名詞,一般,*,*,*,*,筆,フデ,フデ,,,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,0
執れ,動詞,自立,*,*,五段・ラ行,仮定形,執る,トレ,トレ,,,,0,0
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,,,0,0
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
手紙,名詞,一般,*,*,*,*,手紙,テガミ,テガミ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
返事,名詞,サ変接続,*,*,*,*,返事,ヘンジ,ヘンジ,,,,0,0
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
家族,名詞,一般,*,*,*,*,家族,カゾク,カゾク,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,0
代筆,名詞,サ変接続,*,*,*,*,代筆,ダイヒツ,ダイヒツ,,,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
もらっ,動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,もらう,モラッ,モラッ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,,,0,0
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,,,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
ありさ,名詞,固有名詞,一般,*,*,*,ありさ,アリサ,アリサ,,,,0,0
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,,,,0,0
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
以下,名詞,非自立,副詞可能,*,*,*,以下,イカ,イカ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
文章,名詞,一般,*,*,*,*,文章,ブンショウ,ブンショー,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
