表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ある日,名詞,一般,*,*,*,*,ある日,アルヒ,アルヒ,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,１,,0,0
ょうねんたんていだんのぽけっと,名詞,一般,*,*,*,*,*,*,*,,１,,0,0
小,名詞,接尾,一般,*,*,*,小,ショウ,ショー,,１,,0,0
ぞう,名詞,一般,*,*,*,*,ぞう,ゾウ,ゾウ,,１,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
ひとりで,副詞,一般,*,*,*,*,ひとりで,ヒトリデ,ヒトリデ,,１,,0,0
、,記号,読点,*,*,*,*,、,、,、,,１,,0,0
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,,１,,0,0
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,１,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,１,,0,0
ら,名詞,一般,*,*,*,*,ら,ラ,ラ,,１,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,１,,0,0
あるい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,あるく,アルイ,アルイ,,１,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,１,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,１,,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,１,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,１,,0,0
。,記号,句点,*,*,*,*,。,。,。,,１,,0,0
ぽけっと,名詞,一般,*,*,*,*,ポケット,ポケット,ポケット,,１,,0,1
小,名詞,接尾,一般,*,*,*,小,ショウ,ショー,,１,,0,1
ぞう,名詞,一般,*,*,*,*,ぞう,ゾウ,ゾウ,,１,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,１,,0,1
、,記号,読点,*,*,*,*,、,、,、,,１,,0,1
小がっこう,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,,１,,0,1
四,名詞,数,*,*,*,*,四,ヨン,ヨン,,１,,0,1
ねん,助詞,終助詞,*,*,*,*,ねん,ネン,ネン,,１,,0,1
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ,,１,,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,１,,0,1
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,１,,0,1
、,記号,読点,*,*,*,*,、,、,、,,１,,0,1
ようちえん,名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨウチエン,,１,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,１,,0,1
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ,,１,,0,1
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,１,,0,1
みたい,名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,,１,,0,1
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,１,,0,1
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,,１,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,１,,0,1
小さく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,小さい,チイサク,チーサク,,１,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,１,,0,1
、,記号,読点,*,*,*,*,、,、,、,,１,,0,1
ぽけっと,名詞,一般,*,*,*,*,ポケット,ポケット,ポケット,,１,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,１,,0,1
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,,１,,0,1
はいり,動詞,自立,*,*,五段・ラ行,連用形,はいる,ハイリ,ハイリ,,１,,0,1
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー,,１,,0,1
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,１,,0,1
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,１,,0,1
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,,１,,0,1
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,,１,,0,1
、,記号,読点,*,*,*,*,、,、,、,,１,,0,1
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,,１,,0,1
あだな,名詞,一般,*,*,*,*,あだな,アダナ,アダナ,,１,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,１,,0,1
