表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
ある,連体詞,*,*,*,*,*,ある,アル,アル,１,0,0
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,１,0,0
ひる,動詞,自立,*,*,一段,基本形,ひる,ヒル,ヒル,１,0,0
すぎ,名詞,接尾,副詞可能,*,*,*,すぎ,スギ,スギ,１,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１,0,0
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,１,0,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１,0,0
。,記号,句点,*,*,*,*,。,。,。,１,0,0
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,１,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１,0,1
まつ,名詞,一般,*,*,*,*,まつ,マツ,マツ,１,0,1
なみ,名詞,接尾,一般,*,*,*,なみ,ナミ,ナミ,１,0,1
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,１,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１,0,1
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,１,0,1
てい,名詞,一般,*,*,*,*,てい,テイ,テイ,１,0,1
で,助詞,格助詞,一般,*,*,*,で,デ,デ,１,0,1
、,記号,読点,*,*,*,*,、,、,、,１,0,1
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,１,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１,0,1
あそん,動詞,自立,*,*,五段・バ行,連用タ接続,あそぶ,アソン,アソン,１,0,1
で,助詞,接続助詞,*,*,*,*,で,デ,デ,１,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,１,0,1
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１,0,1
。,記号,句点,*,*,*,*,。,。,。,１,0,1
休み時間,名詞,固有名詞,一般,*,*,*,休み時間,ヤスミジカン,ヤスミジカン,１,0,2
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,１,0,2
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,１,0,2
、,記号,読点,*,*,*,*,、,、,、,１,0,2
一年生,名詞,一般,*,*,*,*,一年生,イチネンセイ,イチネンセイ,１,0,2
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,１,0,2
六年生,名詞,固有名詞,一般,*,*,*,六年生,ロクネンセイ,ロクネンセイ,１,0,2
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,１,0,2
、,記号,読点,*,*,*,*,、,、,、,１,0,2
かけまわっ,動詞,自立,*,*,五段・ラ行,連用タ接続,かけまわる,カケマワッ,カケマワッ,１,0,2
たり,助詞,並立助詞,*,*,*,*,たり,タリ,タリ,１,0,2
、,記号,読点,*,*,*,*,、,、,、,１,0,2
キャッチボール,名詞,一般,*,*,*,*,キャッチボール,キャッチボール,キャッチボール,１,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,１,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,１,0,2
たり,助詞,並立助詞,*,*,*,*,たり,タリ,タリ,１,0,2
、,記号,読点,*,*,*,*,、,、,、,１,0,2
きかいたいそう,名詞,一般,*,*,*,*,器械体操,キカイタイソウ,キカイタイソー,１,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,１,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,１,0,2
たり,助詞,並立助詞,*,*,*,*,たり,タリ,タリ,１,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,１,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１,0,2
、,記号,読点,*,*,*,*,、,、,、,１,0,2
あそん,動詞,自立,*,*,五段・バ行,連用タ接続,あそぶ,アソン,アソン,１,0,2
で,助詞,接続助詞,*,*,*,*,で,デ,デ,１,0,2
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,１,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１,0,2
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１,0,2
。,記号,句点,*,*,*,*,。,。,。,１,0,2
「,記号,括弧開,*,*,*,*,「,「,「,１,0,3
あっ,感動詞,*,*,*,*,*,あっ,アッ,アッ,１,0,3
、,記号,読点,*,*,*,*,、,、,、,１,0,3
ヘリコプター,名詞,一般,*,*,*,*,ヘリコプター,ヘリコプター,ヘリコプター,１,0,3
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,１,0,3
」,記号,括弧閉,*,*,*,*,」,」,」,１,0,3
だれか,名詞,一般,*,*,*,*,誰か,ダレカ,ダレカ,１,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１,0,3
さけび,動詞,自立,*,*,五段・バ行,連用形,さけぶ,サケビ,サケビ,１,0,3
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１,0,3
。,記号,句点,*,*,*,*,。,。,。,１,0,3
「,記号,括弧開,*,*,*,*,「,「,「,１,0,4
ほんと,名詞,形容動詞語幹,*,*,*,*,ほんと,ホント,ホント,１,0,4
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,１,0,4
。,記号,句点,*,*,*,*,。,。,。,１,0,4
ヘリコプター,名詞,一般,*,*,*,*,ヘリコプター,ヘリコプター,ヘリコプター,１,0,5
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,１,0,5
」,記号,括弧閉,*,*,*,*,」,」,」,１,0,5
口々,名詞,一般,*,*,*,*,口々,クチグチ,クチグチ,１,0,5
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１,0,5
さけび,動詞,自立,*,*,五段・バ行,連用形,さけぶ,サケビ,サケビ,１,0,5
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,１,0,5
、,記号,読点,*,*,*,*,、,、,、,１,0,5
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,１,0,5
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,１,0,5
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,１,0,5
見上げ,動詞,自立,*,*,一段,連用形,見上げる,ミアゲ,ミアゲ,１,0,5
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１,0,5
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１,0,5
。,記号,句点,*,*,*,*,。,。,。,１,0,5
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,１,0,6
はれ,動詞,自立,*,*,一段,連用形,はれる,ハレ,ハレ,１,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１,0,6
まっさお,名詞,一般,*,*,*,*,まっさお,マッサオ,マッサオ,１,0,6
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,１,0,6
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,１,0,6
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１,0,6
、,記号,読点,*,*,*,*,、,、,、,１,0,6
ヘリコプター,名詞,一般,*,*,*,*,ヘリコプター,ヘリコプター,ヘリコプター,１,0,6
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１,0,6
