表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
怪人二十面相,名詞,固有名詞,人名,一般,*,*,怪人二十面相,カイジンニジュウメンソウ,カイジンニジューメンソー,,作者のことば,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,作者のことば,,0,0
まほうつかい,名詞,固有名詞,一般,*,*,*,まほうつかい,マホウツカイ,マホーツカイ,,作者のことば,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,作者のことば,,0,0
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,作者のことば,,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,作者のことば,,0,0
ふしぎ,名詞,一般,*,*,*,*,ふしぎ,フシギ,フシギ,,作者のことば,,0,0
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,作者のことば,,0,0
ろぼう,名詞,一般,*,*,*,*,路傍,ロボウ,ロボー,,作者のことば,,0,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,作者のことば,,0,0
。,記号,句点,*,*,*,*,。,。,。,,作者のことば,,0,0
二,名詞,数,*,*,*,*,二,ニ,ニ,,作者のことば,,0,1
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,,作者のことば,,0,1
のち,名詞,副詞可能,*,*,*,*,のち,ノチ,ノチ,,作者のことば,,0,1
がっ,動詞,接尾,*,*,五段・ラ行,連用タ接続,がる,ガッ,ガッ,,作者のことば,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,作者のことば,,0,1
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,,作者のことば,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,作者のことば,,0,1
持つ,動詞,自立,*,*,五段・タ行,基本形,持つ,モツ,モツ,,作者のことば,,0,1
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,作者のことば,,0,1
いわ,動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,イワ,,作者のことば,,0,1
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,,作者のことば,,0,1
変,名詞,形容動詞語幹,*,*,*,*,変,ヘン,ヘン,,作者のことば,,0,1
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー,,作者のことば,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,作者のことば,,0,1
名人,名詞,一般,*,*,*,*,名人,メイジン,メイジン,,作者のことば,,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,作者のことば,,0,1
。,記号,句点,*,*,*,*,。,。,。,,作者のことば,,0,1
名探偵明智小五郎,名詞,固有名詞,一般,*,*,*,名探偵・明智小五郎,メイタンテイアケチコゴロウ,メイタンテイアケチコゴロー,,作者のことば,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,作者のことば,,0,2
助手,名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,,作者のことば,,0,2
小林少年,名詞,固有名詞,一般,*,*,*,小林少年,コバヤシショウネン,コバヤシショーネン,,作者のことば,,0,2
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,作者のことば,,0,2
少年探偵団,名詞,固有名詞,人名,一般,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,,作者のことば,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,作者のことば,,0,2
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,,作者のことば,,0,2
たち,名詞,接尾,一般,*,*,*,たち,タチ,タチ,,作者のことば,,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,作者のことば,,0,2
、,記号,読点,*,*,*,*,、,、,、,,作者のことば,,0,2
この,連体詞,*,*,*,*,*,この,コノ,コノ,,作者のことば,,0,2
怪人,名詞,一般,*,*,*,*,怪人,カイジン,カイジン,,作者のことば,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,作者のことば,,0,2
むこう,名詞,形容動詞語幹,*,*,*,*,無効,ムコウ,ムコー,,作者のことば,,0,2
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,作者のことば,,0,2
まわし,動詞,自立,*,*,五段・サ行,連用形,まわす,マワシ,マワシ,,作者のことば,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,作者のことば,,0,2
、,記号,読点,*,*,*,*,、,、,、,,作者のことば,,0,2
ちえ,名詞,固有名詞,人名,名,*,*,ちえ,チエ,チエ,,作者のことば,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,作者のことば,,0,2
戦い,名詞,一般,*,*,*,*,戦い,タタカイ,タタカイ,,作者のことば,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,作者のことば,,0,2
いどむ,動詞,自立,*,*,五段・マ行,基本形,いどむ,イドム,イドム,,作者のことば,,0,2
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,作者のことば,,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,作者のことば,,0,2
。,記号,句点,*,*,*,*,。,。,。,,作者のことば,,0,2
「,記号,括弧開,*,*,*,*,「,「,「,,作者のことば,,0,3
こども,名詞,一般,*,*,*,*,こども,コドモ,コドモ,,作者のことば,,0,3
家の光,名詞,固有名詞,組織,*,*,*,家の光,イエノヒカリ,イエノヒカリ,,作者のことば,,0,3
」,記号,括弧閉,*,*,*,*,」,」,」,,作者のことば,,0,3
昭和,名詞,固有名詞,一般,*,*,*,昭和,ショウワ,ショーワ,,作者のことば,,0,3
三,名詞,数,*,*,*,*,三,サン,サン,,作者のことば,,0,3
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,,作者のことば,,0,3
五,名詞,数,*,*,*,*,五,ゴ,ゴ,,作者のことば,,0,3
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,,作者のことば,,0,3
八月,名詞,副詞可能,*,*,*,*,八月,ハチガツ,ハチガツ,,作者のことば,,0,3
号,名詞,接尾,一般,*,*,*,号,ゴウ,ゴー,,作者のことば,,0,3
ここ,名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,,どろぼう人形,,1,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,どろぼう人形,,1,0
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,,どろぼう人形,,1,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,0
まんなか,名詞,一般,*,*,*,*,まんなか,マンナカ,マンナカ,,どろぼう人形,,1,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,どろぼう人形,,1,0
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,どろぼう人形,,1,0
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,0
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,,どろぼう人形,,1,0
デパート,名詞,一般,*,*,*,*,デパート,デパート,デパート,,どろぼう人形,,1,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,0
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,,どろぼう人形,,1,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,0
洋服,名詞,一般,*,*,*,*,洋服,ヨウフク,ヨーフク,,どろぼう人形,,1,0
売り場,名詞,一般,*,*,*,*,売り場,ウリバ,ウリバ,,どろぼう人形,,1,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,どろぼう人形,,1,0
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,0
時,名詞,一般,*,*,*,*,時,トキ,トキ,,どろぼう人形,,1,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,どろぼう人形,,1,1
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,1
まよ,名詞,固有名詞,人名,名,*,*,まよ,マヨ,マヨ,,どろぼう人形,,1,1
なか,名詞,非自立,副詞可能,*,*,*,なか,ナカ,ナカ,,どろぼう人形,,1,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,どろぼう人形,,1,1
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,1
まよ,名詞,固有名詞,人名,名,*,*,まよ,マヨ,マヨ,,どろぼう人形,,1,2
なか,名詞,非自立,副詞可能,*,*,*,なか,ナカ,ナカ,,どろぼう人形,,1,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,2
デパート,名詞,一般,*,*,*,*,デパート,デパート,デパート,,どろぼう人形,,1,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,どろぼう人形,,1,2
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,2
昼間,名詞,副詞可能,*,*,*,*,昼間,ヒルマ,ヒルマ,,どろぼう人形,,1,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,2
こんざつ,名詞,サ変接続,*,*,*,*,混雑,コンザツ,コンザツ,,どろぼう人形,,1,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,どろぼう人形,,1,2
ひきかえ,動詞,自立,*,*,一段,連用形,ひきかえる,ヒキカエ,ヒキカエ,,どろぼう人形,,1,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,どろぼう人形,,1,2
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,2
ものすごい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ものすごい,モノスゴイ,モノスゴイ,,どろぼう人形,,1,2
ほど,助詞,副助詞,*,*,*,*,ほど,ホド,ホド,,どろぼう人形,,1,2
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,2
静か,名詞,形容動詞語幹,*,*,*,*,静か,シズカ,シズカ,,どろぼう人形,,1,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,どろぼう人形,,1,2
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,2
