表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
またし,動詞,自立,*,*,五段・サ行,連用形,またす,マタシ,マタシ,,（上）顕れたる事実,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,（上）顕れたる事実,,0,0
も,助詞,係助詞,*,*,*,*,も,モ,モ,,（上）顕れたる事実,,0,0
明智小五郎,名詞,固有名詞,人名,一般,*,*,明智小五郎,アケチコゴロウ,アケチコゴロー,,（上）顕れたる事実,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,0
手柄,名詞,一般,*,*,*,*,手柄,テガラ,テガラ,,（上）顕れたる事実,,0,0
話,名詞,接尾,サ変接続,*,*,*,話,バナシ,バナシ,,（上）顕れたる事実,,0,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,（上）顕れたる事実,,0,0
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,0
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,（上）顕れたる事実,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,1
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,1
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,（上）顕れたる事実,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,1
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,,（上）顕れたる事実,,0,1
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,（上）顕れたる事実,,0,1
知合,名詞,一般,*,*,*,*,知合,シリアイ,シリアイ,,（上）顕れたる事実,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）顕れたる事実,,0,1
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,（上）顕れたる事実,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,（上）顕れたる事実,,0,1
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,（上）顕れたる事実,,0,1
一年,名詞,固有名詞,一般,*,*,*,一年,イチネン,イチネン,,（上）顕れたる事実,,0,1
程,助詞,副助詞,*,*,*,*,程,ホド,ホド,,（上）顕れたる事実,,0,1
たった,副詞,助詞類接続,*,*,*,*,たった,タッタ,タッタ,,（上）顕れたる事実,,0,1
時分,名詞,一般,*,*,*,*,時分,ジブン,ジブン,,（上）顕れたる事実,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,1
出来事,名詞,一般,*,*,*,*,出来事,デキゴト,デキゴト,,（上）顕れたる事実,,0,1
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,（上）顕れたる事実,,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,（上）顕れたる事実,,0,1
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,1
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,1
事件,名詞,一般,*,*,*,*,事件,ジケン,ジケン,,（上）顕れたる事実,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）顕れたる事実,,0,1
一種,名詞,一般,*,*,*,*,一種,イッシュ,イッシュ,,（上）顕れたる事実,,0,1
劇的,名詞,形容動詞語幹,*,*,*,*,劇的,ゲキテキ,ゲキテキ,,（上）顕れたる事実,,0,1
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,（上）顕れたる事実,,0,1
色彩,名詞,一般,*,*,*,*,色彩,シキサイ,シキサイ,,（上）顕れたる事実,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,1
