表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,１,0,0
ょうねんたんていだんのなかで,名詞,一般,*,*,*,*,*,*,*,１,0,0
、,記号,読点,*,*,*,*,、,、,、,１,0,0
いちばん,名詞,副詞可能,*,*,*,*,いちばん,イチバン,イチバン,１,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,１,0,0
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,１,0,0
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,１,0,0
大きく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク,１,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１,0,0
力,名詞,一般,*,*,*,*,力,チカラ,チカラ,１,0,0
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,１,0,0
強い,形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,１,0,0
井上一郎,名詞,固有名詞,人名,一般,*,*,井上一郎,イノウエイチロウ,イノーエイチロー,１,0,0
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１,0,0
、,記号,読点,*,*,*,*,、,、,、,１,0,0
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,１,0,0
三,名詞,数,*,*,*,*,三,サン,サン,１,0,0
年生,名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,１,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１,0,0
ルミ,名詞,固有名詞,人名,名,*,*,ルミ,ルミ,ルミ,１,0,0
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,１,0,0
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,１,0,0
、,記号,読点,*,*,*,*,、,、,、,１,0,0
かわいい,形容詞,自立,*,*,形容詞・イ段,基本形,かわいい,カワイイ,カワイイ,１,0,0
妹,名詞,一般,*,*,*,*,妹,イモウト,イモート,１,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１,0,0
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,１,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１,0,0
。,記号,句点,*,*,*,*,。,。,。,１,0,0
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,１,0,1
ルミ,名詞,固有名詞,人名,名,*,*,ルミ,ルミ,ルミ,１,0,1
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,１,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１,0,1
、,記号,読点,*,*,*,*,、,、,、,１,0,1
ある,連体詞,*,*,*,*,*,ある,アル,アル,１,0,1
夕,名詞,副詞可能,*,*,*,*,夕,ユウ,ユー,１,0,1
がた,名詞,一般,*,*,*,*,がた,ガタ,ガタ,１,0,1
、,記号,読点,*,*,*,*,、,、,、,１,0,1
ちんどん屋,名詞,一般,*,*,*,*,ちんどん屋,チンドンヤ,チンドンヤ,１,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１,0,1
あと,名詞,一般,*,*,*,*,あと,アト,アト,１,0,1
について,助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,１,0,1
、,記号,読点,*,*,*,*,、,、,、,１,0,1
町はずれ,名詞,一般,*,*,*,*,町はずれ,マチハズレ,マチハズレ,１,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１,0,1
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,１,0,1
森,名詞,一般,*,*,*,*,森,モリ,モリ,１,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１,0,1
近く,名詞,副詞可能,*,*,*,*,近く,チカク,チカク,１,0,1
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,１,0,1
行っ,動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,１,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１,0,1
しまっ,動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,しまう,シマッ,シマッ,１,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１,0,1
。,記号,句点,*,*,*,*,。,。,。,１,0,1
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,１,0,2
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１,0,2
、,記号,読点,*,*,*,*,、,、,、,１,0,2
おかあさん,名詞,一般,*,*,*,*,おかあさん,オカアサン,オカーサン,１,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１,0,2
たのま,動詞,自立,*,*,五段・マ行,未然形,たのむ,タノマ,タノマ,１,0,2
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,１,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１,0,2
、,記号,読点,*,*,*,*,、,、,、,１,0,2
ちょうど,副詞,一般,*,*,*,*,ちょうど,チョウド,チョード,１,0,2
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,１,0,2
とき,名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,１,0,2
、,記号,読点,*,*,*,*,、,、,、,１,0,2
遊び,名詞,一般,*,*,*,*,遊び,アソビ,アソビ,１,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１,0,2
