表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
この,連体詞,*,*,*,*,*,この,コノ,コノ,,一,,0,0
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,,一,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,一,,0,0
、,記号,読点,*,*,*,*,、,、,、,,一,,0,0
柾木愛造,名詞,固有名詞,人名,一般,*,*,柾木愛造,マサキアイゾウ,マサキアイゾー,,一,,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,一,,0,0
木下,名詞,固有名詞,人名,姓,*,*,木下,キノシタ,キノシタ,,一,,0,0
芙蓉,名詞,一般,*,*,*,*,芙蓉,フヨウ,フヨー,,一,,0,0
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,一,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,0
、,記号,読点,*,*,*,*,、,、,、,,一,,0,0
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,,一,,0,0
運命,名詞,一般,*,*,*,*,運命,ウンメイ,ウンメイ,,一,,0,0
的,名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,,一,,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,一,,0,0
再会,名詞,サ変接続,*,*,*,*,再会,サイカイ,サイカイ,,一,,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,一,,0,0
出発,名詞,サ変接続,*,*,*,*,出発,シュッパツ,シュッパツ,,一,,0,0
す,動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス,,一,,0,0
べき,助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ,,一,,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,一,,0,0
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,,一,,0,0
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,一,,0,0
、,記号,読点,*,*,*,*,、,、,、,,一,,0,0
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,一,,0,0
について,助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,,一,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,一,,0,0
、,記号,読点,*,*,*,*,、,、,、,,一,,0,0
先ず,副詞,一般,*,*,*,*,先ず,マズ,マズ,,一,,0,0
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,,一,,0,0
主人公,名詞,一般,*,*,*,*,主人公,シュジンコウ,シュジンコー,,一,,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,一,,0,0
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,,一,,0,0
