表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
犯人,名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン,作者の言葉,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉,0,0
最初,名詞,一般,*,*,*,*,最初,サイショ,サイショ,作者の言葉,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,作者の言葉,0,0
読者,名詞,一般,*,*,*,*,読者,ドクシャ,ドクシャ,作者の言葉,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉,0,0
目,名詞,一般,*,*,*,*,目,メ,メ,作者の言葉,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉,0,0
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,作者の言葉,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉,0,0
い,動詞,自立,*,*,一段,連用形,いる,イ,イ,作者の言葉,0,0
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,作者の言葉,0,0
最後,名詞,一般,*,*,*,*,最後,サイゴ,サイゴ,作者の言葉,0,0
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,作者の言葉,0,0
どれ,名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,作者の言葉,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,作者の言葉,0,0
犯人,名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン,作者の言葉,0,0
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,作者の言葉,0,0
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,作者の言葉,0,0
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ,作者の言葉,0,0
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,作者の言葉,0,0
。,記号,句点,*,*,*,*,。,。,。,作者の言葉,0,0
と,助詞,格助詞,引用,*,*,*,と,ト,ト,作者の言葉,0,1
云う,動詞,自立,*,*,五段・ワ行促音便,基本形,云う,イウ,イウ,作者の言葉,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,作者の言葉,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,作者の言葉,0,1
所謂,名詞,固有名詞,一般,*,*,*,所謂,イワユル,イワユル,作者の言葉,0,1
本格,名詞,一般,*,*,*,*,本格,ホンカク,ホンカク,作者の言葉,0,1
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,作者の言葉,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉,0,1
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,作者の言葉,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉,0,1
条件,名詞,一般,*,*,*,*,条件,ジョウケン,ジョーケン,作者の言葉,0,1
みたい,名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,作者の言葉,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉,0,1
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,作者の言葉,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,作者の言葉,0,1
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,作者の言葉,0,1
。,記号,句点,*,*,*,*,。,。,。,作者の言葉,0,1
なるべく,副詞,助詞類接続,*,*,*,*,なるべく,ナルベク,ナルベク,作者の言葉,0,2
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,作者の言葉,0,2
条件,名詞,一般,*,*,*,*,条件,ジョウケン,ジョーケン,作者の言葉,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉,0,2
適わ,動詞,自立,*,*,五段・ワ行促音便,未然形,適う,カナワ,カナワ,作者の言葉,0,2
せる,動詞,接尾,*,*,一段,基本形,せる,セル,セル,作者の言葉,0,2
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,作者の言葉,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,作者の言葉,0,2
心掛け,動詞,自立,*,*,一段,連用形,心掛ける,ココロガケ,ココロガケ,作者の言葉,0,2
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,作者の言葉,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,作者の言葉,0,2
。,記号,句点,*,*,*,*,。,。,。,作者の言葉,0,2
敏感,名詞,形容動詞語幹,*,*,*,*,敏感,ビンカン,ビンカン,作者の言葉,0,3
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,作者の言葉,0,3
読者,名詞,一般,*,*,*,*,読者,ドクシャ,ドクシャ,作者の言葉,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉,0,3
四,名詞,数,*,*,*,*,四,ヨン,ヨン,作者の言葉,0,3
五,名詞,数,*,*,*,*,五,ゴ,ゴ,作者の言葉,0,3
回,名詞,接尾,助数詞,*,*,*,回,カイ,カイ,作者の言葉,0,3
も,助詞,係助詞,*,*,*,*,も,モ,モ,作者の言葉,0,3
読ま,動詞,自立,*,*,五段・マ行,未然形,読む,ヨマ,ヨマ,作者の言葉,0,3
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,作者の言葉,0,3
内,名詞,非自立,副詞可能,*,*,*,内,ウチ,ウチ,作者の言葉,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉,0,3
犯人,名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン,作者の言葉,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,作者の言葉,0,3
分っ,動詞,自立,*,*,五段・ラ行,連用タ接続,分る,ワカッ,ワカッ,作者の言葉,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉,0,3
しまう,動詞,非自立,*,*,五段・ワ行促音便,基本形,しまう,シマウ,シマウ,作者の言葉,0,3
かも,助詞,副助詞,*,*,*,*,かも,カモ,カモ,作者の言葉,0,3
知れ,動詞,自立,*,*,一段,連用形,知れる,シレ,シレ,作者の言葉,0,3
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,作者の言葉,0,3
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,作者の言葉,0,3
。,記号,句点,*,*,*,*,。,。,。,作者の言葉,0,3
又,接続詞,*,*,*,*,*,又,マタ,マタ,作者の言葉,0,4
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,作者の言葉,0,4
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉,0,4
