表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
二人,名詞,一般,*,*,*,*,二人,フタリ,フタリ,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
湯,名詞,一般,*,*,*,*,湯,ユ,ユ,,,,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,0
上っ,動詞,自立,*,*,五段・ラ行,連用タ接続,上る,ノボッ,ノボッ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
一,名詞,数,*,*,*,*,一,イチ,イチ,,,,0,0
局,名詞,接尾,助数詞,*,*,*,局,キョク,キョク,,,,0,0
囲ん,動詞,自立,*,*,五段・マ行,連用タ接続,囲む,カコン,カコン,,,,0,0
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,,,,0,0
後,名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
煙草,名詞,一般,*,*,*,*,煙草,タバコ,タバコ,,,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
渋い,形容詞,自立,*,*,形容詞・アウオ段,基本形,渋い,シブイ,シブイ,,,,0,0
煎茶,名詞,一般,*,*,*,*,煎茶,センチャ,センチャ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
啜り,動詞,自立,*,*,五段・ラ行,連用形,啜る,ススリ,ススリ,,,,0,0
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
何時,名詞,代名詞,一般,*,*,*,何時,イツ,イツ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,,,,0,0
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,0
ボツリボツリ,名詞,一般,*,*,*,*,*,*,*,,,,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,,,0,0
世間話,名詞,固有名詞,一般,*,*,*,世間話,セケンバナシ,セケンバナシ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
取交し,動詞,自立,*,*,五段・サ行,連用形,取交す,トリカワシ,トリカワシ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
穏,名詞,一般,*,*,*,*,*,*,*,,,,0,1
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,1
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,,,,0,1
冬の日,名詞,固有名詞,一般,*,*,*,冬の日,フユノヒ,フユノヒ,,,,0,1
光,名詞,接尾,一般,*,*,*,光,コウ,コー,,,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,1
障子,名詞,一般,*,*,*,*,障子,ショウジ,ショージ,,,,0,1
一,名詞,数,*,*,*,*,一,イチ,イチ,,,,0,1
杯,名詞,接尾,助数詞,*,*,*,杯,ハイ,ハイ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
拡,名詞,固有名詞,人名,名,*,*,拡,ヒロシ,ヒロシ,,,,0,1
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
八,名詞,数,*,*,*,*,八,ハチ,ハチ,,,,0,1
畳,名詞,接尾,助数詞,*,*,*,畳,ジョウ,ジョー,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
座敷,名詞,一般,*,*,*,*,座敷,ザシキ,ザシキ,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
ほか,名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ,,,,0,1
ほか,名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ,,,,0,1
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,1
暖め,動詞,自立,*,*,一段,連用形,暖める,アタタメ,アタタメ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
。,記号,句点,*,*,*,*,。,。,。,,,,0,1
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,,,,0,2
桐,名詞,一般,*,*,*,*,桐,キリ,キリ,,,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,2
火鉢,名詞,一般,*,*,*,*,火鉢,ヒバチ,ヒバチ,,,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,2
銀,名詞,一般,*,*,*,*,銀,ギン,ギン,,,,0,2
瓶,名詞,一般,*,*,*,*,瓶,ビン,ビン,,,,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,2
眠気,名詞,一般,*,*,*,*,眠気,ネムケ,ネムケ,,,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,2
誘う,動詞,自立,*,*,五段・ワ行促音便,基本形,誘う,サソウ,サソウ,,,,0,2
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,,,,0,2
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,2
音,名詞,一般,*,*,*,*,音,オト,オト,,,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,2
立てて,副詞,一般,*,*,*,*,立てて,タテテ,タテテ,,,,0,2
沸,名詞,一般,*,*,*,*,沸,ニエ,ニエ,,,,0,2
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,,,,0,2
い,動詞,自立,*,*,一段,連用形,いる,イ,イ,,,,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,2
。,記号,句点,*,*,*,*,。,。,。,,,,0,2
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,,,,0,3
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,3
のどか,名詞,形容動詞語幹,*,*,*,*,のどか,ノドカ,ノドカ,,,,0,3
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,3
冬,名詞,一般,*,*,*,*,冬,フユ,フユ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
温泉場,名詞,固有名詞,一般,*,*,*,温泉場,オンセンバ,オンセンバ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
午後,名詞,副詞可能,*,*,*,*,午後,ゴゴ,ゴゴ,,,,0,3
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,3
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,,,,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,3
。,記号,句点,*,*,*,*,。,。,。,,,,0,3
無意味,名詞,形容動詞語幹,*,*,*,*,無意味,ムイミ,ムイミ,,,,0,4
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,4
世間話,名詞,固有名詞,一般,*,*,*,世間話,セケンバナシ,セケンバナシ,,,,0,4
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,4
何時の間にか,副詞,一般,*,*,*,*,何時の間にか,イツノマニカ,イツノマニカ,,,,0,4
懐旧,名詞,一般,*,*,*,*,懐旧,カイキュウ,カイキュー,,,,0,4
談,名詞,接尾,一般,*,*,*,談,ダン,ダン,,,,0,4
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,4
入っ,動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,,,,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,4
行っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,,,,0,4
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,4
。,記号,句点,*,*,*,*,。,。,。,,,,0,4
客,名詞,一般,*,*,*,*,客,キャク,キャク,,,,0,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,5
斎藤氏,名詞,固有名詞,一般,*,*,*,斎藤氏,サイトウシ,サイトーシ,,,,0,5
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,5
青島,名詞,固有名詞,地域,一般,*,*,青島,チンタオ,チンタオ,,,,0,5
役,名詞,接尾,一般,*,*,*,役,ヤク,ヤク,,,,0,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,5
実戦,名詞,サ変接続,*,*,*,*,実戦,ジッセン,ジッセン,,,,0,5
談,名詞,接尾,一般,*,*,*,談,ダン,ダン,,,,0,5
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,5
語り,動詞,自立,*,*,五段・ラ行,連用形,語る,カタリ,カタリ,,,,0,5
始め,動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ,,,,0,5
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,5
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,5
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,5
。,記号,句点,*,*,*,*,。,。,。,,,,0,5
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,,,,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,6
あるじ,名詞,一般,*,*,*,*,あるじ,アルジ,アルジ,,,,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,6
井原,名詞,固有名詞,人名,姓,*,*,井原,イハラ,イハラ,,,,0,6
氏,名詞,接尾,人名,*,*,*,氏,シ,シ,,,,0,6
