表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
佳子,名詞,固有名詞,人名,名,*,*,佳子,ケイコ,ケイコ,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
毎朝,名詞,副詞可能,*,*,*,*,毎朝,マイアサ,マイアサ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
夫,名詞,一般,*,*,*,*,夫,オット,オット,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
登庁,名詞,サ変接続,*,*,*,*,登庁,トウチョウ,トーチョー,< 章なし >,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,0
見送っ,動詞,自立,*,*,五段・ラ行,連用タ接続,見送る,ミオクッ,ミオクッ,< 章なし >,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,0
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,< 章なし >,0,0
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >,0,0
と,助詞,接続助詞,*,*,*,*,と,ト,ト,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
いつも,副詞,一般,*,*,*,*,いつも,イツモ,イツモ,< 章なし >,0,0
十時,名詞,固有名詞,地域,一般,*,*,十時,トトキ,トトキ,< 章なし >,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,0
過ぎる,動詞,自立,*,*,一段,基本形,過ぎる,スギル,スギル,< 章なし >,0,0
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,0
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,0
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
やっと,副詞,一般,*,*,*,*,やっと,ヤット,ヤット,< 章なし >,0,0
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,< 章なし >,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,0
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
洋館,名詞,一般,*,*,*,*,洋館,ヨウカン,ヨーカン,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
