表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
東京都内,名詞,固有名詞,一般,*,*,*,東京都内,トウキョウトナイ,トーキョートナイ,まぼろしの豹,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹,0,0
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,0
『,記号,括弧開,*,*,*,*,『,『,『,まぼろしの豹,0,0
まぼろし,名詞,固有名詞,一般,*,*,*,まぼろし,マボロシ,マボロシ,まぼろしの豹,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,0
豹,名詞,一般,*,*,*,*,豹,ヒョウ,ヒョー,まぼろしの豹,0,0
』,記号,括弧閉,*,*,*,*,』,』,』,まぼろしの豹,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹,0,0
あらわれる,動詞,自立,*,*,一段,基本形,あらわれる,アラワレル,アラワレル,まぼろしの豹,0,0
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,まぼろしの豹,0,0
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,0
うわさ,名詞,サ変接続,*,*,*,*,うわさ,ウワサ,ウワサ,まぼろしの豹,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹,0,0
ひろがっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ひろがる,ヒロガッ,ヒロガッ,まぼろしの豹,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,まぼろしの豹,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,まぼろしの豹,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,まぼろしの豹,0,0
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹,0,0
ある,連体詞,*,*,*,*,*,ある,アル,アル,まぼろしの豹,0,1
月,名詞,一般,*,*,*,*,月,ツキ,ツキ,まぼろしの豹,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,1
美しい,形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ,まぼろしの豹,0,1
晩,名詞,副詞可能,*,*,*,*,晩,バン,バン,まぼろしの豹,0,1
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,1
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,まぼろしの豹,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,1
中学生,名詞,一般,*,*,*,*,中学生,チュウガクセイ,チューガクセイ,まぼろしの豹,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹,0,1
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,1
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,まぼろしの豹,0,1
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,まぼろしの豹,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,1
うち,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ,まぼろしの豹,0,1
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,まぼろしの豹,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,1
帰り道,名詞,一般,*,*,*,*,帰り道,カエリミチ,カエリミチ,まぼろしの豹,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹,0,1
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,1
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,まぼろしの豹,0,1
西洋館,名詞,固有名詞,地域,一般,*,*,西洋館,セイヨウカン,セイヨーカン,まぼろしの豹,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,1
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,まぼろしの豹,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹,0,1
さし,動詞,自立,*,*,五段・サ行,連用形,さす,サシ,サシ,まぼろしの豹,0,1
かかり,動詞,非自立,*,*,五段・ラ行,連用形,かかる,カカリ,カカリ,まぼろしの豹,0,1
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,まぼろしの豹,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,まぼろしの豹,0,1
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹,0,1
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,まぼろしの豹,0,2
町,名詞,一般,*,*,*,*,町,マチ,マチ,まぼろしの豹,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,まぼろしの豹,0,2
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,まぼろしの豹,0,2
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,2
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,まぼろしの豹,0,2
九時,名詞,一般,*,*,*,*,九時,クジ,クジ,まぼろしの豹,0,2
ごろ,名詞,接尾,副詞可能,*,*,*,ごろ,ゴロ,ゴロ,まぼろしの豹,0,2
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,まぼろしの豹,0,2
のに,助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,まぼろしの豹,0,2
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,2
まったく,副詞,助詞類接続,*,*,*,*,まったく,マッタク,マッタク,まぼろしの豹,0,2
人通り,名詞,一般,*,*,*,*,人通り,ヒトドオリ,ヒトドーリ,まぼろしの豹,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹,0,2
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,まぼろしの豹,0,2
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,まぼろしの豹,0,2
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,まぼろしの豹,0,2
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹,0,2
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,まぼろしの豹,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,まぼろしの豹,0,3
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,3
満月,名詞,一般,*,*,*,*,満月,マンゲツ,マンゲツ,まぼろしの豹,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹,0,3
ちかい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ちかい,チカイ,チカイ,まぼろしの豹,0,3
月,名詞,一般,*,*,*,*,月,ツキ,ツキ,まぼろしの豹,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹,0,3
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,3
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,まぼろしの豹,0,3
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,まぼろしの豹,0,3
と,助詞,副詞化,*,*,*,*,と,ト,ト,まぼろしの豹,0,3
かがやい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,かがやく,カガヤイ,カガヤイ,まぼろしの豹,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹,0,3
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,まぼろしの豹,0,3
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,まぼろしの豹,0,3
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹,0,3
ひくい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひくい,ヒクイ,ヒクイ,まぼろしの豹,0,4
コンクリート,名詞,一般,*,*,*,*,コンクリート,コンクリート,コンクリート,まぼろしの豹,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,4
塀,名詞,一般,*,*,*,*,塀,ヘイ,ヘイ,まぼろしの豹,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,まぼろしの豹,0,4
へだて,動詞,自立,*,*,一段,連用形,へだてる,ヘダテ,ヘダテ,まぼろしの豹,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹,0,4
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,4
西洋館,名詞,固有名詞,地域,一般,*,*,西洋館,セイヨウカン,セイヨーカン,まぼろしの豹,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,4
屋根,名詞,一般,*,*,*,*,屋根,ヤネ,ヤネ,まぼろしの豹,0,4
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹,0,4
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,4
月の光,名詞,固有名詞,一般,*,*,*,月の光,ツキノヒカリ,ツキノヒカリ,まぼろしの豹,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,まぼろしの豹,0,4
うけ,動詞,自立,*,*,一段,連用形,うける,ウケ,ウケ,まぼろしの豹,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹,0,4
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,4
まっ白,名詞,一般,*,*,*,*,まっ白,マッシロ,マッシロ,まぼろしの豹,0,4
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹,0,4
光っ,動詞,自立,*,*,五段・ラ行,連用タ接続,光る,ヒカッ,ヒカッ,まぼろしの豹,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹,0,4
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,まぼろしの豹,0,4
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,まぼろしの豹,0,4
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹,0,4
見え,動詞,自立,*,*,一段,連用形,見える,ミエ,ミエ,まぼろしの豹,0,4
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,まぼろしの豹,0,4
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹,0,4
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,まぼろしの豹,0,5
屋根,名詞,一般,*,*,*,*,屋根,ヤネ,ヤネ,まぼろしの豹,0,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,5
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,まぼろしの豹,0,5
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,まぼろしの豹,0,5
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹,0,5
一,名詞,数,*,*,*,*,一,イチ,イチ,まぼろしの豹,0,5
ぴき,名詞,接尾,助数詞,*,*,*,ぴき,ピキ,ピキ,まぼろしの豹,0,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹,0,5
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,まぼろしの豹,0,5
