表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ,一,0,0
Ｍ,記号,アルファベット,*,*,*,*,Ｍ,エム,エム,一,0,0
県,名詞,一般,*,*,*,*,県,ケン,ケン,一,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,0
住ん,動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,一,0,0
で,助詞,接続助詞,*,*,*,*,で,デ,デ,一,0,0
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,一,0,0
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,一,0,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一,0,0
も,助詞,係助詞,*,*,*,*,も,モ,モ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
多く,名詞,副詞可能,*,*,*,*,多く,オオク,オーク,一,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,0
気づか,動詞,自立,*,*,五段・カ行イ音便,未然形,気づく,キヅカ,キズカ,一,0,0
ない,助動詞,*,*,*,特殊・ナイ,連用デ接続,ない,ナイ,ナイ,一,0,0
で,助詞,接続助詞,*,*,*,*,で,デ,デ,一,0,0
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,一,0,0
かも,助詞,副助詞,*,*,*,*,かも,カモ,カモ,一,0,0
知れ,動詞,自立,*,*,一段,連用形,知れる,シレ,シレ,一,0,0
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,一,0,0
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,一,0,0
。,記号,句点,*,*,*,*,。,。,。,一,0,0
Ｉ,記号,アルファベット,*,*,*,*,Ｉ,アイ,アイ,一,0,1
湾,名詞,一般,*,*,*,*,湾,ワン,ワン,一,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,1
太平洋,名詞,固有名詞,地域,一般,*,*,太平洋,タイヘイヨウ,タイヘイヨー,一,0,1
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,一,0,1
出よ,動詞,自立,*,*,一段,未然ウ接続,出る,デヨ,デヨ,一,0,1
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,一,0,1
と,助詞,格助詞,一般,*,*,*,と,ト,ト,一,0,1
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
Ｓ,記号,アルファベット,*,*,*,*,Ｓ,エス,エス,一,0,1
郡,名詞,一般,*,*,*,*,郡,グン,グン,一,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,1
南端,名詞,一般,*,*,*,*,南端,ナンタン,ナンタン,一,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
外,名詞,一般,*,*,*,*,外,ソト,ソト,一,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,1
島々,名詞,一般,*,*,*,*,島々,シマジマ,シマジマ,一,0,1
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一,0,1
飛び離れ,動詞,自立,*,*,一段,連用形,飛び離れる,トビハナレ,トビハナレ,一,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,1
