表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ある,連体詞,*,*,*,*,*,ある,アル,アル,,骸骨紳士,,0,0
夕,名詞,副詞可能,*,*,*,*,夕,ユウ,ユー,,骸骨紳士,,0,0
がた,名詞,一般,*,*,*,*,がた,ガタ,ガタ,,骸骨紳士,,0,0
、,記号,読点,*,*,*,*,、,、,、,,骸骨紳士,,0,0
少年探偵団,名詞,固有名詞,組織,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,,骸骨紳士,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,骸骨紳士,,0,0
名コンビ,名詞,一般,*,*,*,*,名コンビ,メイコンビ,メイコンビ,,骸骨紳士,,0,0
井上一郎,名詞,固有名詞,人名,一般,*,*,井上一郎,イノウエイチロウ,イノーエイチロー,,骸骨紳士,,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,,骸骨紳士,,0,0
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,骸骨紳士,,0,0
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,骸骨紳士,,0,0
ちゃんと,副詞,一般,*,*,*,*,ちゃんと,チャント,チャント,,骸骨紳士,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,骸骨紳士,,0,0
、,記号,読点,*,*,*,*,、,、,、,,骸骨紳士,,0,0
世田谷区,名詞,固有名詞,地域,一般,*,*,世田谷区,セタガヤク,セタガヤク,,骸骨紳士,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,骸骨紳士,,0,0
さびし,形容詞,自立,*,*,形容詞・イ段,ガル接続,さびしい,サビシ,サビシ,,骸骨紳士,,0,0
いやしき,形容詞,自立,*,*,形容詞・イ段,体言接続,いやしい,イヤシキ,イヤシキ,,骸骨紳士,,0,0
まち,名詞,一般,*,*,*,*,まち,マチ,マチ,,骸骨紳士,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,骸骨紳士,,0,0
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ,,骸骨紳士,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,骸骨紳士,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,骸骨紳士,,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,骸骨紳士,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,骸骨紳士,,0,0
。,記号,句点,*,*,*,*,。,。,。,,骸骨紳士,,0,0
きょうは,名詞,一般,*,*,*,*,教派,キョウハ,キョーハ,,骸骨紳士,,0,1
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,,骸骨紳士,,0,1
君,名詞,接尾,人名,*,*,*,君,クン,クン,,骸骨紳士,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,骸骨紳士,,0,1
ほう,名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,,骸骨紳士,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,骸骨紳士,,0,1
、,記号,読点,*,*,*,*,、,、,、,,骸骨紳士,,0,1
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,骸骨紳士,,0,1
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,骸骨紳士,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,骸骨紳士,,0,1
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,,骸骨紳士,,0,1
うち,名詞,一般,*,*,*,*,うち,ウチ,ウチ,,骸骨紳士,,0,1
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,骸骨紳士,,0,1
遊び,名詞,一般,*,*,*,*,遊び,アソビ,アソビ,,骸骨紳士,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,骸骨紳士,,0,1
いっ,動詞,自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,,骸骨紳士,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,骸骨紳士,,0,1
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,,骸骨紳士,,0,1
、,記号,読点,*,*,*,*,、,、,、,,骸骨紳士,,0,1
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,骸骨紳士,,0,1
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,骸骨紳士,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,骸骨紳士,,0,1
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,,骸骨紳士,,0,1
君,名詞,接尾,人名,*,*,*,君,クン,クン,,骸骨紳士,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,骸骨紳士,,0,1
送っ,動詞,自立,*,*,五段・ラ行,連用タ接続,送る,オクッ,オクッ,,骸骨紳士,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,骸骨紳士,,0,1
いく,動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,,骸骨紳士,,0,1
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,,骸骨紳士,,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,骸骨紳士,,0,1
。,記号,句点,*,*,*,*,。,。,。,,骸骨紳士,,0,1
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,骸骨紳士,,0,2
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,骸骨紳士,,0,2
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,骸骨紳士,,0,2
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,骸骨紳士,,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,骸骨紳士,,0,2
、,記号,読点,*,*,*,*,、,、,、,,骸骨紳士,,0,2
野呂,名詞,固有名詞,人名,姓,*,*,野呂,ノロ,ノロ,,骸骨紳士,,0,2
一平,名詞,固有名詞,人名,名,*,*,一平,イッペイ,イッペイ,,骸骨紳士,,0,2
君,名詞,接尾,人名,*,*,*,君,クン,クン,,骸骨紳士,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,骸骨紳士,,0,2
あだな,名詞,一般,*,*,*,*,あだな,アダナ,アダナ,,骸骨紳士,,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,骸骨紳士,,0,2
。,記号,句点,*,*,*,*,。,。,。,,骸骨紳士,,0,2
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,骸骨紳士,,0,3
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,骸骨紳士,,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,骸骨紳士,,0,3
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,,骸骨紳士,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,骸骨紳士,,0,3
うち,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ,,骸骨紳士,,0,3
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,骸骨紳士,,0,3
