表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
「,記号,括弧開,*,*,*,*,「,「,「,,インパーフェクト・クライム,,0,0
で,接続詞,*,*,*,*,*,で,デ,デ,,インパーフェクト・クライム,,0,0
犯行,名詞,一般,*,*,*,*,犯行,ハンコウ,ハンコー,,インパーフェクト・クライム,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,0
手掛,名詞,一般,*,*,*,*,手掛り,テガカリ,テガカリ,,インパーフェクト・クライム,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,インパーフェクト・クライム,,0,0
？,記号,一般,*,*,*,*,？,？,？,,インパーフェクト・クライム,,0,0
被害者,名詞,固有名詞,一般,*,*,*,被害者,ヒガイシャ,ヒガイシャ,,インパーフェクト・クライム,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,0
身許,名詞,一般,*,*,*,*,身許,ミモト,ミモト,,インパーフェクト・クライム,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,インパーフェクト・クライム,,0,0
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ,,インパーフェクト・クライム,,0,0
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,インパーフェクト・クライム,,0,0
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,インパーフェクト・クライム,,0,0
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,インパーフェクト・クライム,,0,0
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,インパーフェクト・クライム,,0,0
、,記号,読点,*,*,*,*,、,、,、,,インパーフェクト・クライム,,0,0
せめて,副詞,一般,*,*,*,*,せめて,セメテ,セメテ,,インパーフェクト・クライム,,0,0
、,記号,読点,*,*,*,*,、,、,、,,インパーフェクト・クライム,,0,0
犯人,名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン,,インパーフェクト・クライム,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,0
手口,名詞,一般,*,*,*,*,手口,テグチ,テグチ,,インパーフェクト・クライム,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,インパーフェクト・クライム,,0,0
示す,動詞,自立,*,*,五段・サ行,基本形,示す,シメス,シメス,,インパーフェクト・クライム,,0,0
、,記号,読点,*,*,*,*,、,、,、,,インパーフェクト・クライム,,0,0
一寸,名詞,一般,*,*,*,*,一寸,イッスン,イッスン,,インパーフェクト・クライム,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,インパーフェクト・クライム,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,インパーフェクト・クライム,,0,0
証拠,名詞,一般,*,*,*,*,証拠,ショウコ,ショーコ,,インパーフェクト・クライム,,0,0
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,,インパーフェクト・クライム,,0,0
残っ,動詞,自立,*,*,五段・ラ行,連用タ接続,残る,ノコッ,ノコッ,,インパーフェクト・クライム,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,インパーフェクト・クライム,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,インパーフェクト・クライム,,0,0
い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,,インパーフェクト・クライム,,0,0
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,,インパーフェクト・クライム,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,インパーフェクト・クライム,,0,0
かしら,助詞,終助詞,*,*,*,*,かしら,カシラ,カシラ,,インパーフェクト・クライム,,0,0
」,記号,括弧閉,*,*,*,*,」,」,」,,インパーフェクト・クライム,,0,0
正岡,名詞,固有名詞,人名,姓,*,*,正岡,マサオカ,マサオカ,,インパーフェクト・クライム,,0,0
警部,名詞,一般,*,*,*,*,警部,ケイブ,ケイブ,,インパーフェクト・クライム,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,インパーフェクト・クライム,,0,0
鎌倉,名詞,固有名詞,地域,一般,*,*,鎌倉,カマクラ,カマクラ,,インパーフェクト・クライム,,0,0
署長,名詞,一般,*,*,*,*,署長,ショチョウ,ショチョー,,インパーフェクト・クライム,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,0
顔色,名詞,一般,*,*,*,*,顔色,カオイロ,カオイロ,,インパーフェクト・クライム,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,インパーフェクト・クライム,,0,0
読む,動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム,,インパーフェクト・クライム,,0,0
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,インパーフェクト・クライム,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,インパーフェクト・クライム,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,インパーフェクト・クライム,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,インパーフェクト・クライム,,0,0
尋ね,動詞,自立,*,*,一段,連用形,尋ねる,タズネ,タズネ,,インパーフェクト・クライム,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,インパーフェクト・クライム,,0,0
。,記号,句点,*,*,*,*,。,。,。,,インパーフェクト・クライム,,0,0
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,インパーフェクト・クライム,,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,インパーフェクト・クライム,,0,1
署長,名詞,一般,*,*,*,*,署長,ショチョウ,ショチョー,,インパーフェクト・クライム,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,1
困惑,名詞,サ変接続,*,*,*,*,困惑,コンワク,コンワク,,インパーフェクト・クライム,,0,1
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,インパーフェクト・クライム,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,インパーフェクト・クライム,,0,1
表情,名詞,一般,*,*,*,*,表情,ヒョウジョウ,ヒョージョー,,インパーフェクト・クライム,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,1
奥,名詞,一般,*,*,*,*,奥,オク,オク,,インパーフェクト・クライム,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,インパーフェクト・クライム,,0,1
、,記号,読点,*,*,*,*,、,、,、,,インパーフェクト・クライム,,0,1
何だか,副詞,一般,*,*,*,*,何だか,ナンダカ,ナンダカ,,インパーフェクト・クライム,,0,1
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,,インパーフェクト・クライム,,0,1
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,インパーフェクト・クライム,,0,1
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,インパーフェクト・クライム,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,インパーフェクト・クライム,,0,1
、,記号,読点,*,*,*,*,、,、,、,,インパーフェクト・クライム,,0,1
一縷,名詞,一般,*,*,*,*,一縷,イチル,イチル,,インパーフェクト・クライム,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,1
希望,名詞,サ変接続,*,*,*,*,希望,キボウ,キボー,,インパーフェクト・クライム,,0,1
みたい,名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,,インパーフェクト・クライム,,0,1
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,インパーフェクト・クライム,,0,1
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,インパーフェクト・クライム,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,インパーフェクト・クライム,,0,1
感じ,動詞,自立,*,*,一段,未然形,感じる,カンジ,カンジ,,インパーフェクト・クライム,,0,1
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,,インパーフェクト・クライム,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,インパーフェクト・クライム,,0,1
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,,インパーフェクト・クライム,,0,1
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,インパーフェクト・クライム,,0,1
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,,インパーフェクト・クライム,,0,1
。,記号,句点,*,*,*,*,。,。,。,,インパーフェクト・クライム,,0,1
「,記号,括弧開,*,*,*,*,「,「,「,,インパーフェクト・クライム,,0,2
アア,名詞,固有名詞,人名,一般,*,*,AH,アア,アー,,インパーフェクト・クライム,,0,2
、,記号,読点,*,*,*,*,、,、,、,,インパーフェクト・クライム,,0,2
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,インパーフェクト・クライム,,0,2
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,,インパーフェクト・クライム,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,インパーフェクト・クライム,,0,2
証拠,名詞,一般,*,*,*,*,証拠,ショウコ,ショーコ,,インパーフェクト・クライム,,0,2
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,,インパーフェクト・クライム,,0,2
、,記号,読点,*,*,*,*,、,、,、,,インパーフェクト・クライム,,0,2
