表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
冬の夜,名詞,固有名詞,一般,*,*,*,冬の夜,フユノヨル,フユノヨル,歯車の音,0,0
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,0
月,名詞,一般,*,*,*,*,月,ツキ,ツキ,歯車の音,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,0
さえ,動詞,自立,*,*,一段,連用形,さえる,サエ,サエ,歯車の音,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,歯車の音,0,0
晩,名詞,副詞可能,*,*,*,*,晩,バン,バン,歯車の音,0,0
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,0
銀座通り,名詞,固有名詞,一般,*,*,*,銀座通り,ギンザドオリ,ギンザドーリ,歯車の音,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,0
近い,形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ,歯車の音,0,0
橋,名詞,一般,*,*,*,*,橋,ハシ,ハシ,歯車の音,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,0
たもと,名詞,一般,*,*,*,*,たもと,タモト,タモト,歯車の音,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,0
交番,名詞,一般,*,*,*,*,交番,コウバン,コーバン,歯車の音,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,0
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,0
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,歯車の音,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,0
警官,名詞,一般,*,*,*,*,警官,ケイカン,ケイカン,歯車の音,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,歯車の音,0,0
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル,歯車の音,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,0
見はり,名詞,一般,*,*,*,*,見張り,ミハリ,ミハリ,歯車の音,0,0
について,助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,歯車の音,0,0
い,動詞,自立,*,*,一段,連用形,いる,イ,イ,歯車の音,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,歯車の音,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,歯車の音,0,0
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,0
一時,名詞,副詞可能,*,*,*,*,一時,イチジ,イチジ,歯車の音,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,歯車の音,0,1
とっく,名詞,一般,*,*,*,*,特区,トック,トック,歯車の音,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,1
すぎ,動詞,自立,*,*,一段,連用形,すぎる,スギ,スギ,歯車の音,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,歯車の音,0,1
真夜中,名詞,副詞可能,*,*,*,*,真夜中,マヨナカ,マヨナカ,歯車の音,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,歯車の音,0,1
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,1
ひるま,動詞,自立,*,*,五段・マ行,未然形,ひるむ,ヒルマ,ヒルマ,歯車の音,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,歯車の音,0,2
電車,名詞,一般,*,*,*,*,電車,デンシャ,デンシャ,歯車の音,0,2
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,歯車の音,0,2
バス,名詞,一般,*,*,*,*,バス,バス,バス,歯車の音,0,2
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,歯車の音,0,2
自動車,名詞,一般,*,*,*,*,自動車,ジドウシャ,ジドーシャ,歯車の音,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,歯車の音,0,2
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,2
縦横,名詞,一般,*,*,*,*,縦横,ジュウオウ,ジューオー,歯車の音,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,2
はせ,動詞,自立,*,*,一段,連用形,はせる,ハセ,ハセ,歯車の音,0,2
ちがう,動詞,自立,*,*,五段・ワ行促音便,基本形,ちがう,チガウ,チガウ,歯車の音,0,2
大通り,名詞,一般,*,*,*,*,大通り,オオドオリ,オードーリ,歯車の音,0,2
も,助詞,係助詞,*,*,*,*,も,モ,モ,歯車の音,0,2
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,2
まるで,副詞,一般,*,*,*,*,まるで,マルデ,マルデ,歯車の音,0,2
いなかの,名詞,固有名詞,一般,*,*,*,いなかの,イナカノ,イナカノ,歯車の音,0,2
原っぱ,名詞,一般,*,*,*,*,原っぱ,ハラッパ,ハラッパ,歯車の音,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,2
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,歯車の音,0,2
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,歯車の音,0,2
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,歯車の音,0,2
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,歯車の音,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,歯車の音,0,2
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,2
月の光,名詞,固有名詞,一般,*,*,*,月の光,ツキノヒカリ,ツキノヒカリ,歯車の音,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,3
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,3
四本,名詞,固有名詞,人名,姓,*,*,四本,ヨツモト,ヨツモト,歯車の音,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,3
電車,名詞,一般,*,*,*,*,電車,デンシャ,デンシャ,歯車の音,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,3
レール,名詞,一般,*,*,*,*,レール,レール,レール,歯車の音,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,歯車の音,0,3
キラキラ,副詞,助詞類接続,*,*,*,*,キラキラ,キラキラ,キラキラ,歯車の音,0,3
光っ,動詞,自立,*,*,五段・ラ行,連用タ接続,光る,ヒカッ,ヒカッ,歯車の音,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,歯車の音,0,3
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,歯車の音,0,3
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ,歯車の音,0,3
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,3
動く,動詞,自立,*,*,五段・カ行イ音便,基本形,動く,ウゴク,ウゴク,歯車の音,0,3
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,歯車の音,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,歯車の音,0,3
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,3
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,歯車の音,0,3
も,助詞,係助詞,*,*,*,*,も,モ,モ,歯車の音,0,3
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,歯車の音,0,3
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,歯車の音,0,3
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,歯車の音,0,3
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,3
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,歯車の音,0,4
中の人,名詞,固有名詞,一般,*,*,*,中の人,ナカノヒト,ナカノヒト,歯車の音,0,4
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,歯車の音,0,4
死に,動詞,自立,*,*,五段・ナ行,連用形,死ぬ,シニ,シニ,歯車の音,0,4
たえ,動詞,自立,*,*,一段,連用形,たえる,タエ,タエ,歯車の音,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,歯車の音,0,4
しまっ,動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,しまう,シマッ,シマッ,歯車の音,0,4
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,歯車の音,0,4
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,歯車の音,0,4
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,歯車の音,0,4
さびしさ,名詞,一般,*,*,*,*,さびしさ,サビシサ,サビシサ,歯車の音,0,4
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,歯車の音,0,4
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,4
警官,名詞,一般,*,*,*,*,警官,ケイカン,ケイカン,歯車の音,0,5
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,歯車の音,0,5
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,5
交番,名詞,一般,*,*,*,*,交番,コウバン,コーバン,歯車の音,0,5
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,歯車の音,0,5
赤い,形容詞,自立,*,*,形容詞・アウオ段,基本形,赤い,アカイ,アカイ,歯車の音,0,5
電灯,名詞,一般,*,*,*,*,電灯,デントウ,デントー,歯車の音,0,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,5
下,名詞,一般,*,*,*,*,下,シタ,シタ,歯車の音,0,5
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,5
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,5
じっと,副詞,一般,*,*,*,*,じっと,ジット,ジット,歯車の音,0,5
立っ,動詞,自立,*,*,五段・タ行,連用タ接続,立つ,タッ,タッ,歯車の音,0,5
て,助詞,接続助詞,*,*,*,*,て,テ,テ,歯車の音,0,5
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,5
注意,名詞,サ変接続,*,*,*,*,注意,チュウイ,チューイ,歯車の音,0,5
ぶ,動詞,自立,*,*,五段・ラ行,体言接続特殊２,ぶる,ブ,ブ,歯車の音,0,5
かく,副詞,一般,*,*,*,*,かく,カク,カク,歯車の音,0,5
あたり,名詞,一般,*,*,*,*,あたり,アタリ,アタリ,歯車の音,0,5
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,歯車の音,0,5
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,歯車の音,0,5
まわし,動詞,自立,*,*,五段・サ行,連用形,まわす,マワシ,マワシ,歯車の音,0,5
て,助詞,接続助詞,*,*,*,*,て,テ,テ,歯車の音,0,5
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,歯車の音,0,5
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,歯車の音,0,5
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,歯車の音,0,5
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,5
濃い,形容詞,自立,*,*,形容詞・アウオ段,基本形,濃い,コイ,コイ,歯車の音,0,6
口ひげ,名詞,一般,*,*,*,*,口ひげ,クチヒゲ,クチヒゲ,歯車の音,0,6
