表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
近頃,名詞,一般,*,*,*,*,近頃,チカゴロ,チカゴロ,,一,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,一,,0,0
有頂天,名詞,一般,*,*,*,*,有頂天,ウチョウテン,ウチョーテン,,一,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,0
山名,名詞,固有名詞,人名,姓,*,*,山名,ヤマナ,ヤマナ,,一,,0,0
宗,名詞,固有名詞,人名,名,*,*,宗,タカシ,タカシ,,一,,0,0
三,名詞,数,*,*,*,*,三,サン,サン,,一,,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,一,,0,0
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,,一,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,一,,0,0
。,記号,句点,*,*,*,*,。,。,。,,一,,0,0
何とも,副詞,一般,*,*,*,*,何とも,ナントモ,ナントモ,,一,,0,1
云え,動詞,自立,*,*,五段・ワ行促音便,命令ｅ,云う,イエ,イエ,,一,,0,1
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,,一,,0,1
暖かい,形容詞,自立,*,*,形容詞・アウオ段,基本形,暖かい,アタタカイ,アタタカイ,,一,,0,1
、,記号,読点,*,*,*,*,、,、,、,,一,,0,1
柔かい,形容詞,自立,*,*,形容詞・アウオ段,基本形,柔かい,ヤワラカイ,ヤワラカイ,,一,,0,1
、,記号,読点,*,*,*,*,、,、,、,,一,,0,1
薔薇色,名詞,一般,*,*,*,*,薔薇色,バライロ,バライロ,,一,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,1
、,記号,読点,*,*,*,*,、,、,、,,一,,0,1
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,,一,,0,1
薫,名詞,固有名詞,人名,姓,*,*,薫,カオル,カオル,,一,,0,1
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,一,,0,1
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,,一,,0,1
空気,名詞,一般,*,*,*,*,空気,クウキ,クーキ,,一,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,一,,0,1
、,記号,読点,*,*,*,*,、,、,、,,一,,0,1
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,一,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,1
身辺,名詞,一般,*,*,*,*,身辺,シンペン,シンペン,,一,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,一,,0,1
包ん,動詞,自立,*,*,五段・マ行,連用タ接続,包む,ツツン,ツツン,,一,,0,1
で,助詞,接続助詞,*,*,*,*,で,デ,デ,,一,,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,一,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,一,,0,1
。,記号,句点,*,*,*,*,。,。,。,,一,,0,1
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,一,,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,一,,0,2
、,記号,読点,*,*,*,*,、,、,、,,一,,0,2
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,,一,,0,2
役所,名詞,一般,*,*,*,*,役所,ヤクショ,ヤクショ,,一,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,2
ボロ,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,ボロい,ボロ,ボロ,,一,,0,2
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ,,一,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,一,,0,2
向っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,向う,ムカッ,ムカッ,,一,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,一,,0,2
、,記号,読点,*,*,*,*,、,、,、,,一,,0,2
コツコツ,副詞,助詞類接続,*,*,*,*,コツコツ,コツコツ,コツコツ,,一,,0,2
と,助詞,副詞化,*,*,*,*,と,ト,ト,,一,,0,2
仕事,名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,,一,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,一,,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,一,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,一,,0,2
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,一,,0,2
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,,一,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,一,,0,2
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,,一,,0,2
