表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー,,,,0,0
こそ,助詞,係助詞,*,*,*,*,こそ,コソ,コソ,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,,,,0,0
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,,,,0,0
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,,,0,0
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,0
決心,名詞,サ変接続,*,*,*,*,決心,ケッシン,ケッシン,,,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
死刑,名詞,一般,*,*,*,*,死刑,シケイ,シケイ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
日,名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,,,,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,1
段々,副詞,助詞類接続,*,*,*,*,段々,ダンダン,ダンダン,,,,0,1
近づい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,近づく,チカヅイ,チカズイ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,,,,0,1
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,1
。,記号,句点,*,*,*,*,。,。,。,,,,0,1
早く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,早い,ハヤク,ハヤク,,,,0,2
心,名詞,一般,*,*,*,*,心,ココロ,ココロ,,,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,2
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,,,0,2
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,2
喋っ,動詞,自立,*,*,五段・ラ行,連用タ接続,喋る,シャベッ,シャベッ,,,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,2
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,,,,0,2
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
せめて,副詞,一般,*,*,*,*,せめて,セメテ,セメテ,,,,0,2
死ぬ,動詞,自立,*,*,五段・ナ行,基本形,死ぬ,シヌ,シヌ,,,,0,2
迄,助詞,副助詞,*,*,*,*,迄,マデ,マデ,,,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,2
数,名詞,数,*,*,*,*,数,スウ,スー,,,,0,2
日,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,,,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,2
安らか,名詞,形容動詞語幹,*,*,*,*,安らか,ヤスラカ,ヤスラカ,,,,0,2
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,2
送り,名詞,一般,*,*,*,*,送り,オクリ,オクリ,,,,0,2
度,名詞,接尾,一般,*,*,*,度,ド,ド,,,,0,2
いと,副詞,一般,*,*,*,*,いと,イト,イト,,,,0,2
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,,,,0,2
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,2
。,記号,句点,*,*,*,*,。,。,。,,,,0,2
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,,,,0,3
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,,,,0,3
迷惑,名詞,形容動詞語幹,*,*,*,*,迷惑,メイワク,メイワク,,,,0,3
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,,,,0,3
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,,,0,3
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
暫らく,副詞,一般,*,*,*,*,暫らく,シバラク,シバラク,,,,0,3
この,連体詞,*,*,*,*,*,この,コノ,コノ,,,,0,3
哀れ,名詞,形容動詞語幹,*,*,*,*,哀れ,アワレ,アワレ,,,,0,3
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,3
死刑囚,名詞,一般,*,*,*,*,死刑囚,シケイシュウ,シケイシュー,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
為,名詞,非自立,副詞可能,*,*,*,為,タメ,タメ,,,,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,3
時間,名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン,,,,0,3
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,3
御,接頭詞,動詞接続,*,*,*,*,御,オ,オ,,,,0,3
割き,動詞,自立,*,*,五段・カ行イ音便,連用形,割く,サキ,サキ,,,,0,3
下さい,動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ,,,,0,3
。,記号,句点,*,*,*,*,。,。,。,,,,0,3
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,,,,0,4
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,4
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,,,,0,4
承知,名詞,サ変接続,*,*,*,*,承知,ショウチ,ショーチ,,,,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,4
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,,,,0,4
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,4
、,記号,読点,*,*,*,*,、,、,、,,,,0,4
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,4
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,4
一人,名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,,,,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,4
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,,,,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,4
殺し,動詞,自立,*,*,五段・サ行,連用形,殺す,コロシ,コロシ,,,,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,4
、,記号,読点,*,*,*,*,、,、,、,,,,0,4
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,4
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,,,,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,4
金庫,名詞,一般,*,*,*,*,金庫,キンコ,キンコ,,,,0,4
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,4
三,名詞,数,*,*,*,*,三,サン,サン,,,,0,4
万,名詞,数,*,*,*,*,万,マン,マン,,,,0,4
円,名詞,接尾,助数詞,*,*,*,円,エン,エン,,,,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,4
金,名詞,一般,*,*,*,*,金,キン,キン,,,,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,4
盗ん,動詞,自立,*,*,五段・マ行,連用タ接続,盗む,ヌスン,ヌスン,,,,0,4
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,,,,0,4
廉,名詞,固有名詞,人名,名,*,*,廉,レン,レン,,,,0,4
によって,助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ,,,,0,4
死刑,名詞,一般,*,*,*,*,死刑,シケイ,シケイ,,,,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,4
宣告,名詞,サ変接続,*,*,*,*,宣告,センコク,センコク,,,,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,4
受け,動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ,,,,0,4
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,4
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,4
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,4
。,記号,句点,*,*,*,*,。,。,。,,,,0,4
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,,,,0,5
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,5
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,,,0,5
以上,名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー,,,,0,5
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,5
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,5
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,5
疑う,動詞,自立,*,*,五段・ワ行促音便,基本形,疑う,ウタガウ,ウタガウ,,,,0,5
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,,,0,5
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,5
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,,,0,5
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,,,0,5
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,,,0,5
。,記号,句点,*,*,*,*,。,。,。,,,,0,5
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,6
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,6
事実,名詞,副詞可能,*,*,*,*,事実,ジジツ,ジジツ,,,,0,6
、,記号,読点,*,*,*,*,、,、,、,,,,0,6
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,,,0,6
丈,名詞,一般,*,*,*,*,丈,タケ,タケ,,,,0,6
け,助詞,終助詞,*,*,*,*,け,ケ,ケ,,,,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,6
罪,名詞,一般,*,*,*,*,罪,ツミ,ツミ,,,,0,6
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,6
犯し,動詞,自立,*,*,五段・サ行,連用形,犯す,オカシ,オカシ,,,,0,6
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,6
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,,,0,6
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,6
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,6
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,6
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,,,0,6
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,6
し,助詞,接続助詞,*,*,*,*,し,シ,シ,,,,0,6
