表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,のぞきカラクリ,0,0
探偵,名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ,のぞきカラクリ,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ,0,0
少年,名詞,一般,*,*,*,*,少年,ショウネン,ショーネン,のぞきカラクリ,0,0
助手,名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,のぞきカラクリ,0,0
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,0
小林芳雄,名詞,固有名詞,人名,一般,*,*,小林芳雄,コバヤシヨシオ,コバヤシヨシオ,のぞきカラクリ,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,のぞきカラクリ,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,のぞきカラクリ,0,0
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,0
ある,連体詞,*,*,*,*,*,ある,アル,アル,のぞきカラクリ,0,0
夕方,名詞,副詞可能,*,*,*,*,夕方,ユウガタ,ユーガタ,のぞきカラクリ,0,0
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,0
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,のぞきカラクリ,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ,0,0
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,のぞきカラクリ,0,0
つかい,動詞,自立,*,*,五段・ワ行促音便,連用形,つかう,ツカイ,ツカイ,のぞきカラクリ,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,のぞきカラクリ,0,0
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,のぞきカラクリ,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,のぞきカラクリ,0,0
帰り道,名詞,一般,*,*,*,*,帰り道,カエリミチ,カエリミチ,のぞきカラクリ,0,0
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,0
麹町,名詞,固有名詞,一般,*,*,*,麹町,コウジマチ,コージマチ,のぞきカラクリ,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ,0,0
探偵事務所,名詞,固有名詞,一般,*,*,*,探偵事務所,タンテイジムショ,タンテイジムショ,のぞきカラクリ,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ,0,0
ちかく,副詞,一般,*,*,*,*,ちかく,チカク,チカク,のぞきカラクリ,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ,0,0
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,0
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,のぞきカラクリ,0,0
町,名詞,一般,*,*,*,*,町,マチ,マチ,のぞきカラクリ,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,のぞきカラクリ,0,0
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ,のぞきカラクリ,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,のぞきカラクリ,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,のぞきカラクリ,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,のぞきカラクリ,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,のぞきカラクリ,0,0
。,記号,句点,*,*,*,*,。,。,。,のぞきカラクリ,0,0
麹町,名詞,固有名詞,一般,*,*,*,麹町,コウジマチ,コージマチ,のぞきカラクリ,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,のぞきカラクリ,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,のぞきカラクリ,0,1
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,1
いま,名詞,副詞可能,*,*,*,*,いま,イマ,イマ,のぞきカラクリ,0,1
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,のぞきカラクリ,0,1
焼けあと,名詞,一般,*,*,*,*,焼け跡,ヤケアト,ヤケアト,のぞきカラクリ,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ,0,1
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,1
ひろい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひろい,ヒロイ,ヒロイ,のぞきカラクリ,0,1
原っぱ,名詞,一般,*,*,*,*,原っぱ,ハラッパ,ハラッパ,のぞきカラクリ,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,のぞきカラクリ,0,1
のこっ,動詞,自立,*,*,五段・ラ行,連用タ接続,のこる,ノコッ,ノコッ,のぞきカラクリ,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,のぞきカラクリ,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,のぞきカラクリ,0,1
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,のぞきカラクリ,0,1
。,記号,句点,*,*,*,*,。,。,。,のぞきカラクリ,0,1
かた,名詞,非自立,一般,*,*,*,かた,カタ,カタ,のぞきカラクリ,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,のぞきカラクリ,0,2
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,のぞきカラクリ,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,のぞきカラクリ,0,2
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,2
草,名詞,一般,*,*,*,*,草,クサ,クサ,のぞきカラクリ,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ,0,2
はえ,名詞,一般,*,*,*,*,はえ,ハエ,ハエ,のぞきカラクリ,0,2
しげっ,動詞,自立,*,*,五段・ラ行,連用タ接続,しげる,シゲッ,シゲッ,のぞきカラクリ,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,のぞきカラクリ,0,2
原っぱ,名詞,一般,*,*,*,*,原っぱ,ハラッパ,ハラッパ,のぞきカラクリ,0,2
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,2
かた,名詞,非自立,一般,*,*,*,かた,カタ,カタ,のぞきカラクリ,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,のぞきカラクリ,0,2
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,のぞきカラクリ,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,のぞきカラクリ,0,2
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ,0,2
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク,のぞきカラクリ,0,2
メートル,名詞,接尾,助数詞,*,*,*,メートル,メートル,メートル,のぞきカラクリ,0,2
も,助詞,係助詞,*,*,*,*,も,モ,モ,のぞきカラクリ,0,2
つづく,動詞,自立,*,*,五段・カ行イ音便,基本形,つづく,ツヅク,ツズク,のぞきカラクリ,0,2
