表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
＊,記号,一般,*,*,*,*,＊,＊,＊,,＊,,0.0,0.0
作中,名詞,一般,*,*,*,*,作中,サクチュウ,サクチュー,,＊,,0.0,0.0
、,記号,読点,*,*,*,*,、,、,、,,＊,,0.0,0.0
ディクスン・カー,名詞,固有名詞,人名,一般,*,*,ディクスン・カー,ディクスンカー,ディクスンカー,,＊,,0.0,0.0
著,名詞,接尾,人名,*,*,*,著,チョ,チョ,,＊,,0.0,0.0
『,記号,括弧開,*,*,*,*,『,『,『,,＊,,0.0,0.0
皇帝のかぎ煙草入れ,名詞,固有名詞,一般,*,*,*,皇帝のかぎ煙草入れ,コウテイノカギタバコイレ,コーテイノカギタバコイレ,,＊,,0.0,0.0
』,記号,括弧閉,*,*,*,*,』,』,』,,＊,,0.0,0.0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,＊,,0.0,0.0
トリック,名詞,一般,*,*,*,*,トリック,トリック,トリック,,＊,,0.0,0.0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,＊,,0.0,0.0
言及,名詞,サ変接続,*,*,*,*,言及,ゲンキュウ,ゲンキュー,,＊,,0.0,0.0
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,,＊,,0.0,0.0
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,＊,,0.0,0.0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,＊,,0.0,0.0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,＊,,0.0,0.0
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,＊,,0.0,0.0
。,記号,句点,*,*,*,*,。,。,。,,＊,,0.0,0.0
未読,名詞,一般,*,*,*,*,未読,ミドク,ミドク,,＊,,0.0,1.0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,＊,,0.0,1.0
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,,＊,,0.0,1.0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,＊,,0.0,1.0
ご,接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ,,＊,,0.0,1.0
注意,名詞,サ変接続,*,*,*,*,注意,チュウイ,チューイ,,＊,,0.0,1.0
ください,動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,くださる,クダサイ,クダサイ,,＊,,0.0,1.0
。,記号,句点,*,*,*,*,。,。,。,,＊,,0.0,1.0
シナリオ・ライター,名詞,固有名詞,一般,*,*,*,シナリオ・ライター,シナリオライター,シナリオライター,,一,,1.0,0.0
北村,名詞,固有名詞,人名,姓,*,*,北村,キタムラ,キタムラ,,一,,1.0,0.0
