表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
わたし,名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,< 章なし >,0,0
ころ,名詞,非自立,副詞可能,*,*,*,ころ,コロ,コロ,< 章なし >,0,0
世田谷警察署,名詞,固有名詞,地域,一般,*,*,世田谷警察署,セタガヤケイサツショ,セタガヤケイサツショ,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
刑事,名詞,一般,*,*,*,*,刑事,ケイジ,ケイジ,< 章なし >,0,0
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,< 章なし >,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,0
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,0
自殺,名詞,サ変接続,*,*,*,*,自殺,ジサツ,ジサツ,< 章なし >,0,1
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,1
管内,名詞,一般,*,*,*,*,管内,カンナイ,カンナイ,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
Ｓ,記号,アルファベット,*,*,*,*,Ｓ,エス,エス,< 章なし >,0,1
町,名詞,一般,*,*,*,*,町,マチ,マチ,< 章なし >,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,1
住む,動詞,自立,*,*,五段・マ行,基本形,住む,スム,スム,< 章なし >,0,1
南田,名詞,固有名詞,人名,姓,*,*,南田,ミナミダ,ミナミダ,< 章なし >,0,1
収一,名詞,固有名詞,人名,名,*,*,収一,シユウイチ,シユウイチ,< 章なし >,0,1
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,< 章なし >,0,1
三,名詞,数,*,*,*,*,三,サン,サン,< 章なし >,0,1
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,< 章なし >,0,1
八,名詞,数,*,*,*,*,八,ハチ,ハチ,< 章なし >,0,1
才,名詞,接尾,助数詞,*,*,*,才,サイ,サイ,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,< 章なし >,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,1
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,1
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,< 章なし >,0,2
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,2
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,< 章なし >,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,2
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,2
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,2
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >,0,2
南田,名詞,固有名詞,人名,姓,*,*,南田,ミナミダ,ミナミダ,< 章なし >,0,2
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,< 章なし >,0,2
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,< 章なし >,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,2
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,< 章なし >,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,2
妻,名詞,一般,*,*,*,*,妻,ツマ,ツマ,< 章なし >,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,2
失恋,名詞,サ変接続,*,*,*,*,失恋,シツレン,シツレン,< 章なし >,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,2
自殺,名詞,サ変接続,*,*,*,*,自殺,ジサツ,ジサツ,< 章なし >,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,2
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,2
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,2
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,3
おれ,名詞,代名詞,一般,*,*,*,おれ,オレ,オレ,< 章なし >,0,3
