表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
患者,名詞,一般,*,*,*,*,患者,カンジャ,カンジャ,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
手術,名詞,サ変接続,*,*,*,*,手術,シュジュツ,シュジュツ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
麻酔,名詞,サ変接続,*,*,*,*,麻酔,マスイ,マスイ,,,,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,0
醒め,動詞,自立,*,*,一段,連用形,醒める,サメ,サメ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
右手,名詞,一般,*,*,*,*,右手,ミギテ,ミギテ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
厚ぼったく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,厚ぼったい,アツボッタク,アツボッタク,,,,0,1
繃帯,名詞,一般,*,*,*,*,繃帯,ホウタイ,ホータイ,,,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,1
巻い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,巻く,マイ,マイ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
あっ,動詞,非自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
手首,名詞,一般,*,*,*,*,手首,テクビ,テクビ,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
切断,名詞,サ変接続,*,*,*,*,切断,セツダン,セツダン,,,,0,1
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,,,,0,1
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,,,0,1
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
少し,副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ,,,,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,1
知ら,動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,,,,0,1
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,,,0,1
。,記号,句点,*,*,*,*,。,。,。,,,,0,1
