表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
Ａ,記号,アルファベット,*,*,*,*,Ａ,エイ,エイ,,,,0,0
失礼,名詞,形容動詞語幹,*,*,*,*,失礼,シツレイ,シツレイ,,,,0,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,0
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ,,,,0,0
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,0
汽車,名詞,一般,*,*,*,*,汽車,キシャ,キシャ,,,,0,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,0
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,,,,0,0
一緒,名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,,,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,0
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,,,,0,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,0
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
Ｂ,記号,アルファベット,*,*,*,*,Ｂ,ビー,ビー,,,,0,1
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
御,接頭詞,動詞接続,*,*,*,*,御,オ,オ,,,,0,1
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,,,,0,1
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,,,0,1
申し,動詞,自立,*,*,五段・サ行,連用形,申す,モウシ,モーシ,,,,0,1
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
。,記号,句点,*,*,*,*,。,。,。,,,,0,1
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,,,,0,2
いえ,動詞,自立,*,*,五段・ワ行促音便,仮定形,いう,イエ,イエ,,,,0,2
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,2
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,2
思い出し,動詞,自立,*,*,五段・サ行,連用形,思い出す,オモイダシ,オモイダシ,,,,0,2
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,2
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,,,,0,2
。,記号,句点,*,*,*,*,。,。,。,,,,0,2
やっぱり,副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,,,,0,3
この,連体詞,*,*,*,*,*,この,コノ,コノ,,,,0,3
線,名詞,一般,*,*,*,*,線,セン,セン,,,,0,3
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,,,,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,3
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,,,,0,3
。,記号,句点,*,*,*,*,。,。,。,,,,0,3
Ａ,記号,アルファベット,*,*,*,*,Ａ,エイ,エイ,,,,0,4
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,,,,0,4
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,,,,0,4
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,4
飛ん,動詞,自立,*,*,五段・バ行,連用タ接続,飛ぶ,トン,トン,,,,0,4
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,,,,0,4
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,,,,0,4
災難,名詞,一般,*,*,*,*,災難,サイナン,サイナン,,,,0,4
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,,,,0,4
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,4
。,記号,句点,*,*,*,*,。,。,。,,,,0,4
Ｂ,記号,アルファベット,*,*,*,*,Ｂ,ビー,ビー,,,,0,5
いや,感動詞,*,*,*,*,*,いや,イヤ,イヤ,,,,0,5
、,記号,読点,*,*,*,*,、,、,、,,,,0,5
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,,,,0,5
言葉,名詞,一般,*,*,*,*,言葉,コトバ,コトバ,,,,0,5
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,5
痛み入り,動詞,自立,*,*,五段・ラ行,連用形,痛み入る,イタミイリ,イタミイリ,,,,0,5
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,5
。,記号,句点,*,*,*,*,。,。,。,,,,0,5
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,6
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,6
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,,,,0,6
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,,,,0,6
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,6
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,,,,0,6
しよう,名詞,一般,*,*,*,*,しよう,シヨウ,シヨー,,,,0,6
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,6
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,6
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,,,,0,6
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,6
