表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
江戸川乱歩,名詞,固有名詞,人名,一般,*,*,江戸川乱歩,エドガワランポ,エドガワランポ,「銭形平次」で世界的多作家に
ずいぶん,副詞,助詞類接続,*,*,*,*,ずいぶん,ズイブン,ズイブン,「銭形平次」で世界的多作家に
書い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,「銭形平次」で世界的多作家に
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,「銭形平次」で世界的多作家に
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,「銭形平次」で世界的多作家に
。,記号,句点,*,*,*,*,。,。,。,「銭形平次」で世界的多作家に
「,記号,括弧開,*,*,*,*,「,「,「,「銭形平次」で世界的多作家に
捕物帖,名詞,固有名詞,一般,*,*,*,捕物帖,トリモノチョウ,トリモノチョー,「銭形平次」で世界的多作家に
」,記号,括弧閉,*,*,*,*,」,」,」,「銭形平次」で世界的多作家に
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,「銭形平次」で世界的多作家に
…,記号,一般,*,*,*,*,…,…,…,「銭形平次」で世界的多作家に
…,記号,一般,*,*,*,*,…,…,…,「銭形平次」で世界的多作家に
何,名詞,数,*,*,*,*,何,ナン,ナン,「銭形平次」で世界的多作家に
篇,名詞,接尾,助数詞,*,*,*,篇,ヘン,ヘン,「銭形平次」で世界的多作家に
くらい,助詞,副助詞,*,*,*,*,くらい,クライ,クライ,「銭形平次」で世界的多作家に
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,「銭形平次」で世界的多作家に
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,「銭形平次」で世界的多作家に
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,「銭形平次」で世界的多作家に
？,記号,一般,*,*,*,*,？,？,？,「銭形平次」で世界的多作家に
。,記号,句点,*,*,*,*,。,。,。,「銭形平次」で世界的多作家に
野村胡堂,名詞,固有名詞,人名,一般,*,*,野村胡堂,ノムラコドウ,ノムラコドー,「銭形平次」で世界的多作家に
ハッキリ,副詞,助詞類接続,*,*,*,*,ハッキリ,ハッキリ,ハッキリ,「銭形平次」で世界的多作家に
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,「銭形平次」で世界的多作家に
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,「銭形平次」で世界的多作家に
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,「銭形平次」で世界的多作家に
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,「銭形平次」で世界的多作家に
わから,動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,「銭形平次」で世界的多作家に
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,「銭形平次」で世界的多作家に
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,「銭形平次」で世界的多作家に
、,記号,読点,*,*,*,*,、,、,、,「銭形平次」で世界的多作家に
三,名詞,数,*,*,*,*,三,サン,サン,「銭形平次」で世界的多作家に
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク,「銭形平次」で世界的多作家に
篇,名詞,接尾,助数詞,*,*,*,篇,ヘン,ヘン,「銭形平次」で世界的多作家に
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,「銭形平次」で世界的多作家に
越し,動詞,自立,*,*,五段・サ行,連用形,越す,コシ,コシ,「銭形平次」で世界的多作家に
て,助詞,接続助詞,*,*,*,*,て,テ,テ,「銭形平次」で世界的多作家に
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,「銭形平次」で世界的多作家に
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,「銭形平次」で世界的多作家に
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,「銭形平次」で世界的多作家に
。,記号,句点,*,*,*,*,。,。,。,「銭形平次」で世界的多作家に
もっとも,副詞,一般,*,*,*,*,もっとも,モットモ,モットモ,「銭形平次」で世界的多作家に
わたし,名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ,「銭形平次」で世界的多作家に
の,助詞,連体化,*,*,*,*,の,ノ,ノ,「銭形平次」で世界的多作家に
捕物帖,名詞,固有名詞,一般,*,*,*,捕物帖,トリモノチョウ,トリモノチョー,「銭形平次」で世界的多作家に
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,「銭形平次」で世界的多作家に
、,記号,読点,*,*,*,*,、,、,、,「銭形平次」で世界的多作家に
「,記号,括弧開,*,*,*,*,「,「,「,「銭形平次」で世界的多作家に
銭形平次,名詞,固有名詞,人名,一般,*,*,銭形平次,ゼニガタヘイジ,ゼニガタヘイジ,「銭形平次」で世界的多作家に
」,記号,括弧閉,*,*,*,*,」,」,」,「銭形平次」で世界的多作家に
と,助詞,格助詞,引用,*,*,*,と,ト,ト,「銭形平次」で世界的多作家に
「,記号,括弧開,*,*,*,*,「,「,「,「銭形平次」で世界的多作家に
池田,名詞,固有名詞,人名,姓,*,*,池田,イケダ,イケダ,「銭形平次」で世界的多作家に
大助,名詞,固有名詞,人名,名,*,*,大助,ダイスケ,ダイスケ,「銭形平次」で世界的多作家に
捕物,名詞,一般,*,*,*,*,捕物,トリモノ,トリモノ,「銭形平次」で世界的多作家に
控,名詞,一般,*,*,*,*,控,ヒカエ,ヒカエ,「銭形平次」で世界的多作家に
」,記号,括弧閉,*,*,*,*,」,」,」,「銭形平次」で世界的多作家に
と,助詞,格助詞,引用,*,*,*,と,ト,ト,「銭形平次」で世界的多作家に
両方,名詞,一般,*,*,*,*,両方,リョウホウ,リョーホー,「銭形平次」で世界的多作家に
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,「銭形平次」で世界的多作家に
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,「銭形平次」で世界的多作家に
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,「銭形平次」で世界的多作家に
。,記号,句点,*,*,*,*,。,。,。,「銭形平次」で世界的多作家に
銭形,名詞,一般,*,*,*,*,銭形,ゼニガタ,ゼニガタ,「銭形平次」で世界的多作家に
の,助詞,連体化,*,*,*,*,の,ノ,ノ,「銭形平次」で世界的多作家に
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,「銭形平次」で世界的多作家に
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,「銭形平次」で世界的多作家に
、,記号,読点,*,*,*,*,、,、,、,「銭形平次」で世界的多作家に
二,名詞,数,*,*,*,*,二,ニ,ニ,「銭形平次」で世界的多作家に
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク,「銭形平次」で世界的多作家に
四,名詞,数,*,*,*,*,四,ヨン,ヨン,「銭形平次」で世界的多作家に
、,記号,読点,*,*,*,*,、,、,、,「銭形平次」で世界的多作家に
五,名詞,数,*,*,*,*,五,ゴ,ゴ,「銭形平次」で世界的多作家に
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,「銭形平次」で世界的多作家に
篇,名詞,接尾,助数詞,*,*,*,篇,ヘン,ヘン,「銭形平次」で世界的多作家に
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,「銭形平次」で世界的多作家に
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,「銭形平次」で世界的多作家に
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,「銭形平次」で世界的多作家に
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,「銭形平次」で世界的多作家に
？,記号,一般,*,*,*,*,？,？,？,「銭形平次」で世界的多作家に
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,「銭形平次」で世界的多作家に
書い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,「銭形平次」で世界的多作家に
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,「銭形平次」で世界的多作家に
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,「銭形平次」で世界的多作家に
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,「銭形平次」で世界的多作家に
われ,名詞,代名詞,一般,*,*,*,われ,ワレ,ワレ,「銭形平次」で世界的多作家に
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,「銭形平次」で世界的多作家に
…,記号,一般,*,*,*,*,…,…,…,「銭形平次」で世界的多作家に
…。,名詞,固有名詞,人名,一般,*,*,…。,サイレンス,サイレンス,「銭形平次」で世界的多作家に
「,記号,括弧開,*,*,*,*,「,「,「,「銭形平次」で世界的多作家に
オール,接頭詞,数接続,*,*,*,*,オール,オール,オール,「銭形平次」で世界的多作家に
読物,名詞,一般,*,*,*,*,読物,ヨミモノ,ヨミモノ,「銭形平次」で世界的多作家に
」,記号,括弧閉,*,*,*,*,」,」,」,「銭形平次」で世界的多作家に
の,助詞,連体化,*,*,*,*,の,ノ,ノ,「銭形平次」で世界的多作家に
創刊号,名詞,固有名詞,一般,*,*,*,創刊号,ソウカンゴウ,ソーカンゴー,「銭形平次」で世界的多作家に
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,「銭形平次」で世界的多作家に
毎号,名詞,副詞可能,*,*,*,*,毎号,マイゴウ,マイゴー,「銭形平次」で世界的多作家に
一,名詞,数,*,*,*,*,一,イチ,イチ,「銭形平次」で世界的多作家に
篇,名詞,接尾,助数詞,*,*,*,篇,ヘン,ヘン,「銭形平次」で世界的多作家に
ずつ,助詞,副助詞,*,*,*,*,ずつ,ズツ,ズツ,「銭形平次」で世界的多作家に
載せ,動詞,自立,*,*,一段,連用形,載せる,ノセ,ノセ,「銭形平次」で世界的多作家に
はじめ,動詞,非自立,*,*,一段,連用形,はじめる,ハジメ,ハジメ,「銭形平次」で世界的多作家に
て,助詞,接続助詞,*,*,*,*,て,テ,テ,「銭形平次」で世界的多作家に
…,記号,一般,*,*,*,*,…,…,…,「銭形平次」で世界的多作家に
…,記号,一般,*,*,*,*,…,…,…,「銭形平次」で世界的多作家に
五,名詞,数,*,*,*,*,五,ゴ,ゴ,「銭形平次」で世界的多作家に
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,「銭形平次」で世界的多作家に
目,名詞,接尾,一般,*,*,*,目,メ,メ,「銭形平次」で世界的多作家に
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,「銭形平次」で世界的多作家に
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,「銭形平次」で世界的多作家に
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,「銭形平次」で世界的多作家に
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,「銭形平次」で世界的多作家に
