表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,１
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１
ち,動詞,自立,*,*,五段・ラ行,体言接続特殊２,ちる,チ,チ,１
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,１
日,名詞,接尾,一般,*,*,*,日,ビ,ビ,１
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１
ご,接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ,１
ご,接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ,１
、,記号,読点,*,*,*,*,、,、,、,１
丹下,名詞,固有名詞,人名,姓,*,*,丹下,タンゲ,タンゲ,１
サト子,名詞,固有名詞,人名,名,*,*,サト子,サトコ,サトコ,１
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,１
と,助詞,並立助詞,*,*,*,*,と,ト,ト,１
、,記号,読点,*,*,*,*,、,、,、,１
木村,名詞,固有名詞,人名,姓,*,*,木村,キムラ,キムラ,１
ミドリ,名詞,固有名詞,人名,名,*,*,ミドリ,ミドリ,ミドリ,１
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,１
と,助詞,並立助詞,*,*,*,*,と,ト,ト,１
、,記号,読点,*,*,*,*,、,、,、,１
野崎,名詞,固有名詞,人名,姓,*,*,野崎,ノサキ,ノサキ,１
サユリ,名詞,固有名詞,人名,名,*,*,サユリ,サユリ,サユリ,１
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,１
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１
三,名詞,数,*,*,*,*,三,サン,サン,１
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,１
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１
、,記号,読点,*,*,*,*,、,、,、,１
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,１
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,１
