表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
小説家,名詞,固有名詞,人名,一般,*,*,小説家,ショウセツカ,ショーセツカ,老人形師
大江,名詞,固有名詞,人名,姓,*,*,大江,オオエ,オーエ,老人形師
蘭,名詞,固有名詞,人名,名,*,*,蘭,ラン,ラン,老人形師
堂,名詞,接尾,一般,*,*,*,堂,ドウ,ドー,老人形師
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,老人形師
師,名詞,接尾,一般,*,*,*,師,シ,シ,老人形師
の,助詞,連体化,*,*,*,*,の,ノ,ノ,老人形師
仕事,名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,老人形師
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,老人形師
の,助詞,連体化,*,*,*,*,の,ノ,ノ,老人形師
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,老人形師
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,老人形師
書く,動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク,老人形師
必要,名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー,老人形師
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,老人形師
迫ら,動詞,自立,*,*,五段・ラ行,未然形,迫る,セマラ,セマラ,老人形師
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,老人形師
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,老人形師
。,記号,句点,*,*,*,*,。,。,。,老人形師
ブリタニカ,名詞,一般,*,*,*,*,*,*,*,老人形師
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
アメリカナ,名詞,一般,*,*,*,*,*,*,*,老人形師
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
大,接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,老人形師
百科辞典,名詞,一般,*,*,*,*,百科辞典,ヒャッカジテン,ヒャッカジテン,老人形師
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,老人形師
ひい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ひく,ヒイ,ヒイ,老人形師
て,助詞,接続助詞,*,*,*,*,て,テ,テ,老人形師
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,老人形師
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,老人形師
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
そういう,連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,老人形師
具体,名詞,一般,*,*,*,*,具体,グタイ,グタイ,老人形師
的,名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,老人形師
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,老人形師
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,老人形師
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,老人形師
わから,動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,老人形師
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,老人形師
