表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
ビヘヴィアリズム,名詞,一般,*,*,*,*,*,*,*,赤き泉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,赤き泉
新,接頭詞,名詞接続,*,*,*,*,新,シン,シン,赤き泉
心理学,名詞,固有名詞,一般,*,*,*,心理学,シンリガク,シンリガク,赤き泉
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,赤き泉
よれ,動詞,自立,*,*,五段・ラ行,仮定形,よる,ヨレ,ヨレ,赤き泉
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,赤き泉
、,記号,読点,*,*,*,*,、,、,、,赤き泉
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン,赤き泉
生涯,名詞,副詞可能,*,*,*,*,生涯,ショウガイ,ショーガイ,赤き泉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,赤き泉
運命,名詞,一般,*,*,*,*,運命,ウンメイ,ウンメイ,赤き泉
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,赤き泉
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,赤き泉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,赤き泉
、,記号,読点,*,*,*,*,、,、,、,赤き泉
遺伝,名詞,サ変接続,*,*,*,*,遺伝,イデン,イデン,赤き泉
より,助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,赤き泉
も,助詞,係助詞,*,*,*,*,も,モ,モ,赤き泉
教育,名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク,赤き泉
より,助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,赤き泉
も,助詞,係助詞,*,*,*,*,も,モ,モ,赤き泉
、,記号,読点,*,*,*,*,、,、,、,赤き泉
生後,名詞,一般,*,*,*,*,生後,セイゴ,セイゴ,赤き泉
数,名詞,数,*,*,*,*,数,スウ,スー,赤き泉
ヶ月,名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,赤き泉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,赤き泉
環境,名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー,赤き泉
によって,助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ,赤き泉
殆ど,名詞,副詞可能,*,*,*,*,殆ど,ホトンド,ホトンド,赤き泉
左右,名詞,サ変接続,*,*,*,*,左右,サユウ,サユー,赤き泉
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,赤き泉
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,赤き泉
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,赤き泉
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,赤き泉
そう,名詞,特殊,助動詞語幹,*,*,*,そう,ソウ,ソー,赤き泉
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,赤き泉
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,赤き泉
。,記号,句点,*,*,*,*,。,。,。,赤き泉
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,赤き泉
、,記号,読点,*,*,*,*,、,、,、,赤き泉
女,名詞,一般,*,*,*,*,女,オンナ,オンナ,赤き泉
妖,名詞,一般,*,*,*,*,*,*,*,赤き泉
江川,名詞,固有名詞,人名,姓,*,*,江川,エガワ,エガワ,赤き泉
蘭子,名詞,固有名詞,人名,名,*,*,蘭子,ランコ,ランコ,赤き泉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,赤き泉
悪魔,名詞,一般,*,*,*,*,悪魔,アクマ,アクマ,赤き泉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,赤き泉
生涯,名詞,副詞可能,*,*,*,*,生涯,ショウガイ,ショーガイ,赤き泉
も,助詞,係助詞,*,*,*,*,も,モ,モ,赤き泉
、,記号,読点,*,*,*,*,、,、,、,赤き泉
恐らくは,副詞,一般,*,*,*,*,恐らくは,オソラクハ,オソラクワ,赤き泉
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,赤き泉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,赤き泉
赤ちゃん,名詞,一般,*,*,*,*,赤ちゃん,アカチャン,アカチャン,赤き泉
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,赤き泉
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,赤き泉
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,赤き泉
時代,名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,赤き泉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,赤き泉
世にも,副詞,一般,*,*,*,*,世にも,ヨニモ,ヨニモ,赤き泉
奇異,名詞,形容動詞語幹,*,*,*,*,奇異,キイ,キイ,赤き泉
なる,助動詞,*,*,*,文語・ナリ,体言接続,なり,ナル,ナル,赤き泉
環境,名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー,赤き泉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,赤き泉
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ,赤き泉
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,赤き泉
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,赤き泉
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,赤き泉
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,赤き泉
違い,名詞,ナイ形容詞語幹,*,*,*,*,違い,チガイ,チガイ,赤き泉
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,赤き泉
。,記号,句点,*,*,*,*,。,。,。,赤き泉
ワット,名詞,一般,*,*,*,*,ワット,ワット,ワット,赤き泉
サン,名詞,固有名詞,人名,名,*,*,サン,サン,サン,赤き泉
氏,名詞,接尾,人名,*,*,*,氏,シ,シ,赤き泉
曰く,名詞,副詞可能,*,*,*,*,曰く,イワク,イワク,赤き泉
、,記号,読点,*,*,*,*,、,、,、,赤き泉
赤ちゃん,名詞,一般,*,*,*,*,赤ちゃん,アカチャン,アカチャン,赤き泉
に対して,助詞,格助詞,連語,*,*,*,に対して,ニタイシテ,ニタイシテ,赤き泉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,赤き泉
「,記号,括弧開,*,*,*,*,「,「,「,赤き泉
一見,副詞,一般,*,*,*,*,一見,イッケン,イッケン,赤き泉
明白,名詞,形容動詞語幹,*,*,*,*,明白,メイハク,メイハク,赤き泉
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,赤き泉
唯,名詞,一般,*,*,*,*,唯,タダ,タダ,赤き泉
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,赤き泉
二つ,名詞,一般,*,*,*,*,二つ,フタツ,フタツ,赤き泉
