表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,一
不思議,名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
クラブ,名詞,一般,*,*,*,*,クラブ,クラブ,クラブ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
存在,名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
知っ,動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
友人,名詞,一般,*,*,*,*,友人,ユウジン,ユージン,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,一
次郎,名詞,固有名詞,人名,名,*,*,次郎,ジロウ,ジロー,一
によって,助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
あり,助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ,一
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,一
次郎,名詞,固有名詞,人名,名,*,*,次郎,ジロウ,ジロー,一
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,一
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
世間,名詞,一般,*,*,*,*,世間,セケン,セケン,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
そうした,連体詞,*,*,*,*,*,そうした,ソウシタ,ソーシタ,一
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
間々,副詞,一般,*,*,*,*,間々,ママ,ママ,一
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,一
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,一
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,一
、,記号,読点,*,*,*,*,、,、,、,一
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,一
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,一
、,記号,読点,*,*,*,*,、,、,、,一
いろいろ,名詞,形容動詞語幹,*,*,*,*,いろいろ,イロイロ,イロイロ,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
暗黒,名詞,一般,*,*,*,*,暗黒,アンコク,アンコク,一
面,名詞,接尾,一般,*,*,*,面,メン,メン,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
通じ,動詞,自立,*,*,一段,連用形,通じる,ツウジ,ツージ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
