表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
きむ,名詞,固有名詞,人名,一般,*,*,きむ,キム,キム,１マントにんぎょうのまき
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ,１マントにんぎょうのまき
たけし,名詞,固有名詞,人名,名,*,*,たけし,タケシ,タケシ,１マントにんぎょうのまき
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１マントにんぎょうのまき
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
しょうがっこう,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,１マントにんぎょうのまき
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき
二,名詞,数,*,*,*,*,二,ニ,ニ,１マントにんぎょうのまき
ねん,助詞,終助詞,*,*,*,*,ねん,ネン,ネン,１マントにんぎょうのまき
生,名詞,形容動詞語幹,*,*,*,*,生,ナマ,ナマ,１マントにんぎょうのまき
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
とうき,名詞,一般,*,*,*,*,とうき,トウキ,トーキ,１マントにんぎょうのまき
ょうのひろいおうちにすんでいました,名詞,一般,*,*,*,*,*,*,*,１マントにんぎょうのまき
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,１マントにんぎょうのまき
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
ある,連体詞,*,*,*,*,*,ある,アル,アル,１マントにんぎょうのまき
かいしゃ,名詞,サ変接続,*,*,*,*,かいしゃ,カイシャ,カイシャ,１マントにんぎょうのまき
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき
しゃちょう,名詞,一般,*,*,*,*,社長,シャチョウ,シャチョー,１マントにんぎょうのまき
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,１マントにんぎょうのまき
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１マントにんぎょうのまき
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき
きむ,名詞,固有名詞,人名,一般,*,*,きむ,キム,キム,１マントにんぎょうのまき
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ,１マントにんぎょうのまき
たけし,名詞,固有名詞,人名,名,*,*,たけし,タケシ,タケシ,１マントにんぎょうのまき
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１マントにんぎょうのまき
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,１マントにんぎょうのまき
うち,名詞,一般,*,*,*,*,うち,ウチ,ウチ,１マントにんぎょうのまき
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき
ちかく,副詞,一般,*,*,*,*,ちかく,チカク,チカク,１マントにんぎょうのまき
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
ふし,名詞,一般,*,*,*,*,ふし,フシ,フシ,１マントにんぎょうのまき
ぎなせいようかんがあって,名詞,一般,*,*,*,*,*,*,*,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,１マントにんぎょうのまき
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１マントにんぎょうのまき
ふしぎ,名詞,形容動詞語幹,*,*,*,*,ふしぎ,フシギ,フシギ,１マントにんぎょうのまき
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,１マントにんぎょうのまき
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,１マントにんぎょうのまき
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１マントにんぎょうのまき
すん,動詞,自立,*,*,五段・マ行,連用タ接続,すむ,スン,スン,１マントにんぎょうのまき
で,助詞,接続助詞,*,*,*,*,で,デ,デ,１マントにんぎょうのまき
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,１マントにんぎょうのまき
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１マントにんぎょうのまき
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１マントにんぎょうのまき
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき
二,名詞,数,*,*,*,*,二,ニ,ニ,１マントにんぎょうのまき
かい,名詞,非自立,一般,*,*,*,かい,カイ,カイ,１マントにんぎょうのまき
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,１マントにんぎょうのまき
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１マントにんぎょうのまき
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき
ふるい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ふるい,フルイ,フルイ,１マントにんぎょうのまき
せいよ,名詞,一般,*,*,*,*,声誉,セイヨ,セイヨ,１マントにんぎょうのまき
うかん,動詞,自立,*,*,五段・バ行,連用タ接続,うかぶ,ウカン,ウカン,１マントにんぎょうのまき
で,助詞,接続助詞,*,*,*,*,で,デ,デ,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,１マントにんぎょうのまき
まわり,名詞,一般,*,*,*,*,まわり,マワリ,マワリ,１マントにんぎょうのまき
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
木,名詞,一般,*,*,*,*,木,キ,キ,１マントにんぎょうのまき
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,１マントにんぎょうのまき
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,１マントにんぎょうのまき
ぱいはえたにわでかこまれていました,名詞,一般,*,*,*,*,*,*,*,１マントにんぎょうのまき
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき
この,連体詞,*,*,*,*,*,この,コノ,コノ,１マントにんぎょうのまき
ふし,名詞,非自立,一般,*,*,*,ふし,フシ,フシ,１マントにんぎょうのまき
ぎないえのふしぎな,名詞,一般,*,*,*,*,*,*,*,１マントにんぎょうのまき
人,名詞,接尾,一般,*,*,*,人,ジン,ジン,１マントにんぎょうのまき
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
林,名詞,固有名詞,人名,姓,*,*,林,ハヤシ,ハヤシ,１マントにんぎょうのまき
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,１マントにんぎょうのまき
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,１マントにんぎょうのまき
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき
四十,名詞,固有名詞,人名,姓,*,*,四十,ヨト,ヨト,１マントにんぎょうのまき
ぐらい,助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,１マントにんぎょうのまき
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき
おじさん,名詞,一般,*,*,*,*,おじさん,オジサン,オジサン,１マントにんぎょうのまき
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,１マントにんぎょうのまき
