表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
お父さん,名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,一、その翌日
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
なくなら,動詞,自立,*,*,五段・ラ行,未然形,なくなる,ナクナラ,ナクナラ,一、その翌日
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
と,助詞,格助詞,引用,*,*,*,と,ト,ト,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,一、その翌日
じゃ,助詞,接続助詞,*,*,*,*,じゃ,ジャ,ジャ,一、その翌日
ないか,名詞,一般,*,*,*,*,内科,ナイカ,ナイカ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
ウン,名詞,固有名詞,一般,*,*,*,ウン,ウン,ウン,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
矢張り,副詞,一般,*,*,*,*,矢張り,ヤハリ,ヤハリ,一、その翌日
本当,名詞,形容動詞語幹,*,*,*,*,本当,ホントウ,ホントー,一、その翌日
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一、その翌日
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
だが,接続詞,*,*,*,*,*,だが,ダガ,ダガ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
今朝,名詞,副詞可能,*,*,*,*,今朝,ケサ,ケサ,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
○,記号,一般,*,*,*,*,○,○,○,一、その翌日
○,記号,一般,*,*,*,*,○,○,○,一、その翌日
新聞,名詞,一般,*,*,*,*,新聞,シンブン,シンブン,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
記事,名詞,一般,*,*,*,*,記事,キジ,キジ,一、その翌日
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一、その翌日
読ん,動詞,自立,*,*,五段・マ行,連用タ接続,読む,ヨン,ヨン,一、その翌日
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,一、その翌日
かい,助詞,終助詞,*,*,*,*,かい,カイ,カイ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
一体,副詞,一般,*,*,*,*,一体,イッタイ,イッタイ,一、その翌日
あれ,名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
事実,名詞,副詞可能,*,*,*,*,事実,ジジツ,ジジツ,一、その翌日
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一、その翌日
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一、その翌日
かい,助詞,終助詞,*,*,*,*,かい,カイ,カイ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
オイ,名詞,固有名詞,人名,一般,*,*,オイ,オイ,オイ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
しっかり,副詞,助詞類接続,*,*,*,*,しっかり,シッカリ,シッカリ,一、その翌日
しろ,動詞,自立,*,*,サ変・スル,命令ｒｏ,する,シロ,シロ,一、その翌日
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
心配,名詞,サ変接続,*,*,*,*,心配,シンパイ,シンパイ,一、その翌日
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一、その翌日
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一、その翌日
聞い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,一、その翌日
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一、その翌日
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,一、その翌日
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
何とか,副詞,一般,*,*,*,*,何とか,ナントカ,ナントカ,一、その翌日
いえ,動詞,自立,*,*,五段・ワ行促音便,命令ｅ,いう,イエ,イエ,一、その翌日
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
ウン,感動詞,*,*,*,*,*,ウン,ウン,ウン,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
有難う,感動詞,*,*,*,*,*,有難う,アリガトウ,アリガトー,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
別に,副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,一、その翌日
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,一、その翌日
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,一、その翌日
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,一、その翌日
新聞記事,名詞,固有名詞,一般,*,*,*,新聞記事,シンブンキジ,シンブンキジ,一、その翌日
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一、その翌日
正しい,形容詞,自立,*,*,形容詞・イ段,基本形,正しい,タダシイ,タダシイ,一、その翌日
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
昨日,名詞,副詞可能,*,*,*,*,昨日,キノウ,キノー,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
朝,名詞,副詞可能,*,*,*,*,朝,アサ,アサ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
目,名詞,一般,*,*,*,*,目,メ,メ,一、その翌日
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一、その翌日
覚まし,動詞,自立,*,*,五段・サ行,連用形,覚ます,サマシ,サマシ,一、その翌日
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
家,名詞,一般,*,*,*,*,家,イエ,イエ,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
庭,名詞,一般,*,*,*,*,庭,ニワ,ニワ,一、その翌日
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
親父,名詞,一般,*,*,*,*,親父,オヤジ,オヤジ,一、その翌日
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一、その翌日
頭,名詞,一般,*,*,*,*,頭,アタマ,アタマ,一、その翌日
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一、その翌日
破ら,動詞,自立,*,*,五段・ラ行,未然形,破る,ヤブラ,ヤブラ,一、その翌日
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,一、その翌日
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一、その翌日
倒れ,動詞,自立,*,*,一段,連用形,倒れる,タオレ,タオレ,一、その翌日
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一、その翌日
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
それだけ,副詞,助詞類接続,*,*,*,*,それだけ,ソレダケ,ソレダケ,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一、その翌日
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一、その翌日
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
それで,接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
昨日,名詞,副詞可能,*,*,*,*,昨日,キノウ,キノー,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
学校,名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,一、その翌日
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,一、その翌日
来,動詞,自立,*,*,カ変・来ル,未然形,来る,コ,コ,一、その翌日
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
犯人,名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
つかまっ,動詞,自立,*,*,五段・ラ行,連用タ接続,つかまる,ツカマッ,ツカマッ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
かい,名詞,非自立,一般,*,*,*,かい,カイ,カイ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
ウン,感動詞,*,*,*,*,*,ウン,ウン,ウン,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
嫌疑,名詞,一般,*,*,*,*,嫌疑,ケンギ,ケンギ,一、その翌日
者,名詞,接尾,一般,*,*,*,者,シャ,シャ,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
二,名詞,数,*,*,*,*,二,ニ,ニ,一、その翌日
三,名詞,数,*,*,*,*,三,サン,サン,一、その翌日
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,一、その翌日
あげ,動詞,自立,*,*,一段,未然形,あげる,アゲ,アゲ,一、その翌日
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ,一、その翌日
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
どれ,名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,一、その翌日
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一、その翌日
本当,名詞,一般,*,*,*,*,本当,ホントウ,ホントー,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
犯人,名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン,一、その翌日
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一、その翌日
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一、その翌日
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ,一、その翌日
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
お父さん,名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
恨,名詞,固有名詞,一般,*,*,*,恨,コン,コン,一、その翌日
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一、その翌日
受ける,動詞,自立,*,*,一段,基本形,受ける,ウケル,ウケル,一、その翌日
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一、その翌日
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一、その翌日
事,名詞,非自立,一般,*,*,*,事,コト,コト,一、その翌日
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一、その翌日
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一、その翌日
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一、その翌日
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一、その翌日
かい,助詞,終助詞,*,*,*,*,かい,カイ,カイ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
新聞,名詞,一般,*,*,*,*,新聞,シンブン,シンブン,一、その翌日
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
遺恨,名詞,一般,*,*,*,*,遺恨,イコン,イコン,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
殺人,名詞,一般,*,*,*,*,殺人,サツジン,サツジン,一、その翌日
らしい,助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ,一、その翌日
と,助詞,格助詞,引用,*,*,*,と,ト,ト,一、その翌日
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,一、その翌日
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一、その翌日
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一、その翌日
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一、その翌日
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
かも,助詞,副助詞,*,*,*,*,かも,カモ,カモ,一、その翌日
知れ,動詞,自立,*,*,一段,未然形,知れる,シレ,シレ,一、その翌日
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
商売,名詞,サ変接続,*,*,*,*,商売,ショウバイ,ショーバイ,一、その翌日
上,名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,一、その翌日
気,名詞,非自立,一般,*,*,*,気,キ,キ,一、その翌日
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,一、その翌日
きい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,きく,キイ,キイ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,一、その翌日
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,一、その翌日
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,一、その翌日
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,一、その翌日
。,記号,句点,*,*,*,*,。,。,。,一、その翌日
親父,名詞,一般,*,*,*,*,親父,オヤジ,オヤジ,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一、その翌日
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
どうせ,副詞,一般,*,*,*,*,どうせ,ドウセ,ドーセ,一、その翌日
酒,名詞,一般,*,*,*,*,酒,サケ,サケ,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
喧嘩,名詞,サ変接続,*,*,*,*,喧嘩,ケンカ,ケンカ,一、その翌日
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一、その翌日
元,名詞,一般,*,*,*,*,元,モト,モト,一、その翌日
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,一、その翌日
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,一、その翌日
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
酒,名詞,一般,*,*,*,*,酒,サケ,サケ,一、その翌日
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,一、その翌日
上っ,動詞,自立,*,*,五段・ラ行,連用タ接続,上る,ノボッ,ノボッ,一、その翌日
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一、その翌日
、,記号,読点,*,*,*,*,、,、,、,一、その翌日
お父さん,名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,一、その翌日
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一、その翌日
酒,名詞,一般,*,*,*,*,酒,サケ,サケ,一、その翌日
くせ,名詞,非自立,一般,*,*,*,くせ,クセ,クセ,一、その翌日
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一、その翌日
も,助詞,係助詞,*,*,*,*,も,モ,モ,一、その翌日
悪かっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,悪い,ワルカッ,ワルカッ,一、その翌日
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一、その翌日
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一、その翌日
かい,名詞,非自立,一般,*,*,*,かい,カイ,カイ,一、その翌日
」,記号,括弧閉,*,*,*,*,」,」,」,一、その翌日
「,記号,括弧開,*,*,*,*,「,「,「,一、その翌日
…,記号,一般,*,*,*,*,…,…,…,一、その翌日
