表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
「,記号,括弧開,*,*,*,*,「,「,「,一,0,0
社長,名詞,一般,*,*,*,*,社長,シャチョウ,シャチョー,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
又,接続詞,*,*,*,*,*,又,マタ,マタ,一,0,0
脅迫状,名詞,固有名詞,組織,*,*,*,脅迫状,キョウハクジョウ,キョーハクジョー,一,0,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一,0,0
」,記号,括弧閉,*,*,*,*,」,」,」,一,0,0
ドア,名詞,一般,*,*,*,*,ドア,ドア,ドア,一,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,0
開い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,開く,ヒライ,ヒライ,一,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
庶務,名詞,一般,*,*,*,*,庶務,ショム,ショム,一,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,0
北川,名詞,固有名詞,人名,姓,*,*,北川,キタガワ,キタガワ,一,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,0
入っ,動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,一,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,0
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,一,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,0
。,記号,句点,*,*,*,*,。,。,。,一,0,0
株式会社,名詞,一般,*,*,*,*,株式会社,カブシキガイシャ,カブシキガイシャ,一,0,1
西村,名詞,固有名詞,人名,姓,*,*,西村,ニシムラ,ニシムラ,一,0,1
電気,名詞,一般,*,*,*,*,電気,デンキ,デンキ,一,0,1
商会,名詞,一般,*,*,*,*,商会,ショウカイ,ショーカイ,一,0,1
主,名詞,接尾,一般,*,*,*,主,ヌシ,ヌシ,一,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,1
西村,名詞,固有名詞,人名,姓,*,*,西村,ニシムラ,ニシムラ,一,0,1
陽吉,名詞,固有名詞,人名,名,*,*,陽吉,ヨウキチ,ヨーキチ,一,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
灰皿,名詞,一般,*,*,*,*,灰皿,ハイザラ,ハイザラ,一,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,1
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,一,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,1
葉巻,名詞,一般,*,*,*,*,葉巻,ハマキ,ハマキ,一,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,1
置い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,置く,オイ,オイ,一,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
クルリ,名詞,固有名詞,一般,*,*,*,QURULI,クルリ,クルリ,一,0,1
と,助詞,格助詞,一般,*,*,*,と,ト,ト,一,0,1
廻転,名詞,サ変接続,*,*,*,*,廻転,カイテン,カイテン,一,0,1
椅子,名詞,一般,*,*,*,*,椅子,イス,イス,一,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,1
廻し,動詞,自立,*,*,五段・サ行,連用形,廻す,マワシ,マワシ,一,0,1
笑顔,名詞,一般,*,*,*,*,笑顔,エガオ,エガオ,一,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,1
向け,動詞,自立,*,*,一段,連用形,向ける,ムケ,ムケ,一,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,1
。,記号,句点,*,*,*,*,。,。,。,一,0,1
「,記号,括弧開,*,*,*,*,「,「,「,一,0,2
又,接続詞,*,*,*,*,*,又,マタ,マタ,一,0,2
かい,助詞,終助詞,*,*,*,*,かい,カイ,カイ,一,0,2
。,記号,句点,*,*,*,*,。,。,。,一,0,2
根気,名詞,一般,*,*,*,*,根気,コンキ,コンキ,一,0,3
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,一,0,3
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,一,0,3
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,一,0,3
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一,0,3
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,一,0,3
」,記号,括弧閉,*,*,*,*,」,」,」,一,0,3
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,3
ものう,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,ものうい,モノウ,モノウ,一,0,3
げ,名詞,接尾,一般,*,*,*,げ,ゲ,ゲ,一,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,3
、,記号,読点,*,*,*,*,、,、,、,一,0,3
北川,名詞,固有名詞,人名,姓,*,*,北川,キタガワ,キタガワ,一,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,3
さし,名詞,非自立,一般,*,*,*,さし,サシ,サシ,一,0,3
出す,動詞,自立,*,*,五段・サ行,基本形,出す,ダス,ダス,一,0,3
書状,名詞,一般,*,*,*,*,書状,ショジョウ,ショジョー,一,0,3
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,3
受取る,動詞,自立,*,*,五段・ラ行,基本形,受取る,ウケトル,ウケトル,一,0,3
と,助詞,接続助詞,*,*,*,*,と,ト,ト,一,0,3
、,記号,読点,*,*,*,*,、,、,、,一,0,3
チエッ,名詞,一般,*,*,*,*,*,*,*,一,0,3
