表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
アッ,感動詞,*,*,*,*,*,アッ,アッ,アッ,一,0,0
と,助詞,格助詞,引用,*,*,*,と,ト,ト,一,0,0
思う,動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,一,0,0
間,名詞,一般,*,*,*,*,間,マ,マ,一,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
相手,名詞,一般,*,*,*,*,相手,アイテ,アイテ,一,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
まるで,副詞,一般,*,*,*,*,まるで,マルデ,マルデ,一,0,0
泥,名詞,一般,*,*,*,*,泥,ドロ,ドロ,一,0,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一,0,0
拵え,動詞,自立,*,*,一段,連用形,拵える,コシラエ,コシラエ,一,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,0
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,一,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,0
くずれ,動詞,自立,*,*,一段,連用形,くずれる,クズレ,クズレ,一,0,0
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,一,0,0
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,一,0,0
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一,0,0
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
グナリ,名詞,一般,*,*,*,*,*,*,*,一,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,一,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,0
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ,一,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,0
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,一,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,0
平たく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,平たい,ヒラタク,ヒラタク,一,0,0
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,一,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,0
。,記号,句点,*,*,*,*,。,。,。,一,0,0
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,一,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
鼻柱,名詞,一般,*,*,*,*,鼻柱,ハナバシラ,ハナバシラ,一,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,1
くだけ,動詞,自立,*,*,一段,連用形,くだける,クダケ,クダケ,一,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,1
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,一,0,1
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,一,0,1
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一,0,1
と,助詞,格助詞,引用,*,*,*,と,ト,ト,一,0,1
思わ,動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ,一,0,1
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,一,0,1
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
ペッタリ,副詞,一般,*,*,*,*,ペッタリ,ペッタリ,ペッタリ,一,0,1
と,助詞,副詞化,*,*,*,*,と,ト,ト,一,0,1
真正面,名詞,一般,*,*,*,*,真正面,マッショウメン,マッショーメン,一,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ,一,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,1
おしつけ,動詞,自立,*,*,一段,未然形,おしつける,オシツケ,オシツケ,一,0,1
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,一,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,1
。,記号,句点,*,*,*,*,。,。,。,一,0,1
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,一,0,2
、,記号,読点,*,*,*,*,、,、,、,一,0,2
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,一,0,2
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,一,0,2
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,一,0,2
黄色い,形容詞,自立,*,*,形容詞・アウオ段,基本形,黄色い,キイロイ,キイロイ,一,0,2
皮膚,名詞,一般,*,*,*,*,皮膚,ヒフ,ヒフ,一,0,2
と,助詞,並立助詞,*,*,*,*,と,ト,ト,一,0,2
、,記号,読点,*,*,*,*,、,、,、,一,0,2
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ,一,0,2
掛,名詞,固有名詞,地域,一般,*,*,掛,カケ,カケ,一,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,2
青い,形容詞,自立,*,*,形容詞・アウオ段,基本形,青い,アオイ,アオイ,一,0,2
織物,名詞,一般,*,*,*,*,織物,オリモノ,オリモノ,一,0,2
と,助詞,格助詞,一般,*,*,*,と,ト,ト,一,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,2
間,名詞,一般,*,*,*,*,間,マ,マ,一,0,2
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一,0,2
、,記号,読点,*,*,*,*,、,、,、,一,0,2
椿,名詞,一般,*,*,*,*,椿,ツバキ,ツバキ,一,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,2
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一,0,2
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,一,0,2
真赤,名詞,形容動詞語幹,*,*,*,*,真赤,マッカ,マッカ,一,0,2
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一,0,2
液体,名詞,一般,*,*,*,*,液体,エキタイ,エキタイ,一,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,2
、,記号,読点,*,*,*,*,、,、,、,一,0,2
ドクドク,副詞,一般,*,*,*,*,ドクドク,ドクドク,ドクドク,一,0,2
と,助詞,副詞化,*,*,*,*,と,ト,ト,一,0,2
吹き出し,動詞,自立,*,*,五段・サ行,連用形,吹き出す,フキダシ,フキダシ,一,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,2
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,2
。,記号,句点,*,*,*,*,。,。,。,一,0,2
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ,一,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,3
騒ぎ,名詞,一般,*,*,*,*,騒ぎ,サワギ,サワギ,一,0,3
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一,0,3
鉄瓶,名詞,一般,*,*,*,*,鉄瓶,テツビン,テツビン,一,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,3
くつがえり,動詞,自立,*,*,五段・ラ行,連用形,くつがえる,クツガエリ,クツガエリ,一,0,3
、,記号,読点,*,*,*,*,、,、,、,一,0,3
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,一,0,3
桐,名詞,一般,*,*,*,*,桐,キリ,キリ,一,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,3
角,名詞,一般,*,*,*,*,角,カク,カク,一,0,3
火鉢,名詞,一般,*,*,*,*,火鉢,ヒバチ,ヒバチ,一,0,3
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,3
、,記号,読点,*,*,*,*,、,、,、,一,0,3
噴火山,名詞,一般,*,*,*,*,噴火山,フンカザン,フンカザン,一,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,3
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一,0,3
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,一,0,3
灰神楽,名詞,一般,*,*,*,*,灰神楽,ハイカグラ,ハイカグラ,一,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,3
立,名詞,接尾,一般,*,*,*,立,リツ,リツ,一,0,3
昇っ,動詞,自立,*,*,五段・ラ行,連用タ接続,昇る,ノボッ,ノボッ,一,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,3
、,記号,読点,*,*,*,*,、,、,、,一,0,3
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,一,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,3
拳銃,名詞,一般,*,*,*,*,拳銃,ケンジュウ,ケンジュー,一,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,3
煙,名詞,一般,*,*,*,*,煙,ケムリ,ケムリ,一,0,3
と,助詞,並立助詞,*,*,*,*,と,ト,ト,一,0,3
一緒に,名詞,固有名詞,一般,*,*,*,一緒に,イッショニ,イッショニ,一,0,3
、,記号,読点,*,*,*,*,、,、,、,一,0,3
まるで,副詞,一般,*,*,*,*,まるで,マルデ,マルデ,一,0,3
濃霧,名詞,一般,*,*,*,*,濃霧,ノウム,ノーム,一,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,3
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一,0,3
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,一,0,3
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,一,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,3
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,一,0,3
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,3
とじ,動詞,自立,*,*,一段,連用形,とじる,トジ,トジ,一,0,3
込め,動詞,自立,*,*,一段,連用形,込める,コメ,コメ,一,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,3
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,3
。,記号,句点,*,*,*,*,。,。,。,一,0,3
覗き,名詞,一般,*,*,*,*,覗き,ノゾキ,ノゾキ,一,0,4
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一,0,4
くり,名詞,一般,*,*,*,*,くり,クリ,クリ,一,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,4
絵,名詞,一般,*,*,*,*,絵,エ,エ,一,0,4
板,名詞,接尾,一般,*,*,*,板,バン,バン,一,0,4
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,4
、,記号,読点,*,*,*,*,、,、,、,一,0,4
カタリ,名詞,一般,*,*,*,*,*,*,*,一,0,4
と,助詞,格助詞,引用,*,*,*,と,ト,ト,一,0,4
落ち,動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ,一,0,4
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,4
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一,0,4
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,一,0,4
、,記号,読点,*,*,*,*,、,、,、,一,0,4
一,名詞,数,*,*,*,*,一,イチ,イチ,一,0,4
刹那,名詞,副詞可能,*,*,*,*,刹那,セツナ,セツナ,一,0,4
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,4
世界,名詞,一般,*,*,*,*,世界,セカイ,セカイ,一,0,4
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,4
変っ,動詞,自立,*,*,五段・ラ行,連用タ接続,変る,カワッ,カワッ,一,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,4
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,一,0,4
っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ,一,0,4
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,4
。,記号,句点,*,*,*,*,。,。,。,一,0,4
庄太郎,名詞,固有名詞,人名,名,*,*,庄太郎,ショウタロウ,ショータロー,一,0,5
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,5
いっそ,副詞,助詞類接続,*,*,*,*,いっそ,イッソ,イッソ,一,0,5
不思議,名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ,一,0,5
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一,0,5
気,名詞,非自立,一般,*,*,*,気,キ,キ,一,0,5
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,5
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一,0,5
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,5
。,記号,句点,*,*,*,*,。,。,。,一,0,5
「,記号,括弧開,*,*,*,*,「,「,「,一,0,6
こりゃ,感動詞,*,*,*,*,*,こりゃ,コリャ,コリャ,一,0,6
まあ,副詞,一般,*,*,*,*,まあ,マア,マー,一,0,6
、,記号,読点,*,*,*,*,、,、,、,一,0,6
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,一,0,6
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,6
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一,0,6
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一,0,6
」,記号,括弧閉,*,*,*,*,」,」,」,一,0,6
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一,0,6
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,6
胸,名詞,一般,*,*,*,*,胸,ムネ,ムネ,一,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,6
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,一,0,6
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一,0,6
、,記号,読点,*,*,*,*,、,、,、,一,0,6
さも,副詞,一般,*,*,*,*,さも,サモ,サモ,一,0,6
暢気,名詞,形容動詞語幹,*,*,*,*,暢気,ノンキ,ノンキ,一,0,6
相,名詞,接尾,一般,*,*,*,相,ショウ,ショー,一,0,6
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,6
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,一,0,6
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一,0,6
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,6
云っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,云う,ユッ,ユッ,一,0,6
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,6
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,6
。,記号,句点,*,*,*,*,。,。,。,一,0,6
併,名詞,一般,*,*,*,*,*,*,*,一,0,7
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一,0,7
、,記号,読点,*,*,*,*,、,、,、,一,0,7
数,名詞,数,*,*,*,*,数,スウ,スー,一,0,7
秒間,名詞,接尾,助数詞,*,*,*,秒間,ビョウカン,ビョーカン,一,0,7
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,7
後,名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ,一,0,7
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,7
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,7
、,記号,読点,*,*,*,*,、,、,、,一,0,7
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一,0,7
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,7
右,名詞,一般,*,*,*,*,右,ミギ,ミギ,一,0,7
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,7
手先,名詞,一般,*,*,*,*,手先,テサキ,テサキ,一,0,7
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,7
重い,形容詞,自立,*,*,形容詞・アウオ段,基本形,重い,オモイ,オモイ,一,0,7
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一,0,7
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,7
意識,名詞,サ変接続,*,*,*,*,意識,イシキ,イシキ,一,0,7
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一,0,7
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,7
。,記号,句点,*,*,*,*,。,。,。,一,0,7
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル,一,0,8
と,助詞,接続助詞,*,*,*,*,と,ト,ト,一,0,8
、,記号,読点,*,*,*,*,、,、,、,一,0,8
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,一,0,8
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,8
、,記号,読点,*,*,*,*,、,、,、,一,0,8
相手,名詞,一般,*,*,*,*,相手,アイテ,アイテ,一,0,8
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,8
奥村一郎,名詞,固有名詞,人名,一般,*,*,奥村一郎,オクムライチロウ,オクムライチロー,一,0,8
