表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
或,連体詞,*,*,*,*,*,或,アル,アル,< 章なし >
年,名詞,一般,*,*,*,*,年,トシ,トシ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
冬休み,名詞,一般,*,*,*,*,冬休み,フユヤスミ,フユヤスミ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
友人,名詞,一般,*,*,*,*,友人,ユウジン,ユージン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
林一郎,名詞,固有名詞,人名,一般,*,*,林一郎,ハヤシイチロウ,ハヤシイチロー,< 章なし >
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >
一通,名詞,一般,*,*,*,*,一通,イッツウ,イッツー,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
招待,名詞,サ変接続,*,*,*,*,招待,ショウタイ,ショータイ,< 章なし >
状,名詞,接尾,一般,*,*,*,状,ジョウ,ジョー,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
受け取っ,動詞,自立,*,*,五段・ラ行,連用タ接続,受け取る,ウケトッ,ウケトッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
手紙,名詞,一般,*,*,*,*,手紙,テガミ,テガミ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
弟,名詞,一般,*,*,*,*,弟,オトウト,オトート,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
二郎,名詞,固有名詞,人名,名,*,*,二郎,ジロウ,ジロー,< 章なし >
と,助詞,並立助詞,*,*,*,*,と,ト,ト,< 章なし >
一緒に,名詞,固有名詞,一般,*,*,*,一緒に,イッショニ,イッショニ,< 章なし >
一,名詞,数,*,*,*,*,一,イチ,イチ,< 章なし >
週間,名詞,接尾,助数詞,*,*,*,週間,シュウカン,シューカン,< 章なし >
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ,< 章なし >
