表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
門野,名詞,固有名詞,人名,姓,*,*,門野,モンノ,モンノ,一
、,記号,読点,*,*,*,*,、,、,、,一
御存知,名詞,一般,*,*,*,*,御存知,ゴゾンジ,ゴゾンジ,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
いらっしゃい,動詞,自立,*,*,五段・ラ行特殊,連用形,いらっしゃる,イラッシャイ,イラッシャイ,一
ましょ,助動詞,*,*,*,特殊・マス,未然ウ接続,ます,マショ,マショ,一
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,一
。,記号,句点,*,*,*,*,。,。,。,一
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,一
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,一
以前,名詞,副詞可能,*,*,*,*,以前,イゼン,イゼン,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
なくなっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なくなる,ナクナッ,ナクナッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
先,名詞,一般,*,*,*,*,先,サキ,サキ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
夫,名詞,一般,*,*,*,*,夫,オット,オット,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
ござい,助動詞,*,*,*,五段・ラ行特殊,連用形,ござる,ゴザイ,ゴザイ,一
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,一
。,記号,句点,*,*,*,*,。,。,。,一
こんなに,副詞,助詞類接続,*,*,*,*,こんなに,コンナニ,コンナニ,一
月日,名詞,一般,*,*,*,*,月日,ツキヒ,ツキヒ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
たち,動詞,自立,*,*,五段・タ行,連用形,たつ,タチ,タチ,一
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,一
と,助詞,接続助詞,*,*,*,*,と,ト,ト,一
、,記号,読点,*,*,*,*,、,、,、,一
門野,名詞,固有名詞,人名,姓,*,*,門野,モンノ,モンノ,一
と,助詞,並立助詞,*,*,*,*,と,ト,ト,一
口,名詞,一般,*,*,*,*,口,クチ,クチ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
出し,動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
いっ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,一
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
、,記号,読点,*,*,*,*,、,、,、,一
一向,副詞,一般,*,*,*,*,一向,イッコウ,イッコー,一
他人,名詞,一般,*,*,*,*,他人,タニン,タニン,一
様,名詞,接尾,人名,*,*,*,様,サマ,サマ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
、,記号,読点,*,*,*,*,、,、,、,一
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,一
出来事,名詞,一般,*,*,*,*,出来事,デキゴト,デキゴト,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
、,記号,読点,*,*,*,*,、,、,、,一
何だか,副詞,一般,*,*,*,*,何だか,ナンダカ,ナンダカ,一
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,一
、,記号,読点,*,*,*,*,、,、,、,一
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
なかっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
かしら,助詞,終助詞,*,*,*,*,かしら,カシラ,カシラ,一
、,記号,読点,*,*,*,*,、,、,、,一
なんて,助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,一
思わ,動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ,一
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,一
ほど,助詞,副助詞,*,*,*,*,ほど,ホド,ホド,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
ござい,助動詞,*,*,*,五段・ラ行特殊,連用形,ござる,ゴザイ,ゴザイ,一
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,一
。,記号,句点,*,*,*,*,。,。,。,一
門野,名詞,固有名詞,地域,一般,*,*,門野,カドノ,カドノ,一
家,名詞,接尾,一般,*,*,*,家,カ,カ,一
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,一
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,一
嫁入り,名詞,一般,*,*,*,*,嫁入り,ヨメイリ,ヨメイリ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
御縁,名詞,固有名詞,人名,姓,*,*,御縁,ミエニシ,ミエニシ,一
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
ござい,助動詞,*,*,*,五段・ラ行特殊,連用形,ござる,ゴザイ,ゴザイ,一
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
かしら,助詞,終助詞,*,*,*,*,かしら,カシラ,カシラ,一
、,記号,読点,*,*,*,*,、,、,、,一
申す,動詞,自立,*,*,五段・サ行,基本形,申す,モウス,モース,一
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,一
、,記号,読点,*,*,*,*,、,、,、,一
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,一
嫁入り,名詞,一般,*,*,*,*,嫁入り,ヨメイリ,ヨメイリ,一
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
、,記号,読点,*,*,*,*,、,、,、,一
お互,名詞,一般,*,*,*,*,お互い,オタガイ,オタガイ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
好き,動詞,自立,*,*,五段・カ行イ音便,連用形,好く,スキ,スキ,一
合っ,動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,合う,アッ,アッ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
なんて,助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,一
、,記号,読点,*,*,*,*,、,、,、,一
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,一
みだら,名詞,形容動詞語幹,*,*,*,*,みだら,ミダラ,ミダラ,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
なく,助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,一
、,記号,読点,*,*,*,*,、,、,、,一
仲人,名詞,一般,*,*,*,*,仲人,ナコウド,ナコード,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
母,名詞,一般,*,*,*,*,母,ハハ,ハハ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
説きつけ,動詞,自立,*,*,一段,連用形,説きつける,トキツケ,トキツケ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
、,記号,読点,*,*,*,*,、,、,、,一
母,名詞,一般,*,*,*,*,母,ハハ,ハハ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
又,副詞,一般,*,*,*,*,又,マタ,マタ,一
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
申し,動詞,自立,*,*,五段・サ行,連用形,申す,モウシ,モーシ,一
聞か,動詞,自立,*,*,五段・カ行イ音便,未然形,聞く,キカ,キカ,一
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
、,記号,読点,*,*,*,*,、,、,、,一
