表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
退屈,名詞,サ変接続,*,*,*,*,退屈,タイクツ,タイクツ,< 章なし >,0,0
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,< 章なし >,0,0
と,助詞,接続助詞,*,*,*,*,と,ト,ト,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,< 章なし >,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,0
始める,動詞,自立,*,*,一段,基本形,始める,ハジメル,ハジメル,< 章なし >,0,0
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >,0,0
知れ,動詞,自立,*,*,一段,連用形,知れる,シレ,シレ,< 章なし >,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,0
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,< 章なし >,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,< 章なし >,0,0
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,< 章なし >,0,0
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,0
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
知人,名詞,一般,*,*,*,*,知人,チジン,チジン,< 章なし >,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,1
Ｔ,記号,アルファベット,*,*,*,*,Ｔ,ティー,ティー,< 章なし >,0,1
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,< 章なし >,0,1
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,< 章なし >,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,1
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,< 章なし >,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,1
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,1
型,名詞,一般,*,*,*,*,型,カタ,カタ,< 章なし >,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,2
如く,助動詞,*,*,*,文語・ゴトシ,連用形,如し,ゴトク,ゴトク,< 章なし >,0,2
無職,名詞,一般,*,*,*,*,無職,ムショク,ムショク,< 章なし >,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,2
遊民,名詞,一般,*,*,*,*,遊民,ユウミン,ユーミン,< 章なし >,0,2
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,2
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,2
大して,副詞,一般,*,*,*,*,大して,タイシテ,タイシテ,< 章なし >,0,3
金,名詞,一般,*,*,*,*,金,キン,キン,< 章なし >,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,3
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,< 章なし >,0,3
訳,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ,< 章なし >,0,3
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,3
