表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
「,記号,括弧開,*,*,*,*,「,「,「,上
イヤ,名詞,一般,*,*,*,*,イヤ,イヤ,イヤ,上
、,記号,読点,*,*,*,*,、,、,、,上
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク,上
も,助詞,係助詞,*,*,*,*,も,モ,モ,上
多少,副詞,助詞類接続,*,*,*,*,多少,タショウ,タショー,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
知っ,動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,上
さ,助詞,終助詞,*,*,*,*,さ,サ,サ,上
。,記号,句点,*,*,*,*,。,。,。,上
あれ,名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
先ず,副詞,一般,*,*,*,*,先ず,マズ,マズ,上
、,記号,読点,*,*,*,*,、,、,、,上
近来,名詞,副詞可能,*,*,*,*,近来,キンライ,キンライ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
珍事,名詞,一般,*,*,*,*,珍事,チンジ,チンジ,上
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,上
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,上
。,記号,句点,*,*,*,*,。,。,。,上
世間,名詞,一般,*,*,*,*,世間,セケン,セケン,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,上
噂,名詞,サ変接続,*,*,*,*,噂,ウワサ,ウワサ,上
で,助詞,格助詞,一般,*,*,*,で,デ,デ,上
持切っ,動詞,自立,*,*,五段・ラ行,連用タ接続,持切る,モチキッ,モチキッ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,上
。,記号,句点,*,*,*,*,。,。,。,上
が,接続詞,*,*,*,*,*,が,ガ,ガ,上
、,記号,読点,*,*,*,*,、,、,、,上
多分,副詞,一般,*,*,*,*,多分,タブン,タブン,上
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ,上
程,助詞,副助詞,*,*,*,*,程,ホド,ホド,上
詳,名詞,固有名詞,人名,名,*,*,詳,アキラ,アキラ,上
敷く,動詞,自立,*,*,五段・カ行イ音便,基本形,敷く,シク,シク,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,上
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,上
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,上
。,記号,句点,*,*,*,*,。,。,。,上
少し,副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ,上
話さ,動詞,自立,*,*,五段・サ行,未然形,話す,ハナサ,ハナサ,上
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,上
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,上
」,記号,括弧閉,*,*,*,*,」,」,」,上
一人,名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
青年,名詞,一般,*,*,*,*,青年,セイネン,セイネン,上
紳士,名詞,一般,*,*,*,*,紳士,シンシ,シンシ,上
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,上
、,記号,読点,*,*,*,*,、,、,、,上
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,上
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
、,記号,読点,*,*,*,*,、,、,、,上
赤い,形容詞,自立,*,*,形容詞・アウオ段,基本形,赤い,アカイ,アカイ,上
血,名詞,一般,*,*,*,*,血,チ,チ,上
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,上
滴る,動詞,自立,*,*,五段・ラ行,基本形,滴る,シタタル,シタタル,上
肉,名詞,一般,*,*,*,*,肉,ニク,ニク,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
切れ,名詞,一般,*,*,*,*,切れ,キレ,キレ,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
口,名詞,一般,*,*,*,*,口,クチ,クチ,上
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,上
持っ,動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
行っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
。,記号,句点,*,*,*,*,。,。,。,上
「,記号,括弧開,*,*,*,*,「,「,「,上
じゃ,接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,上
、,記号,読点,*,*,*,*,、,、,、,上
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,上
話す,動詞,自立,*,*,五段・サ行,基本形,話す,ハナス,ハナス,上
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,上
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,上
。,記号,句点,*,*,*,*,。,。,。,上
オイ,名詞,固有名詞,一般,*,*,*,oi,オイ,オイ,上
、,記号,読点,*,*,*,*,、,、,、,上
ボーイ,名詞,一般,*,*,*,*,ボーイ,ボーイ,ボーイ,上
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,上
、,記号,読点,*,*,*,*,、,、,、,上
ビール,名詞,一般,*,*,*,*,ビール,ビール,ビール,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,上
代り,名詞,一般,*,*,*,*,代り,カワリ,カワリ,上
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,上
」,記号,括弧閉,*,*,*,*,」,」,」,上
身形,名詞,一般,*,*,*,*,身形,ミナリ,ミナリ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
端正,名詞,形容動詞語幹,*,*,*,*,端正,タンセイ,タンセイ,上
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,上
のに,助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,上
そぐわ,動詞,自立,*,*,五段・ワ行促音便,未然形,そぐう,ソグワ,ソグワ,上
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ,上
、,記号,読点,*,*,*,*,、,、,、,上
髪の毛,名詞,一般,*,*,*,*,髪の毛,カミノケ,カミノケ,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
馬鹿に,副詞,一般,*,*,*,*,馬鹿に,バカニ,バカニ,上
モジャモジャ,名詞,形容動詞語幹,*,*,*,*,もじゃもじゃ,モジャモジャ,モジャモジャ,上
と,助詞,格助詞,引用,*,*,*,と,ト,ト,上
伸し,動詞,自立,*,*,五段・サ行,連用形,伸す,ノバシ,ノバシ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
、,記号,読点,*,*,*,*,、,、,、,上
相手,名詞,一般,*,*,*,*,相手,アイテ,アイテ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
青年,名詞,一般,*,*,*,*,青年,セイネン,セイネン,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
、,記号,読点,*,*,*,*,、,、,、,上
次,名詞,一般,*,*,*,*,次,ツギ,ツギ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,上
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,上
語り,動詞,自立,*,*,五段・ラ行,連用形,語る,カタリ,カタリ,上
出し,動詞,非自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
。,記号,句点,*,*,*,*,。,。,。,上
「,記号,括弧開,*,*,*,*,「,「,「,上
時,名詞,一般,*,*,*,*,時,トキ,トキ,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
――,記号,一般,*,*,*,*,――,――,――,上
大正,名詞,固有名詞,一般,*,*,*,大正,タイショウ,タイショー,上
――,記号,一般,*,*,*,*,――,――,――,上
年,名詞,一般,*,*,*,*,年,トシ,トシ,上
十月十日,名詞,固有名詞,人名,一般,*,*,十月十日,トツキトオカ,トツキトオカ,上
午前四時,名詞,固有名詞,人名,一般,*,*,午前四時,ゴゼンジ,ゴゼンジ,上
、,記号,読点,*,*,*,*,、,、,、,上
所,名詞,一般,*,*,*,*,所,トコロ,トコロ,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
――,記号,一般,*,*,*,*,――,――,――,上
町,名詞,一般,*,*,*,*,町,マチ,マチ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
町外れ,名詞,一般,*,*,*,*,町外れ,マチハズレ,マチハズレ,上
、,記号,読点,*,*,*,*,、,、,、,上
富田,名詞,固有名詞,人名,姓,*,*,富田,トミタ,トミタ,上
博士,名詞,一般,*,*,*,*,博士,ハカセ,ハカセ,上
邸,名詞,接尾,一般,*,*,*,邸,テイ,テイ,上
裏,名詞,一般,*,*,*,*,裏,ウラ,ウラ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
鉄道線路,名詞,固有名詞,一般,*,*,*,鉄道線路,テツドウセンロ,テツドーセンロ,上
、,記号,読点,*,*,*,*,、,、,、,上
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,上
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,上
舞台面,名詞,一般,*,*,*,*,舞台面,ブタイメン,ブタイメン,上
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,上
。,記号,句点,*,*,*,*,。,。,。,上
冬,名詞,一般,*,*,*,*,冬,フユ,フユ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
、,記号,読点,*,*,*,*,、,、,、,上
（,記号,括弧開,*,*,*,*,（,（,（,上
イヤ,名詞,一般,*,*,*,*,イヤ,イヤ,イヤ,上
、,記号,読点,*,*,*,*,、,、,、,上
秋,名詞,固有名詞,人名,姓,*,*,秋,アキ,アキ,上
かな,名詞,固有名詞,人名,名,*,*,かな,カナ,カナ,上
、,記号,読点,*,*,*,*,、,、,、,上
マア,名詞,一般,*,*,*,*,まあ,マア,マー,上
どっち,名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ,上
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,上
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,上
や,助詞,終助詞,*,*,*,*,や,ヤ,ヤ,上
）,記号,括弧閉,*,*,*,*,）,）,）,上
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,上
薄暗い,形容詞,自立,*,*,形容詞・アウオ段,基本形,薄暗い,ウスグライ,ウスグライ,上
暁,名詞,一般,*,*,*,*,暁,アカツキ,アカツキ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
、,記号,読点,*,*,*,*,、,、,、,上
静寂,名詞,一般,*,*,*,*,静寂,セイジャク,セイジャク,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
破っ,動詞,自立,*,*,五段・ラ行,連用タ接続,破る,ヤブッ,ヤブッ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
、,記号,読点,*,*,*,*,、,、,、,上
上り,名詞,一般,*,*,*,*,上り,ノボリ,ノボリ,上
第,接頭詞,数接続,*,*,*,*,第,ダイ,ダイ,上
○,名詞,数,*,*,*,*,○,レイ,レイ,上
号,名詞,接尾,一般,*,*,*,号,ゴウ,ゴー,上
列車,名詞,一般,*,*,*,*,列車,レッシャ,レッシャ,上
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,上
驀進,名詞,サ変接続,*,*,*,*,驀進,バクシン,バクシン,上
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
と,助詞,格助詞,引用,*,*,*,と,ト,ト,上
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,上
給え,動詞,自立,*,*,五段・ワ行促音便,命令ｅ,給う,タマエ,タマエ,上
。,記号,句点,*,*,*,*,。,。,。,上
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,上
と,助詞,接続助詞,*,*,*,*,と,ト,ト,上
