表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,作者の言葉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,作者の言葉
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,作者の言葉
書く,動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク,作者の言葉
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,作者の言葉
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,作者の言葉
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,作者の言葉
と,助詞,格助詞,引用,*,*,*,と,ト,ト,作者の言葉
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,作者の言葉
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉
も,助詞,係助詞,*,*,*,*,も,モ,モ,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
現在,名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ,作者の言葉
で,助詞,格助詞,一般,*,*,*,で,デ,デ,作者の言葉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉
色々,副詞,助詞類接続,*,*,*,*,色々,イロイロ,イロイロ,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
傾向,名詞,一般,*,*,*,*,傾向,ケイコウ,ケイコー,作者の言葉
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉
分れ,動詞,自立,*,*,五段・ラ行,仮定形,分る,ワカレ,ワカレ,作者の言葉
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,作者の言葉
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
昔,名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,作者の言葉
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,作者の言葉
感じ,名詞,一般,*,*,*,*,感じ,カンジ,カンジ,作者の言葉
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,作者の言葉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉
非常,名詞,形容動詞語幹,*,*,*,*,非常,ヒジョウ,ヒジョー,作者の言葉
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,作者の言葉
遠い,形容詞,自立,*,*,形容詞・アウオ段,基本形,遠い,トオイ,トーイ,作者の言葉
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,作者の言葉
も,助詞,係助詞,*,*,*,*,も,モ,モ,作者の言葉
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,作者の言葉
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,作者の言葉
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,作者の言葉
。,記号,句点,*,*,*,*,。,。,。,作者の言葉
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,作者の言葉
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,作者の言葉
書き,動詞,自立,*,*,五段・カ行イ音便,連用形,書く,カキ,カキ,作者の言葉
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,作者の言葉
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,作者の言葉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,作者の言葉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉
完結,名詞,サ変接続,*,*,*,*,完結,カンケツ,カンケツ,作者の言葉
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,作者の言葉
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉
見,動詞,自立,*,*,一段,未然形,見る,ミ,ミ,作者の言葉
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,作者の言葉
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,作者の言葉
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ,作者の言葉
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,作者の言葉
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,作者の言葉
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,作者の言葉
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
恐らく,副詞,一般,*,*,*,*,恐らく,オソラク,オソラク,作者の言葉
本格,名詞,一般,*,*,*,*,本格,ホンカク,ホンカク,作者の言葉
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,作者の言葉
と,助詞,格助詞,引用,*,*,*,と,ト,ト,作者の言葉
いわ,動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,イワ,作者の言葉
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,作者の言葉
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,作者の言葉
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,作者の言葉
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉
当ら,動詞,自立,*,*,五段・ラ行,未然形,当る,アタラ,アタラ,作者の言葉
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,作者の言葉
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,作者の言葉
と,助詞,格助詞,引用,*,*,*,と,ト,ト,作者の言葉
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,作者の言葉
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
もっとも,副詞,一般,*,*,*,*,もっとも,モットモ,モットモ,作者の言葉
新しい,形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ,作者の言葉
傾向,名詞,一般,*,*,*,*,傾向,ケイコウ,ケイコー,作者の言葉
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,作者の言葉
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
いわば,副詞,一般,*,*,*,*,いわば,イワバ,イワバ,作者の言葉
モダン,名詞,一般,*,*,*,*,モダン,モダン,モダン,作者の言葉
型,名詞,接尾,一般,*,*,*,型,ガタ,ガタ,作者の言葉
で,助詞,格助詞,一般,*,*,*,で,デ,デ,作者の言葉
も,助詞,係助詞,*,*,*,*,も,モ,モ,作者の言葉
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
やっぱり,副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,作者の言葉
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,作者の言葉
好み,名詞,一般,*,*,*,*,好み,コノミ,コノミ,作者の言葉
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,作者の言葉
古臭い,形容詞,自立,*,*,形容詞・アウオ段,基本形,古臭い,フルクサイ,フルクサイ,作者の言葉
怪奇,名詞,一般,*,*,*,*,怪奇,カイキ,カイキ,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
世界,名詞,一般,*,*,*,*,世界,セカイ,セカイ,作者の言葉
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,作者の言葉
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,作者の言葉
で,動詞,非自立,*,*,一段,未然形,でる,デ,デ,作者の言葉
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,作者の言葉
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,作者の言葉
あろ,助動詞,*,*,*,五段・ラ行アル,未然ウ接続,ある,アロ,アロ,作者の言葉
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,作者の言葉
と,助詞,格助詞,引用,*,*,*,と,ト,ト,作者の言葉
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,作者の言葉
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,作者の言葉
。,記号,句点,*,*,*,*,。,。,。,作者の言葉
つまり,接続詞,*,*,*,*,*,つまり,ツマリ,ツマリ,作者の言葉
私自身,名詞,固有名詞,一般,*,*,*,私自身,ワタシジシン,ワタシジシン,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,作者の言葉
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,作者の言葉
書く,動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク,作者の言葉
外,名詞,一般,*,*,*,*,外,ソト,ソト,作者の言葉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,作者の言葉
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,作者の言葉
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,作者の言葉
あり,助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ,作者の言葉
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,作者の言葉
。,記号,句点,*,*,*,*,。,。,。,作者の言葉
そこで,接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ,作者の言葉
、,記号,読点,*,*,*,*,、,、,、,作者の言葉
もし,副詞,一般,*,*,*,*,もし,モシ,モシ,作者の言葉
始め,動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,作者の言葉
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉
この,連体詞,*,*,*,*,*,この,コノ,コノ,作者の言葉
種,名詞,一般,*,*,*,*,種,タネ,タネ,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
小説,名詞,一般,*,*,*,*,小説,ショウセツ,ショーセツ,作者の言葉
