表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
表題,名詞,一般,*,*,*,*,表題,ヒョウダイ,ヒョーダイ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
私の少年,名詞,固有名詞,一般,*,*,*,私の少年,ワタシノショウネン,ワタシノショーネン,< 章なし >
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >
について,助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,< 章なし >
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
書く,動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク,< 章なし >
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,< 章なし >
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >
勧め,動詞,自立,*,*,一段,未然形,勧める,ススメ,ススメ,< 章なし >
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
三,名詞,数,*,*,*,*,三,サン,サン,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
四,名詞,数,*,*,*,*,四,ヨン,ヨン,< 章なし >
年来,名詞,接尾,助数詞,*,*,*,年来,ネンライ,ネンライ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
病気,名詞,サ変接続,*,*,*,*,病気,ビョウキ,ビョーキ,< 章なし >
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >
ひきこもっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ひきこもる,ヒキコモッ,ヒキコモッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
手足,名詞,一般,*,*,*,*,手足,テアシ,テアシ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
不自由,名詞,形容動詞語幹,*,*,*,*,不自由,フジユウ,フジユー,< 章なし >
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >
ため,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
筆,名詞,一般,*,*,*,*,筆,フデ,フデ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
執れ,動詞,自立,*,*,五段・ラ行,仮定形,執る,トレ,トレ,< 章なし >
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
手紙,名詞,一般,*,*,*,*,手紙,テガミ,テガミ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
返事,名詞,サ変接続,*,*,*,*,返事,ヘンジ,ヘンジ,< 章なし >
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
家族,名詞,一般,*,*,*,*,家族,カゾク,カゾク,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
代筆,名詞,サ変接続,*,*,*,*,代筆,ダイヒツ,ダイヒツ,< 章なし >
