表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >
珍,名詞,一般,*,*,*,*,珍,チン,チン,< 章なし >
らしい,助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ,< 章なし >
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,< 章なし >
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >
おっしゃる,動詞,自立,*,*,五段・ラ行特殊,基本形,おっしゃる,オッシャル,オッシャル,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
それでは,接続詞,*,*,*,*,*,それでは,ソレデハ,ソレデワ,< 章なし >
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,< 章なし >
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
どうでしょう,名詞,固有名詞,一般,*,*,*,どうでしょう,ドウデショウ,ドーデショー,< 章なし >
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >
ある時,名詞,一般,*,*,*,*,ある時,アルトキ,アルトキ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
五,名詞,数,*,*,*,*,五,ゴ,ゴ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
六,名詞,数,*,*,*,*,六,ロク,ロク,< 章なし >
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
者,名詞,非自立,一般,*,*,*,者,モノ,モノ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
怖い話,名詞,固有名詞,一般,*,*,*,怖い話,コワイハナシ,コワイハナシ,< 章なし >
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
珍奇,名詞,形容動詞語幹,*,*,*,*,珍奇,チンキ,チンキ,< 章なし >
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
次々,副詞,助詞類接続,*,*,*,*,次々,ツギツギ,ツギツギ,< 章なし >
と,助詞,副詞化,*,*,*,*,と,ト,ト,< 章なし >
語り合っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,語り合う,カタリアッ,カタリアッ,< 章なし >
