表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
ある日,名詞,一般,*,*,*,*,ある日,アルヒ,アルヒ,１
、,記号,読点,*,*,*,*,、,、,、,１
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,１
ょうねんたんていだんのぽけっと,名詞,一般,*,*,*,*,*,*,*,１
小,名詞,接尾,一般,*,*,*,小,ショウ,ショー,１
ぞう,名詞,一般,*,*,*,*,ぞう,ゾウ,ゾウ,１
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１
、,記号,読点,*,*,*,*,、,、,、,１
ひとりで,副詞,一般,*,*,*,*,ひとりで,ヒトリデ,ヒトリデ,１
、,記号,読点,*,*,*,*,、,、,、,１
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,１
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１
ら,名詞,一般,*,*,*,*,ら,ラ,ラ,１
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,１
あるい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,あるく,アルイ,アルイ,１
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,１
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１
。,記号,句点,*,*,*,*,。,。,。,１
ぽけっと,名詞,一般,*,*,*,*,ポケット,ポケット,ポケット,１
小,名詞,接尾,一般,*,*,*,小,ショウ,ショー,１
ぞう,名詞,一般,*,*,*,*,ぞう,ゾウ,ゾウ,１
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１
、,記号,読点,*,*,*,*,、,、,、,１
小がっこう,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,１
四,名詞,数,*,*,*,*,四,ヨン,ヨン,１
ねん,助詞,終助詞,*,*,*,*,ねん,ネン,ネン,１
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ,１
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,１
、,記号,読点,*,*,*,*,、,、,、,１
ようちえん,名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨウチエン,１
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ,１
と,助詞,並立助詞,*,*,*,*,と,ト,ト,１
みたい,名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,１
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,１
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,１
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１
小さく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,小さい,チイサク,チーサク,１
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１
、,記号,読点,*,*,*,*,、,、,、,１
ぽけっと,名詞,一般,*,*,*,*,ポケット,ポケット,ポケット,１
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,１
はいり,動詞,自立,*,*,五段・ラ行,連用形,はいる,ハイリ,ハイリ,１
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー,１
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,１
と,助詞,格助詞,引用,*,*,*,と,ト,ト,１
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,１
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,１
、,記号,読点,*,*,*,*,、,、,、,１
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,１
あだな,名詞,一般,*,*,*,*,あだな,アダナ,アダナ,１
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１
つい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,１
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,１
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１
。,記号,句点,*,*,*,*,。,。,。,１
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ,１
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１
、,記号,読点,*,*,*,*,、,、,、,１
はやし,動詞,自立,*,*,五段・サ行,連用形,はやす,ハヤシ,ハヤシ,１
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,１
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１
、,記号,読点,*,*,*,*,、,、,、,１
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,１
むこう,名詞,形容動詞語幹,*,*,*,*,無効,ムコウ,ムコー,１
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,１
、,記号,読点,*,*,*,*,、,、,、,１
りっぱ,名詞,形容動詞語幹,*,*,*,*,りっぱ,リッパ,リッパ,１
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,１
ようかん,名詞,固有名詞,一般,*,*,*,ようかん,ヨウカン,ヨーカン,１
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１
たっ,動詞,自立,*,*,五段・タ行,連用タ接続,たつ,タッ,タッ,１
