表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
「,記号,括弧開,*,*,*,*,「,「,「,二十面相の改名
透明,名詞,形容動詞語幹,*,*,*,*,透明,トウメイ,トーメイ,二十面相の改名
怪人,名詞,一般,*,*,*,*,怪人,カイジン,カイジン,二十面相の改名
」,記号,括弧閉,*,*,*,*,」,」,」,二十面相の改名
の,助詞,連体化,*,*,*,*,の,ノ,ノ,二十面相の改名
事件,名詞,一般,*,*,*,*,事件,ジケン,ジケン,二十面相の改名
で,助詞,格助詞,一般,*,*,*,で,デ,デ,二十面相の改名
、,記号,読点,*,*,*,*,、,、,、,二十面相の改名
名探偵,名詞,固有名詞,人名,一般,*,*,名探偵,メイタンテイ,メイタンテイ,二十面相の改名
、,記号,読点,*,*,*,*,、,、,、,二十面相の改名
明智小五郎,名詞,固有名詞,人名,一般,*,*,明智小五郎,アケチコゴロウ,アケチコゴロー,二十面相の改名
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,二十面相の改名
、,記号,読点,*,*,*,*,、,、,、,二十面相の改名
正体,名詞,一般,*,*,*,*,正体,ショウタイ,ショータイ,二十面相の改名
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,二十面相の改名
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,二十面相の改名
やぶら,動詞,自立,*,*,五段・ラ行,未然形,やぶる,ヤブラ,ヤブラ,二十面相の改名
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,二十面相の改名
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,二十面相の改名
怪人二十面相,名詞,固有名詞,人名,一般,*,*,怪人二十面相,カイジンニジュウメンソウ,カイジンニジューメンソー,二十面相の改名
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,二十面相の改名
、,記号,読点,*,*,*,*,、,、,、,二十面相の改名
そのまま,副詞,一般,*,*,*,*,そのまま,ソノママ,ソノママ,二十面相の改名
警視庁,名詞,固有名詞,組織,*,*,*,警視庁,ケイシチョウ,ケイシチョー,二十面相の改名
の,助詞,連体化,*,*,*,*,の,ノ,ノ,二十面相の改名
留置場,名詞,固有名詞,一般,*,*,*,留置場,リュウチジョウ,リュウチジョー,二十面相の改名
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,二十面相の改名
入れ,動詞,自立,*,*,一段,未然形,入れる,イレ,イレ,二十面相の改名
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,二十面相の改名
、,記号,読点,*,*,*,*,、,、,、,二十面相の改名
いちおう,副詞,助詞類接続,*,*,*,*,いちおう,イチオウ,イチオー,二十面相の改名
、,記号,読点,*,*,*,*,、,、,、,二十面相の改名
