表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,ロウ人形館
上野公園,名詞,固有名詞,地域,一般,*,*,上野公園,ウエノコウエン,ウエノコーエン,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
不忍池,名詞,固有名詞,地域,一般,*,*,不忍池,シノバズノイケ,シノバズノイケ,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
そば,名詞,一般,*,*,*,*,そば,ソバ,ソバ,ロウ人形館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
ふしぎ,名詞,形容動詞語幹,*,*,*,*,ふしぎ,フシギ,フシギ,ロウ人形館
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,ロウ人形館
建物,名詞,一般,*,*,*,*,建物,タテモノ,タテモノ,ロウ人形館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ロウ人形館
たち,動詞,自立,*,*,五段・タ行,連用形,たつ,タチ,タチ,ロウ人形館
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,ロウ人形館
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,ロウ人形館
。,記号,句点,*,*,*,*,。,。,。,ロウ人形館
両国,名詞,一般,*,*,*,*,両国,リョウコク,リョーコク,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
もと,名詞,非自立,一般,*,*,*,もと,モト,モト,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
国技館,名詞,固有名詞,一般,*,*,*,国技館,コクギカン,コクギカン,ロウ人形館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,ロウ人形館
ぐっと,副詞,一般,*,*,*,*,ぐっと,グット,グット,ロウ人形館
小さく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,小さい,チイサク,チーサク,ロウ人形館
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,ロウ人形館
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,ロウ人形館
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,ロウ人形館
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
まるい,形容詞,自立,*,*,形容詞・アウオ段,基本形,まるい,マルイ,マルイ,ロウ人形館
建物,名詞,一般,*,*,*,*,建物,タテモノ,タテモノ,ロウ人形館
で,助詞,格助詞,一般,*,*,*,で,デ,デ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
外,名詞,一般,*,*,*,*,外,ソト,ソト,ロウ人形館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ロウ人形館
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
壁,名詞,一般,*,*,*,*,壁,カベ,カベ,ロウ人形館
も,助詞,係助詞,*,*,*,*,も,モ,モ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
まる,接頭詞,数接続,*,*,*,*,まる,マル,マル,ロウ人形館
屋根,名詞,一般,*,*,*,*,屋根,ヤネ,ヤネ,ロウ人形館
も,助詞,係助詞,*,*,*,*,も,モ,モ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
ぜんぶ,名詞,副詞可能,*,*,*,*,ぜんぶ,ゼンブ,ゼンブ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
まっ白,名詞,一般,*,*,*,*,まっ白,マッシロ,マッシロ,ロウ人形館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ロウ人形館
ぬっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,ぬう,ヌッ,ヌッ,ロウ人形館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ロウ人形館
ある,動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル,ロウ人形館
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,ロウ人形館
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,ロウ人形館
。,記号,句点,*,*,*,*,。,。,。,ロウ人形館
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,ロウ人形館
窓,名詞,一般,*,*,*,*,窓,マド,マド,ロウ人形館
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,ロウ人形館
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,ロウ人形館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
ひとつ,名詞,副詞可能,*,*,*,*,ひとつ,ヒトツ,ヒトツ,ロウ人形館
も,助詞,係助詞,*,*,*,*,も,モ,モ,ロウ人形館
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,ロウ人形館
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,ロウ人形館
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,ロウ人形館
。,記号,句点,*,*,*,*,。,。,。,ロウ人形館
正面,名詞,一般,*,*,*,*,正面,ショウメン,ショーメン,ロウ人形館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ロウ人形館
小さな,連体詞,*,*,*,*,*,小さな,チイサナ,チーサナ,ロウ人形館
入口,名詞,一般,*,*,*,*,入口,イリグチ,イリグチ,ロウ人形館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ロウ人形館
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,ロウ人形館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,ロウ人形館
入口,名詞,一般,*,*,*,*,入口,イリグチ,イリグチ,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,ロウ人形館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ロウ人形館
「,記号,括弧開,*,*,*,*,「,「,「,ロウ人形館
中曾,名詞,固有名詞,人名,姓,*,*,中曾,ナカソ,ナカソ,ロウ人形館
夫人,名詞,一般,*,*,*,*,夫人,フジン,フジン,ロウ人形館
ロウ,名詞,固有名詞,一般,*,*,*,Low,ロウ,ロー,ロウ人形館
人形館,名詞,固有名詞,一般,*,*,*,人形館,ニンギョウカン,ニンギョーカン,ロウ人形館
」,記号,括弧閉,*,*,*,*,」,」,」,ロウ人形館
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,ロウ人形館
かん,名詞,一般,*,*,*,*,かん,カン,カン,ロウ人形館
ばん,名詞,一般,*,*,*,*,ばん,バン,バン,ロウ人形館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ロウ人形館
かかっ,動詞,自立,*,*,五段・ラ行,連用タ接続,かかる,カカッ,カカッ,ロウ人形館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ロウ人形館
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,ロウ人形館
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,ロウ人形館
。,記号,句点,*,*,*,*,。,。,。,ロウ人形館
イギリス,名詞,固有名詞,地域,国,*,*,イギリス,イギリス,イギリス,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
ロンドン,名詞,固有名詞,地域,一般,*,*,ロンドン,ロンドン,ロンドン,ロウ人形館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ロウ人形館
タッソー,名詞,固有名詞,一般,*,*,*,タッソー,タッソー,タッソー,ロウ人形館
夫人,名詞,一般,*,*,*,*,夫人,フジン,フジン,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
ロウ,名詞,固有名詞,一般,*,*,*,Low,ロウ,ロー,ロウ人形館
人形館,名詞,固有名詞,一般,*,*,*,人形館,ニンギョウカン,ニンギョーカン,ロウ人形館
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,ロウ人形館
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,ロウ人形館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ロウ人形館
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,ロウ人形館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
世界じゅう,名詞,一般,*,*,*,*,世界じゅう,セカイジュウ,セカイジュー,ロウ人形館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ロウ人形館
知ら,動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,ロウ人形館
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,ロウ人形館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ロウ人形館
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,ロウ人形館
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,ロウ人形館
。,記号,句点,*,*,*,*,。,。,。,ロウ人形館
この,連体詞,*,*,*,*,*,この,コノ,コノ,ロウ人形館
不忍池,名詞,固有名詞,地域,一般,*,*,不忍池,シノバズノイケ,シノバズノイケ,ロウ人形館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ロウ人形館
ロウ,名詞,固有名詞,一般,*,*,*,Low,ロウ,ロー,ロウ人形館
人形館,名詞,固有名詞,一般,*,*,*,人形館,ニンギョウカン,ニンギョーカン,ロウ人形館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,ロウ人形館
、,記号,読点,*,*,*,*,、,、,、,ロウ人形館
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,ロウ人形館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,ロウ人形館
まね,動詞,自立,*,*,一段,連用形,まねる,マネ,マネ,ロウ人形館
